"geo_accession","sample_id","label_from_sample_id","tissue_from_sample_id","inferred_group_from_sample_id","file_order_index","inventory_quant_path","inventory_tissue","inventory_group","matched_quant_inventory_by_GSM"
"GSM7140492","GSM7140492_ACLT5_synovium","ACLT5_synovium","synovium","ACLT_alone_52W",55,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140492_ACLT5_synovium_quant.sf.txt.gz","synovium","ACLT_alone_52W",TRUE
"GSM7140493","GSM7140493_ACLT6_synovium","ACLT6_synovium","synovium","ACLT_alone_52W",56,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140493_ACLT6_synovium_quant.sf.txt.gz","synovium","ACLT_alone_52W",TRUE
"GSM7140494","GSM7140494_ACLT7_synovium","ACLT7_synovium","synovium","ACLT_alone_52W",57,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140494_ACLT7_synovium_quant.sf.txt.gz","synovium","ACLT_alone_52W",TRUE
"GSM7140495","GSM7140495_CON3_synovium","CON3_synovium","synovium","Control_52W",58,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140495_CON3_synovium_quant.sf.txt.gz","synovium","Control_52W",TRUE
"GSM7140496","GSM7140496_ACLT8_synovium","ACLT8_synovium","synovium","ACLT_alone_52W",59,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140496_ACLT8_synovium_quant.sf.txt.gz","synovium","ACLT_alone_52W",TRUE
"GSM7140497","GSM7140497_ACLT9_synovium","ACLT9_synovium","synovium","ACLT_alone_52W",60,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140497_ACLT9_synovium_quant.sf.txt.gz","synovium","ACLT_alone_52W",TRUE
"GSM7140498","GSM7140498_ACLT10_synovium","ACLT10_synovium","synovium","ACLT_alone_52W",61,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140498_ACLT10_synovium_quant.sf.txt.gz","synovium","ACLT_alone_52W",TRUE
"GSM7140499","GSM7140499_ACLT11_synovium","ACLT11_synovium","synovium","ACLT_alone_52W",62,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140499_ACLT11_synovium_quant.sf.txt.gz","synovium","ACLT_alone_52W",TRUE
"GSM7140500","GSM7140500_CON4_synovium","CON4_synovium","synovium","Control_52W",63,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140500_CON4_synovium_quant.sf.txt.gz","synovium","Control_52W",TRUE
"GSM7140501","GSM7140501_ACLT12_synovium","ACLT12_synovium","synovium","ACLT_alone_52W",64,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140501_ACLT12_synovium_quant.sf.txt.gz","synovium","ACLT_alone_52W",TRUE
