"timepoint","gene_symbol","logFC","P.Value","FDR","P.Value_raw","P.Value_for_rank","p_value_replaced_for_rank","rank_stat","rank_order"
"4W","C1qtnf7",1.06372321929596,8.08533799267701e-05,0.000342962070231597,8.08533799267701e-05,8.08533799267701e-05,FALSE,4.09230182049643,1936
"4W","Reep4",0.744632666179604,8.09850690592112e-05,0.000343317219026256,8.09850690592112e-05,8.09850690592112e-05,FALSE,4.09159504313262,1937
"4W","Sft2d2",0.328682049144725,8.13777033386265e-05,0.000344675503253189,8.13777033386265e-05,8.13777033386265e-05,FALSE,4.08949457107448,1938
"4W","Capn15",0.595790342894947,8.15540234188471e-05,0.000345320141752208,8.15540234188471e-05,8.15540234188471e-05,FALSE,4.08855460843731,1939
"4W","Ier5l",0.947286138954015,8.1770188530559e-05,0.000346030747562365,8.1770188530559e-05,8.1770188530559e-05,FALSE,4.08740500093094,1940
"4W","Hnrnpf",0.330617263225805,8.19743955457809e-05,0.000346575341814263,8.19743955457809e-05,8.19743955457809e-05,FALSE,4.08632177700199,1941
"4W","Xpo6",0.309581258672869,8.20359780917674e-05,0.000346597418962813,8.20359780917674e-05,8.20359780917674e-05,FALSE,4.08599563956852,1942
"4W","Gm17330",1.16282242754587,8.21495530021745e-05,0.000346918289315378,8.21495530021745e-05,8.21495530021745e-05,FALSE,4.08539479533564,1943
"4W","Nectin4",1.02550650098976,8.22279620756599e-05,0.000347108307961836,8.22279620756599e-05,8.22279620756599e-05,FALSE,4.08498047309075,1944
"4W","Sarm1",0.905787106066341,8.25944089869312e-05,0.000348078174582546,8.25944089869312e-05,8.25944089869312e-05,FALSE,4.08304935011673,1945
"4W","Cpne1",0.386699829604903,8.27210885811276e-05,0.000348509447948035,8.27210885811276e-05,8.27210885811276e-05,FALSE,4.08238375904624,1946
"4W","Lrrc1",0.704942170251182,8.280086466638e-05,0.000348742918082935,8.280086466638e-05,8.280086466638e-05,FALSE,4.08196512797506,1947
"4W","Tmem138",0.753370832867328,8.29220547207773e-05,0.00034915062805372,8.29220547207773e-05,8.29220547207773e-05,FALSE,4.08132994508711,1948
"4W","Arl6",0.417415716440379,8.31028850371153e-05,0.000349603556330104,8.31028850371153e-05,8.31028850371153e-05,FALSE,4.0803838987917,1949
"4W","Slc35g2",0.905984512744108,8.33251855370178e-05,0.000350229992997048,8.33251855370178e-05,8.33251855370178e-05,FALSE,4.07922371063937,1950
"4W","Il21r",1.35954122684469,8.35777578311846e-05,0.000350982452658034,8.35777578311846e-05,8.35777578311846e-05,FALSE,4.07790928400127,1951
"4W","Ckb",0.931100034659739,8.37969750341744e-05,0.000351426560380746,8.37969750341744e-05,8.37969750341744e-05,FALSE,4.07677165857351,1952
"4W","Fzd5",0.418120287819508,8.38004825621748e-05,0.000351426560380746,8.38004825621748e-05,8.38004825621748e-05,FALSE,4.0767534804928,1953
"4W","Abat",0.658692391994069,8.38268693386605e-05,0.000351426560380746,8.38268693386605e-05,8.38268693386605e-05,FALSE,4.07661675302693,1954
