"gene_id","logFC","AveExpr","t","P.Value","FDR","B","ENTREZID","SYMBOL","strict_DEG","direction","label_final","label_score"
"G10090_22516",1.29779427265231,3.54788131177281,8.80685121865293,3.51034222359084e-09,4.6300928628395e-08,10.9524803631163,"380969","Nckap5l",TRUE,"Up","Nckap5l",9.51855567870839
"G10090_31364",1.64629017350265,2.21787524029969,8.80549088136103,3.52082654835821e-09,4.63633837985875e-08,11.1059354099411,"211228","Lrrc25",TRUE,"Up","Lrrc25",12.0736038257008
"G10090_31603",0.591677795826849,4.38774074048656,8.80539629721879,3.52155671784394e-09,4.63633837985875e-08,10.841704473292,"26384","Gnpda1",FALSE,"Not_strict","Gnpda1",4.33926133694785
"G10090_6490",-0.796420572698691,1.74449192985963,-8.80296584423446,3.54037276096694e-09,4.65682670792259e-08,11.1116765855343,"240518","Peli3",FALSE,"Not_strict","Peli3",5.83928389980462
"G10090_655",-1.19388668957596,5.09494669103524,-8.79975986720359,3.56535086013568e-09,4.68537522124901e-08,10.7976931606101,"66459","Pyurf",TRUE,"Down","Pyurf",8.75030073346936
"G10090_16947",1.30164850597118,3.55674464256553,8.7976079911572,3.58221783967015e-09,4.70322197279995e-08,10.93088504441,"66681","Pgm2",TRUE,"Up","Pgm2",9.53796548081798
"G10090_3500",1.56374651173324,5.27684425919412,8.79553980867849,3.59850607612443e-09,4.72027685200886e-08,10.8460845922548,"72042","Cotl1",TRUE,"Up","Cotl1",11.4560578113369
"G10090_1937",0.504551970692901,7.14143464083484,8.79220730885035,3.62491187420191e-09,4.75055987469813e-08,10.945537277808,"76709","Arpc2",FALSE,"Not_strict","Arpc2",3.69496284497162
"G10090_31585",-0.624714384833124,5.54719725397221,-8.79170392073624,3.62891785424093e-09,4.75145868362689e-08,10.7932679279284,"14055","Ezh1",FALSE,"Not_strict","Ezh1",4.57489154245707
"G10090_2456",1.44042440944967,4.26259764609535,8.78872718812393,3.65269995290807e-09,4.77444517225201e-08,10.8486299676358,"12091","Glb1",TRUE,"Up","Glb1",10.545458143254
"G10090_24468",1.82770602309227,0.450724157148718,8.78867152876066,3.65314615583534e-09,4.77444517225201e-08,11.1149019319914,"80749","Lrfn1",TRUE,"Up","Lrfn1",13.3807766920977
"G10090_28436",-1.18445663194046,5.99446143884239,-8.78807800858682,3.65790769714109e-09,4.77449141439291e-08,10.8237331613926,"66839","Dele1",TRUE,"Down","Dele1",8.67149332952234
"G10090_18037",0.806306939585632,3.47982092186906,8.78783563094863,3.65985401550487e-09,4.77449141439291e-08,10.898476337511,"100515","Zfp518b",FALSE,"Not_strict","Zfp518b",5.90303187100211
"G10090_5488",-0.560732876718385,5.59192845857772,-8.78656436739122,3.67007983771913e-09,4.78347108903447e-08,10.7846258649328,"18046","Nfyc",FALSE,"Not_strict","Nfyc",4.10470867987726
"G10090_28551",0.953450148203662,4.34903254327385,8.78576195469167,3.67654941315289e-09,4.78754309841957e-08,10.8133419328831,"19342","Rab4b",FALSE,"Not_strict","Rab4b",6.97914763426085
"G10090_5614",1.87917608414458,6.11960098089598,8.7822778015488,3.70477711675491e-09,4.81991502889813e-08,10.8644098355718,"18826","Lcp1",TRUE,"Up","Lcp1",13.7498574018699
"G10090_18498",1.27393942552884,4.6208974374403,8.77681760275671,3.74946291785879e-09,4.87362069186895e-08,10.7942868160611,"18074","Nid2",TRUE,"Up","Nid2",9.31523397214931
"G10090_30453",1.16987773077224,3.59811549913462,8.77173206034694,3.79158064757144e-09,4.92389388814836e-08,10.8633202493243,"15900","Irf8",TRUE,"Up","Irf8",8.54910533260882
"G10090_14172",1.89103538571616,6.30557305290399,8.77084892366336,3.79894404622230e-09,4.92898352180302e-08,10.8526665653318,"12505","Cd44",TRUE,"Up","Cd44",13.8182543924211
"G10090_17731",2.07429552654778,2.31530755077884,8.77006965488523,3.80545361826441e-09,4.93295713142952e-08,11.0330571377281,"14793","Cdca3",TRUE,"Up","Cdca3",15.1566547547896
"G10090_10046",1.60076074439296,6.49615341947343,8.76799696569122,3.82282352971063e-09,4.95098891707591e-08,10.8523835216337,"192187","Stab1",TRUE,"Up","Stab1",11.6940503454907
"G10090_8637",-1.12079824892243,3.50949598063847,-8.76425424656692,3.85439555213040e-09,4.98736480529277e-08,10.81970248489,"68055","Dmac2l",TRUE,"Down","Dmac2l",8.18421324390648
"G10090_21381",1.21000663384112,3.79997308296425,8.7630510766579,3.86460179471061e-09,4.99605386486933e-08,10.8227094400681,"229658","Vangl1",TRUE,"Up","Vangl1",8.83470963054797
"G10090_19909",-0.609741056793701,5.8795883044109,-8.76046243621087,3.88665493778815e-09,5.02002877388864e-08,10.7481077232165,"68031","Rnf146",FALSE,"Not_strict","Rnf146",4.45067911152758
"G10090_27941",3.35332355068698,-1.25692874167263,8.75979655281501,3.89234860915104e-09,5.02284949914883e-08,10.7946844932079,"214240","Disp2",TRUE,"Up","Disp2",24.4760757077198
"G10090_11016",-0.908698291433857,3.20512646432048,-8.75469217960702,3.93627941761473e-09,5.07496349058418e-08,10.8340308389028,"320204","Etfbkmt",FALSE,"Not_strict","Etfbkmt",6.62856064028201
"G10090_25590",-0.625485797537967,5.36716361382937,-8.75314297235205,3.94971319120953e-09,5.08075537590376e-08,10.6973569817881,"66988","Lap3",FALSE,"Not_strict","Lap3",4.56233826373412
"G10090_6339",0.900432444536741,6.36901171077098,8.75313521885788,3.94978054307203e-09,5.08075537590376e-08,10.7921604046521,"22793","Zyx",FALSE,"Not_strict","Zyx",6.56781882464448
"G10090_18008",2.35163836082933,5.74260528015079,8.75294624056876,3.9514224955495e-09,5.08075537590376e-08,10.8008081747092,"20256","Clec11a",TRUE,"Up","Clec11a",17.1530188508003
"G10090_33665",1.75827661730754,2.32458850529726,8.7511382828522,3.96716656620538e-09,5.09642017315667e-08,10.9805517754323,"434130","Ccdc8",TRUE,"Up","Ccdc8",12.8226450291576
"G10090_29502",-1.17812592617158,5.51229419787136,-8.74974130481761,3.97937586754853e-09,5.10335254675288e-08,10.7018828485232,"17850","Mmut",TRUE,"Down","Mmut",8.59106440914476
"G10090_4980",-0.92996555300201,2.00658408152149,-8.74970485480051,3.9796949494628e-09,5.10335254675288e-08,10.9717799054703,"16511","Kcnh2",FALSE,"Not_strict","Kcnh2",6.78144312644776
"G10090_199",-0.56932867895942,5.60916548676571,-8.74561666182468,4.01565014066145e-09,5.14353100989181e-08,10.6944402248629,"52696","Zwint",FALSE,"Not_strict","Zwint",4.14968793976757
"G10090_17677",2.52764615062107,-0.91339740239777,8.74532645505374,4.01821512756554e-09,5.14353100989181e-08,10.8447403323541,"237887","Slfn10",TRUE,"Up","Slfn10",18.4233521599564
"G10090_22449",-1.44694601537744,5.1029037130201,-8.74221084825414,4.04585862373711e-09,5.17428800395905e-08,10.6747375008032,"230649","Atpaf1",TRUE,"Down","Atpaf1",10.5426648444611
"G10090_25193",2.00780116237485,3.27591233039291,8.73593552545478,4.10213158369416e-09,5.2405556993893e-08,10.8609685011953,"68774","Ms4a6d",TRUE,"Up","Ms4a6d",14.6180426370405
"G10090_3145",0.942863808886907,1.70308496923101,8.73543371308048,4.10666608364322e-09,5.2405556993893e-08,10.9787281271605,"105837","Mtbp",FALSE,"Not_strict","Mtbp",6.86463561109246
"G10090_2638",0.798457301922378,2.96187755183112,8.7352132225933,4.10866011789168e-09,5.2405556993893e-08,10.8457829460805,"78798","Eml4",FALSE,"Not_strict","Eml4",5.81326632441632
"G10090_4315",2.28155172302277,-0.213582334824979,8.73426168626446,4.11727687474264e-09,5.24686993361015e-08,10.9377441353636,"14087","Fanca",TRUE,"Up","Fanca",16.6099240178202
"G10090_5439",0.69974090072281,3.88411956456663,8.73023388589886,4.15395723666794e-09,5.28890409376823e-08,10.7193061920219,"67702","Rnf149",FALSE,"Not_strict","Rnf149",5.09175864503603
"G10090_23234",1.38043267464681,1.76406019876771,8.72885437026839,4.16659724351644e-09,5.29772658596976e-08,10.9668830118628,"93840","Vangl2",TRUE,"Up","Vangl2",10.0439045357729
"G10090_15168",1.29577406824158,5.33976091593495,8.72839879835917,4.1707801586059e-09,5.29772658596976e-08,10.6858542202282,"280411","Lix1l",TRUE,"Up","Lix1l",9.42793609596237
