"","M131L","M131R","M137L","M137R","M140L","M140R","M146L","M146R","M150L","M150R","M154L","M154R","M157L","M157R","M161L","M161R","M166L","M166R","M169L","M169R","M173L","M173R","M176L","M176R"
"G10090_11192",8.21298628628074,7.99260437270724,8.09698701440045,7.98766740618631,8.290367806635,7.881566591838,8.16506668254647,8.1309259086257,8.36013886603842,8.00035196361423,8.37295492156294,8.19292723428832,8.33828497424271,8.40335968672416,8.24103481907881,7.99267197905903,8.37681833858488,7.93438529136924,8.93014978779738,7.84974274976975,8.54631310328912,7.92002209778342,8.13464938742372,8.44782149443839
"G10090_3957",2.54171602446774,0.764218989029717,1.61980882433102,1.02580823137224,1.6947107051176,1.72525317532527,3.08949930292413,1.22674448195786,1.37951901777,1.06094788914811,1.2437700504761,2.29492260191139,2.93531612098331,1.56387383761926,2.05298598442988,1.24894507708172,1.57162523762186,1.06544679407676,1.85108612634015,1.14977494784133,2.1763995074603,1.89842249299511,2.83952189245836,1.58347494874764
"G10090_21911",3.07675329985721,3.22954638637039,3.10326520497475,2.87027221145073,3.30560999502239,2.93423287910343,2.97259740241089,2.74471267671467,3.70144711265736,3.20408610100762,3.45136546988446,3.5921080765824,3.22337279329154,3.40323182590034,3.4132642523066,3.23726327203408,3.83503296343209,2.87160989860199,4.47078056541643,3.17651479579375,3.67558964759067,3.20125507693832,3.49975297402174,3.53598234426879
"G10090_10187",3.09979083593408,2.48155577644699,3.49260622127113,2.0029441230205,3.50346698235182,2.40988114088355,3.12327631490856,2.42080512342271,3.37632367861019,2.47000157627795,3.80332013202424,3.37169493260522,2.60873094790567,2.73618938648657,3.01419350143283,2.55402125373244,3.40812650533898,2.12667359332721,3.13020113768854,2.50852331627363,3.3274654816513,2.46833064799397,3.13279779995131,3.0216850477265
"G10090_14068",5.80571400819034,5.65674129435,6.20132127548241,4.96972366216727,6.61818979305481,5.15680576138713,5.76780004379598,5.10720949123681,6.6451444356329,5.45599252453652,6.67067373124749,6.361621903557,5.69325091391061,5.71977447465107,5.98092112720096,5.61080397558534,6.22832767143157,4.87101362041996,6.41943119866052,5.40902180997255,6.39644798832845,5.31548657810955,5.95060125544048,5.88999711610207
"G10090_31638",5.97646581079794,6.95795522037015,6.1012097906922,7.18903858024054,5.95805177373093,6.81185680921242,6.07446949610691,6.59786540116785,5.84762939753578,7.05751023034051,5.86881783299007,6.18851276942626,6.32294473323028,6.63242487427597,6.21799549545808,6.82203027237675,6.39204207879889,6.78516202668349,6.29780669322789,6.95870629880197,6.33342921432474,6.87625697926983,6.6201894999295,6.73311678125786
"G10090_22809",3.65686965883352,3.57898186082159,3.40999646324375,3.96677276107529,3.48656020635693,3.94806274139236,3.92003193670878,4.06611318152817,3.38906279044087,3.64112532730389,3.50966411044913,3.63887700312875,4.2861779941155,3.90858929731814,3.71811883383502,3.80412791560953,3.35184402974195,3.87041709568916,3.89061449052679,3.69325399711746,3.5267742898747,3.97023740898757,3.53008101362401,3.551350745692
"G10090_26029",7.92327789355523,7.12541196622171,8.09512920109922,6.23722211375051,8.46828728076504,6.90600793662814,7.59597890099959,6.62103881509887,8.48517262298829,6.98572107422719,8.6669159820576,8.35612159203963,7.19826749639834,7.4162752394538,7.72494940530854,7.33681849416585,7.92731831025916,6.50483933409901,8.18362657009786,7.24400527162648,8.19067363844242,6.82727636294605,7.71575909144986,7.73784710549568
"G10090_10137",0.050388595857813,-2.86027187587808,-1.42688441111702,-2.03914721046853,-3.1830335448314,-2.76368243762211,-0.625661920923723,-1.70682815630316,-0.311376927700221,-0.89205463131472,-1.22254795374644,-1.95300491153219,0.117294273873849,-1.13298154317279,-0.75436893762772,-2.32673961005143,-0.805095330105885,-0.942916678857866,0.161154066017451,-1.52633544093802,-0.721153223568882,-2.36961259389705,-0.191956339014812,-2.83905708707813
"G10090_12438",4.33760895615904,4.6271215722609,4.47620461433164,5.13656647116374,4.3040025352005,5.07781043471689,4.49258704574627,4.99749052145767,3.8562562622341,4.83027126445529,4.48517444033835,4.22153671798049,4.24175132260639,4.45295018502244,4.29501289643379,4.69477428460887,3.92895866864042,4.99440581296461,4.0049862549578,4.75019359062996,3.99884273418993,4.67842010252475,4.33896632199346,4.30729944322578
"G10090_9374",4.04000411371001,4.61816070468928,4.34894242873881,5.36173222581365,3.11342386253984,4.77335943247382,3.96330251035493,4.54185847057067,4.00435490122323,4.89199291725081,3.66138149341876,3.68863003832585,3.9629472399605,4.73220293730494,3.66131247821655,4.86384486195698,3.75048336383418,4.50503150127091,3.86159378415854,4.52469613034257,3.63980002830054,4.98265157936127,3.51282884940224,3.98678506235736
"G10090_21661",0.806151785478145,0.119550242184293,1.4441291481629,-1.53218722174865,1.43755286562048,-0.114589599481242,-0.140235093753481,-0.993132341459802,0.490077392917698,-0.344566836012227,1.18773601556177,1.03305589750993,-0.940038901192102,-1.44332166378494,0.383134586122215,-0.144536278830676,0.716441790473638,-0.140362743064083,-0.357313022916799,0.718286927781889,-0.183496437626083,-0.393860140143731,0.244142775791861,0.590930753666685
"G10090_32371",5.70602195340889,5.95457758272645,5.40667151353307,6.0947385720762,5.46010111702587,5.56356397763124,5.75631355763358,5.89278719231844,5.67633373290179,5.83272155384357,5.43566352900535,5.32168682724805,5.98204320185529,5.94933921692685,5.73519234719396,5.7627618001984,5.88411363662291,5.6339850731052,6.18100701198104,5.60339554838778,5.82399809892084,5.81988254494708,5.60881670269122,5.74046837704947
"G10090_20917",3.46172592629406,3.46365857192043,3.44672159277942,2.82406094632259,2.88305564562637,2.83487766649977,2.51548017988956,2.52275976643749,4.06117724025711,3.14221527077003,3.84467409506627,3.48866242762926,2.54747525941323,2.88723673624586,3.25333915750754,3.01994458392151,4.06248234147781,3.17191518178956,3.65482073271906,3.23319095602896,3.02161799227853,2.85535377110322,2.94618995375484,3.42355981186782
"G10090_26651",-0.670895376076123,-0.147553827958548,-0.465358558931659,-0.0582560334162349,-0.800089675262408,0.316044754848621,-0.0398447430206457,0.0587065900598156,-1.1927324312016,0.920575232783558,-0.946913511133015,-1.56598178842295,-0.534782422705844,0.264379808890762,-0.598249735710438,-0.459147223421239,-0.333026885790662,0.476308617384411,-0.612570078158873,-0.0275295839665833,-0.630955414597304,-0.115824976285072,-1.22052549121158,-0.251425399580989
"G10090_12551",1.31932360313129,1.22719096537226,2.00466817494484,1.72973356377444,1.00283300047994,2.13003276923867,1.74667112740088,1.99361156183793,0.968730991492514,2.05616282658273,2.01334031007423,1.28906987566595,2.25564919631529,2.30083943178547,1.5172274817095,1.66630762930681,1.80295078372831,2.0861457867446,1.57278496385305,1.36795511789086,2.36356945533655,1.93781593129519,1.61943409627795,2.06248027403618
"G10090_22106",4.4708776246636,4.25758474992909,4.54462284055171,4.04455884325891,4.55454506447069,4.05788863976847,4.37961828641771,4.17983904063716,4.74039289828423,4.22953467207716,4.70135183549441,4.30203092350828,4.40417542166201,4.19512293893244,4.39365869589475,4.08950252204205,4.60969491194068,3.98147050598545,4.65957354725624,4.15464929458862,4.41320022306115,4.06843623880769,4.34653313508761,4.20907251255709
"G10090_8274",4.98306321723656,5.57851997670018,4.72713419941593,5.5619393497827,4.88197860560555,5.31167515522086,4.86619117540595,5.66228930229665,4.73051685300658,5.4477953715699,4.56981425383569,4.62151584246732,4.7475968614917,5.31636682464235,5.08860989416061,5.45007299574544,4.81719270630409,5.55377455834851,5.09590198697179,5.39149063235165,4.85310457680903,5.37050544893607,5.00983125384457,5.3325367347248
"G10090_17631",6.6996742260488,6.18017006831221,6.8645892544675,5.58136203194605,7.29856409719267,5.95212359403163,6.48541577366184,5.67825769724452,7.20657360533186,6.0002741168563,7.10104018328779,7.09789020672806,6.38796882781197,6.31236711306777,6.76448089107997,6.41291119675797,6.63651023089699,5.77961288786437,6.24981731924182,6.1247162502409,6.90608645549863,5.93264552085017,6.49619110049439,6.26393923834656
