"panel","timepoint","gene_id","ENTREZID","SYMBOL","label_final","logFC","AveExpr","t","P.Value","FDR","B","strict_DEG","direction","label_score","neg_log10_FDR","DEG_class"
"Figure1E","4W","G10090_15894","72401","Slc43a1","Slc43a1",-0.921132078438102,4.56144776574499,-8.12538771540677,1.62191410990153e-08,2.75415916592004e-06,9.6661711951169,FALSE,"Not_strict",5.12150445632256,5.56001096499291,"Not strict"
"Figure1E","4W","G10090_4142","27045","Nit1","Nit1",-0.527378508806321,4.54422468076824,-8.12179647436047,1.6352579568539e-08,2.75415916592004e-06,9.65737332938572,FALSE,"Not_strict",2.93223029166476,5.56001096499291,"Not strict"
"Figure1E","4W","G10090_33387","68133","Gcsh","Gcsh",-0.694617975164325,5.06317488952619,-8.11481367636496,1.66152689931073e-08,2.76439315656003e-06,9.63834201748629,FALSE,"Not_strict",3.86096468570507,5.55840019082675,"Not strict"
"Figure1E","4W","G10090_16969","19038","Ppic","Ppic",1.50588124301718,6.21963480496655,8.10714156831656,1.69088838387368e-08,2.76439315656003e-06,9.63626655809946,TRUE,"Up",8.37029058854913,5.55840019082675,"Up strict"
"Figure1E","4W","G10090_9606","214444","Cdk5rap2","Cdk5rap2",0.666963257239739,4.44734283716962,8.10497812947359,1.69926374530094e-08,2.76439315656003e-06,9.62453095807252,FALSE,"Not_strict",3.70724869631579,5.55840019082675,"Not strict"
"Figure1E","4W","G10090_14333","545370","Hmcn1","Hmcn1",1.75864577486031,2.87185081061178,8.0826642905695,1.78817061837184e-08,2.8069905731064e-06,9.53317193088765,TRUE,"Up",9.76357758908234,5.55175904588168,"Up strict"
"Figure1E","4W","G10090_428","16419","Itgb5","Itgb5",0.869096224615044,7.7189082085663,8.07657615676207,1.81324656412644e-08,2.8069905731064e-06,9.53870910510659,FALSE,"Not_strict",4.82501282674819,5.55175904588168,"Not strict"
"Figure1E","4W","G10090_24857","69386","H4c8","H4c8",-1.30101884216517,0.808869648297279,-8.07103716790237,1.83637388794414e-08,2.8069905731064e-06,9.08181528639606,TRUE,"Down",7.22294312585297,5.55175904588168,"Down strict"
"Figure1E","4W","G10090_2927","108958","Miga2","Miga2",-0.674262851203142,4.9044838819664,-8.06330407710871,1.86916933474318e-08,2.8069905731064e-06,9.52271537826231,FALSE,"Not_strict",3.74334488346902,5.55175904588168,"Not strict"
"Figure1E","4W","G10090_15210","17387","Mmp14","Mmp14",2.15578960005984,7.39600077328953,8.05475882897731,1.90610825477318e-08,2.8069905731064e-06,9.49655765936361,TRUE,"Up",11.9684244131499,5.55175904588168,"Up strict"
"Figure1E","4W","G10090_23994","69574","Cmbl","Cmbl",-1.41431882122152,5.49133975927903,-8.05413539740951,1.90883231154632e-08,2.8069905731064e-06,9.50810741486178,TRUE,"Down",7.85195730947727,5.55175904588168,"Down strict"
"Figure1E","4W","G10090_21872","109934","Abr","Abr",1.29867546461414,5.36064566794895,8.05198670006506,1.91825157251157e-08,2.8069905731064e-06,9.50724196657496,TRUE,"Up",7.20993325833615,5.55175904588168,"Up strict"
"Figure1E","4W","G10090_29362","76238","Grhpr","Grhpr",-0.854639217356059,4.03463857216538,-8.04972094907705,1.92823559156694e-08,2.8069905731064e-06,9.50491046311128,FALSE,"Not_strict",4.74475100592174,5.55175904588168,"Not strict"
"Figure1E","4W","G10090_26947","93891","Pcdhb20","Pcdhb20",1.02653931441416,1.28512720471806,8.0464256409799,1.942851527672e-08,2.8069905731064e-06,9.17687992315886,TRUE,"Up",5.69909892475202,5.55175904588168,"Up strict"
"Figure1E","4W","G10090_17868","14634","Gli3","Gli3",1.45668281753125,2.67701244593652,8.03965952820809,1.97321888692308e-08,2.8069905731064e-06,9.42938623022593,TRUE,"Up",8.08715200920953,5.55175904588168,"Up strict"
"Figure1E","4W","G10090_10","229517","Slc25a44","Slc25a44",-0.547831033363213,5.52853281791676,-8.03524501345809,1.99329383328932e-08,2.8069905731064e-06,9.46293954759142,FALSE,"Not_strict",3.04142589508892,5.55175904588168,"Not strict"
"Figure1E","4W","G10090_28532","319622","Itpripl2","Itpripl2",1.06712844421385,6.03366685458381,8.03502315146458,1.99430825642113e-08,2.8069905731064e-06,9.47367821948601,TRUE,"Up",5.92443999328191,5.55175904588168,"Up strict"
"Figure1E","4W","G10090_33947","12832","Col5a2","Col5a2",2.08519003451158,8.80882599016312,8.03418229063199,1.9981577444165e-08,2.8069905731064e-06,9.34735567255251,TRUE,"Up",11.576472636482,5.55175904588168,"Up strict"
"Figure1E","4W","G10090_24389","227095","Hibch","Hibch",-1.04256054544045,5.2634811801572,-8.03379106749962,1.99995137228871e-08,2.8069905731064e-06,9.45820824853233,TRUE,"Down",5.78804493902833,5.55175904588168,"Down strict"
"Figure1E","4W","G10090_5266","108150","Galnt7","Galnt7",0.856369041232934,3.39073191348074,8.02852624124313,2.02425004748603e-08,2.81351103687475e-06,9.45828286475758,FALSE,"Not_strict",4.75349163471633,5.55075137685106,"Not strict"
"Figure1E","4W","G10090_11893","244745","Dpy19l1","Dpy19l1",1.00337360611079,4.63369476689573,8.01989211454246,2.06475613502264e-08,2.84221623355617e-06,9.43402121593947,TRUE,"Up",5.56505406061923,5.54634288437199,"Up strict"
"Figure1E","4W","G10090_8732","15227","Foxf1","Foxf1",2.19799221960338,-0.438906817561431,8.0118808618646,2.10308323624315e-08,2.86740377238637e-06,8.15628165931205,TRUE,"Up",12.1823963797818,5.54251114773283,"Up strict"
"Figure1E","4W","G10090_6317","242509","Bnc2","Bnc2",1.4595546907974,3.87226047257811,8.0065555553123,2.12896318339676e-08,2.87530537108566e-06,9.41255405352815,TRUE,"Up",8.08785379658684,5.54131602438837,"Up strict"
"Figure1E","4W","G10090_15985","22234","Ugcg","Ugcg",1.00831442833481,4.6252840992083,7.9962937645173,2.1797580947109e-08,2.9040022383353e-06,9.38097878605457,TRUE,"Up",5.5830400683037,5.53700305322804,"Up strict"
"Figure1E","4W","G10090_17286","20193","S100a1","S100a1",-0.92191150117115,6.20127577020054,-7.99409920815582,2.19078123596125e-08,2.9040022383353e-06,9.38163697035332,FALSE,"Not_strict",5.1046267967907,5.53700305322804,"Not strict"
"Figure1E","4W","G10090_23832","13850","Ephx2","Ephx2",-1.5321445511979,5.44014078133539,-7.98815703740346,2.22091617430296e-08,2.91693907810287e-06,9.35996915876328,TRUE,"Down",8.48053138779977,5.53507264126567,"Down strict"
"Figure1E","4W","G10090_12237","54384","Mtmr7","Mtmr7",1.98992140133777,1.35634822318009,7.9820531390758,2.25231389384198e-08,2.93128415493107e-06,8.99853025063551,TRUE,"Up",11.0101198564989,5.53294207957012,"Up strict"
"Figure1E","4W","G10090_27595","269132","Colgalt2","Colgalt2",1.71137328412623,4.10286143391782,7.9721087953537,2.3044441958619e-08,2.97211018990621e-06,9.33561169309712,TRUE,"Up",9.458649061778,5.52693509330274,"Up strict"
"Figure1E","4W","G10090_23911","234407","Colgalt1","Colgalt1",0.668169054912976,6.74382790611043,7.96804544599881,2.32609952894833e-08,2.97325364789503e-06,9.32643541278414,FALSE,"Not_strict",3.69281537774742,5.52676803960695,"Not strict"
"Figure1E","4W","G10090_32736","18584","Pde8a","Pde8a",0.881198472430028,4.8569376961685,7.96129171942688,2.36255559474464e-08,2.99312795525348e-06,9.29898682003625,FALSE,"Not_strict",4.86762996235144,5.5238747168141,"Not strict"
