"source_type","contrast_key","file","basename","score","valid_de_table"
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step09_pig_early_missing_or_incomplete_pairs.csv","step09_pig_early_missing_or_incomplete_pairs.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step16_pig_early_gene_count_matrix.csv","step16_pig_early_gene_count_matrix.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step17_pig_early_gene_id_name_map.csv","step17_pig_early_gene_id_name_map.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_current78_pig_early_signature_remap/step18_current78_pig_core_strict_both_t7_t28_genes.csv","step18_current78_pig_core_strict_both_t7_t28_genes.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_human79_to_pig_mapping_with_mouse_direction.csv","step18_human79_to_pig_mapping_with_mouse_direction.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_pig_signature_gene_list_all.csv","step18_pig_signature_gene_list_all.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_pig_signature_gene_list_down.csv","step18_pig_signature_gene_list_down.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_pig_signature_gene_list_up.csv","step18_pig_signature_gene_list_up.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_pig_signature_gene_table.csv","step18_pig_signature_gene_table.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step18_pig_signature_mapped_but_missing_in_counts.csv","step18_pig_signature_mapped_but_missing_in_counts.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepA_pig_early_fastq_inventory_fix_v2.csv","stepA_pig_early_fastq_inventory_fix_v2.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepA_pig_early_fastq_pair_check_v2.csv","stepA_pig_early_fastq_pair_check_v2.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepB_pig_early_fastq_inventory.csv","stepB_pig_early_fastq_inventory.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepB_pig_early_fastq_pair_check.csv","stepB_pig_early_fastq_pair_check.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepBfix_parser_pig_early_strandness_failures.csv","stepBfix_parser_pig_early_strandness_failures.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepBfix2_pig_early_strandness_failures.csv","stepBfix2_pig_early_strandness_failures.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepBfix3_pig_early_strandness_failures.csv","stepBfix3_pig_early_strandness_failures.csv",10,FALSE
