"fastq_stub","sample_id","core_group","read_label","fastq_zip","module_name","status"
"INJL5_R1","INJL5","ACLT_untreated_t28","R1","INJL5_R1_fastqc.zip","Per base N content","PASS"
"INJL5_R1","INJL5","ACLT_untreated_t28","R1","INJL5_R1_fastqc.zip","Per base sequence content","FAIL"
"INJL5_R1","INJL5","ACLT_untreated_t28","R1","INJL5_R1_fastqc.zip","Basic Statistics","PASS"
"INJL6_R1","INJL6","ACLT_untreated_t28","R1","INJL6_R1_fastqc.zip","Adapter Content","PASS"
"INJL6_R1","INJL6","ACLT_untreated_t28","R1","INJL6_R1_fastqc.zip","Per base sequence quality","PASS"
"INJL6_R1","INJL6","ACLT_untreated_t28","R1","INJL6_R1_fastqc.zip","Per sequence quality scores","PASS"
"INJL6_R1","INJL6","ACLT_untreated_t28","R1","INJL6_R1_fastqc.zip","Sequence Length Distribution","PASS"
"INJL6_R1","INJL6","ACLT_untreated_t28","R1","INJL6_R1_fastqc.zip","Per base sequence content","FAIL"
"INJL6_R1","INJL6","ACLT_untreated_t28","R1","INJL6_R1_fastqc.zip","Per tile sequence quality","WARN"
"INJL6_R1","INJL6","ACLT_untreated_t28","R1","INJL6_R1_fastqc.zip","Per base N content","PASS"
"INJL6_R1","INJL6","ACLT_untreated_t28","R1","INJL6_R1_fastqc.zip","Sequence Duplication Levels","WARN"
"INJL6_R1","INJL6","ACLT_untreated_t28","R1","INJL6_R1_fastqc.zip","Overrepresented sequences","PASS"
"INJL6_R1","INJL6","ACLT_untreated_t28","R1","INJL6_R1_fastqc.zip","Basic Statistics","PASS"
"INJL6_R1","INJL6","ACLT_untreated_t28","R1","INJL6_R1_fastqc.zip","Per sequence GC content","PASS"
"CON1_R2","CON1","CON_t0","R2","CON1_R2_fastqc.zip","Per sequence quality scores","PASS"
"CON1_R2","CON1","CON_t0","R2","CON1_R2_fastqc.zip","Overrepresented sequences","WARN"
"CON1_R2","CON1","CON_t0","R2","CON1_R2_fastqc.zip","Per base sequence quality","PASS"
"CON1_R2","CON1","CON_t0","R2","CON1_R2_fastqc.zip","Per tile sequence quality","PASS"
"CON1_R2","CON1","CON_t0","R2","CON1_R2_fastqc.zip","Sequence Length Distribution","PASS"
"CON1_R2","CON1","CON_t0","R2","CON1_R2_fastqc.zip","Sequence Duplication Levels","FAIL"
"CON1_R2","CON1","CON_t0","R2","CON1_R2_fastqc.zip","Per base sequence content","FAIL"
"CON1_R2","CON1","CON_t0","R2","CON1_R2_fastqc.zip","Basic Statistics","PASS"
"CON1_R2","CON1","CON_t0","R2","CON1_R2_fastqc.zip","Per sequence GC content","PASS"
"CON1_R2","CON1","CON_t0","R2","CON1_R2_fastqc.zip","Per base N content","PASS"
"CON1_R2","CON1","CON_t0","R2","CON1_R2_fastqc.zip","Adapter Content","PASS"
"CON2_R2","CON2","CON_t0","R2","CON2_R2_fastqc.zip","Basic Statistics","PASS"
"CON2_R2","CON2","CON_t0","R2","CON2_R2_fastqc.zip","Per base sequence content","FAIL"
"CON2_R2","CON2","CON_t0","R2","CON2_R2_fastqc.zip","Per sequence GC content","PASS"
"CON2_R2","CON2","CON_t0","R2","CON2_R2_fastqc.zip","Adapter Content","PASS"
"CON2_R2","CON2","CON_t0","R2","CON2_R2_fastqc.zip","Per base N content","PASS"
"CON2_R2","CON2","CON_t0","R2","CON2_R2_fastqc.zip","Per tile sequence quality","FAIL"
"CON2_R2","CON2","CON_t0","R2","CON2_R2_fastqc.zip","Per sequence quality scores","PASS"
"CON2_R2","CON2","CON_t0","R2","CON2_R2_fastqc.zip","Sequence Duplication Levels","FAIL"
"CON2_R2","CON2","CON_t0","R2","CON2_R2_fastqc.zip","Overrepresented sequences","PASS"
"CON2_R2","CON2","CON_t0","R2","CON2_R2_fastqc.zip","Per base sequence quality","PASS"
"CON2_R2","CON2","CON_t0","R2","CON2_R2_fastqc.zip","Sequence Length Distribution","PASS"
"CON3_R2","CON3","CON_t0","R2","CON3_R2_fastqc.zip","Adapter Content","PASS"
"CON3_R2","CON3","CON_t0","R2","CON3_R2_fastqc.zip","Basic Statistics","PASS"
"CON3_R2","CON3","CON_t0","R2","CON3_R2_fastqc.zip","Per base sequence content","FAIL"
"CON3_R2","CON3","CON_t0","R2","CON3_R2_fastqc.zip","Per sequence GC content","PASS"
"CON3_R2","CON3","CON_t0","R2","CON3_R2_fastqc.zip","Overrepresented sequences","PASS"
"CON3_R2","CON3","CON_t0","R2","CON3_R2_fastqc.zip","Per sequence quality scores","PASS"
"CON3_R2","CON3","CON_t0","R2","CON3_R2_fastqc.zip","Sequence Duplication Levels","FAIL"
"CON3_R2","CON3","CON_t0","R2","CON3_R2_fastqc.zip","Per tile sequence quality","FAIL"
"CON3_R2","CON3","CON_t0","R2","CON3_R2_fastqc.zip","Per base sequence quality","PASS"
"CON3_R2","CON3","CON_t0","R2","CON3_R2_fastqc.zip","Sequence Length Distribution","PASS"
"CON3_R2","CON3","CON_t0","R2","CON3_R2_fastqc.zip","Per base N content","FAIL"
"CON4_R2","CON4","CON_t0","R2","CON4_R2_fastqc.zip","Per base sequence quality","PASS"
"CON4_R2","CON4","CON_t0","R2","CON4_R2_fastqc.zip","Basic Statistics","PASS"
"CON4_R2","CON4","CON_t0","R2","CON4_R2_fastqc.zip","Per base N content","PASS"
"CON4_R2","CON4","CON_t0","R2","CON4_R2_fastqc.zip","Per sequence GC content","PASS"
"CON4_R2","CON4","CON_t0","R2","CON4_R2_fastqc.zip","Adapter Content","PASS"
"CON4_R2","CON4","CON_t0","R2","CON4_R2_fastqc.zip","Per base sequence content","FAIL"
"CON4_R2","CON4","CON_t0","R2","CON4_R2_fastqc.zip","Per sequence quality scores","PASS"
"CON4_R2","CON4","CON_t0","R2","CON4_R2_fastqc.zip","Overrepresented sequences","PASS"
"CON4_R2","CON4","CON_t0","R2","CON4_R2_fastqc.zip","Per tile sequence quality","PASS"
"CON4_R2","CON4","CON_t0","R2","CON4_R2_fastqc.zip","Sequence Duplication Levels","FAIL"
"CON4_R2","CON4","CON_t0","R2","CON4_R2_fastqc.zip","Sequence Length Distribution","PASS"
"CON5_R2","CON5","CON_t0","R2","CON5_R2_fastqc.zip","Per base N content","PASS"
"CON5_R2","CON5","CON_t0","R2","CON5_R2_fastqc.zip","Per sequence GC content","PASS"
"CON5_R2","CON5","CON_t0","R2","CON5_R2_fastqc.zip","Adapter Content","PASS"
"CON5_R2","CON5","CON_t0","R2","CON5_R2_fastqc.zip","Per base sequence content","FAIL"
"CON5_R2","CON5","CON_t0","R2","CON5_R2_fastqc.zip","Overrepresented sequences","PASS"
"CON5_R2","CON5","CON_t0","R2","CON5_R2_fastqc.zip","Basic Statistics","PASS"
"CON5_R2","CON5","CON_t0","R2","CON5_R2_fastqc.zip","Per base sequence quality","PASS"
"CON5_R2","CON5","CON_t0","R2","CON5_R2_fastqc.zip","Per tile sequence quality","PASS"
"CON5_R2","CON5","CON_t0","R2","CON5_R2_fastqc.zip","Per sequence quality scores","PASS"
"CON5_R2","CON5","CON_t0","R2","CON5_R2_fastqc.zip","Sequence Length Distribution","PASS"
