"gene_id","ENTREZID","SYMBOL","logFC_1W","FDR_1W","direction_1W","logFC_4W","FDR_4W","direction_4W","direction_persistent","category","mouse_symbol_for_gorth"
"G10090_1199",74617,"Scpep1",1.4534227231883,7.05139288248909e-08,"Up",1.16100598976557,4.16839383782485e-05,"Up","Up","persistent_direction_consistent","Scpep1"
"G10090_12023",74430,"Cfap20dc",1.37825751176138,0.000117466598925624,"Up",1.18598060313742,0.00504526311738083,"Up","Up","persistent_direction_consistent","Cfap20dc"
"G10090_12028",68262,"Agpat4",1.36011816345897,1.39521423946697e-06,"Up",1.38574612114023,2.39533742632881e-05,"Up","Up","persistent_direction_consistent","Agpat4"
"G10090_1204",11499,"Adam5",1.89685852097994,1.9644988475813e-06,"Up",1.15591124843302,0.000310563849605541,"Up","Up","persistent_direction_consistent","Adam5"
"G10090_12052",20964,"Syn1",1.05840025907311,4.18198507905417e-05,"Up",1.83625493467256,0.000375279637734902,"Up","Up","persistent_direction_consistent","Syn1"
"G10090_12113",330941,"AI593442",2.46405978793569,2.1237711911576e-06,"Up",3.52757707041611,6.0812898047026e-05,"Up","Up","persistent_direction_consistent","AI593442"
"G10090_1214",58522,"Trim54",-1.53490802571033,2.67210624576528e-05,"Down",-1.06881255589213,0.000178720054627081,"Down","Down","persistent_direction_consistent","Trim54"
"G10090_12153",116939,"Pnpla3",-1.89897998800599,3.60037944076654e-06,"Down",-1.29976152177992,4.65720828088389e-05,"Down","Down","persistent_direction_consistent","Pnpla3"
"G10090_12163",17022,"Lum",3.33275462158402,2.01137331257904e-09,"Up",2.45929683523368,1.74974397775968e-06,"Up","Up","persistent_direction_consistent","Lum"
"G10090_12172",66152,"Uqcr10",-1.45862316508755,9.70684948224123e-08,"Down",-1.01538734844957,7.95401977436768e-05,"Down","Down","persistent_direction_consistent","Uqcr10"
"G10090_12188",12491,"Cd36",-1.27309349600868,3.36279072901211e-07,"Down",-1.00981483980213,7.39034492136634e-05,"Down","Down","persistent_direction_consistent","Cd36"
"G10090_1221",195209,"Zfp469",2.86834928826535,2.90376854921951e-08,"Up",2.05834748405498,2.15669471455751e-05,"Up","Up","persistent_direction_consistent","Zfp469"
"G10090_12233",12155,"Bmp15",2.18022773724506,5.91880139848136e-06,"Up",1.67725668976565,0.000593301795367193,"Up","Up","persistent_direction_consistent","Bmp15"
"G10090_12237",54384,"Mtmr7",1.20086093908944,8.05332273321247e-07,"Up",1.98992140133777,2.93128415493107e-06,"Up","Up","persistent_direction_consistent","Mtmr7"
"G10090_12244",66106,"Smpx",-1.52032175551712,0.000225373717056918,"Down",-1.48933728525313,0.000132905136828888,"Down","Down","persistent_direction_consistent","Smpx"
"G10090_12266",11364,"Acadm",-1.69983922449781,8.41321205093056e-11,"Down",-1.00629010506776,1.85429417274412e-05,"Down","Down","persistent_direction_consistent","Acadm"
"G10090_12283",14874,"Gstz1",-1.40399529890151,4.37103041999187e-08,"Down",-1.19034886817101,1.24074745386916e-05,"Down","Down","persistent_direction_consistent","Gstz1"
"G10090_12314",21393,"Tcap",-1.53343505071822,8.64429289699603e-05,"Down",-1.03248830642527,0.000663935830258834,"Down","Down","persistent_direction_consistent","Tcap"
"G10090_12323",17907,"Mylpf",-1.82000456343182,8.07681432093049e-06,"Down",-1.10575880596414,0.000430708377692427,"Down","Down","persistent_direction_consistent","Mylpf"
"G10090_12330",104776,"Aldh6a1",-1.62478141885718,1.24792779088103e-09,"Down",-1.10533129489348,1.71660205336519e-05,"Down","Down","persistent_direction_consistent","Aldh6a1"
"G10090_1234",56708,"Clcf1",1.60613662465344,1.77342281800085e-07,"Up",1.28497893146111,0.000328879280536997,"Up","Up","persistent_direction_consistent","Clcf1"
"G10090_12394",78892,"Crispld2",1.36067993957807,0.000138343075975239,"Up",1.36628063667651,8.2610580307794e-05,"Up","Up","persistent_direction_consistent","Crispld2"
"G10090_12399",12489,"Cd33",1.56037095341114,1.07963613992324e-06,"Up",1.3334670778079,2.15811231539701e-05,"Up","Up","persistent_direction_consistent","Cd33"
"G10090_12410",13447,"Doc2b",1.73409881439622,7.17914503469101e-08,"Up",2.01465027735549,2.09473412057817e-05,"Up","Up","persistent_direction_consistent","Doc2b"
"G10090_12413",71099,"Tssk4",2.07000971738317,4.22063004080821e-07,"Up",1.21084442548682,0.00112505870143501,"Up","Up","persistent_direction_consistent","Tssk4"
"G10090_12417",13008,"Csrp2",2.59510810008103,6.81883415279447e-11,"Up",1.4553596390543,7.0539673113845e-05,"Up","Up","persistent_direction_consistent","Csrp2"
"G10090_12418",80986,"Ckap2",3.13520356693904,1.73782858128053e-09,"Up",1.63274009326087,0.000533881801045469,"Up","Up","persistent_direction_consistent","Ckap2"
"G10090_1242",16172,"Il17ra",1.10345672010774,5.91880139848136e-06,"Up",1.00319371382533,4.9496751536808e-05,"Up","Up","persistent_direction_consistent","Il17ra"
"G10090_12444",75744,"Svip",-1.49778511718984,2.36423045479278e-06,"Down",-1.15363351915349,0.000202719947738649,"Down","Down","persistent_direction_consistent","Svip"
"G10090_12448",20288,"Msr1",2.02496622264446,1.02346427230988e-07,"Up",1.32908283656813,6.43165000698155e-05,"Up","Up","persistent_direction_consistent","Msr1"
"G10090_12460",320078,"Olfml2b",2.47523802325054,3.09539135578518e-09,"Up",1.56380697386157,9.31586935535236e-06,"Up","Up","persistent_direction_consistent","Olfml2b"
"G10090_12496",13078,"Cyp1b1",1.18646417461269,0.00188955769178436,"Up",1.99211830805411,0.000108190158186086,"Up","Up","persistent_direction_consistent","Cyp1b1"
"G10090_12548",19348,"Kif20a",2.48163304972896,5.52698936682376e-09,"Up",1.33418404950634,0.00262276088610691,"Up","Up","persistent_direction_consistent","Kif20a"
"G10090_12553",235435,"Lctl",-2.40733021115978,0.00115868511901027,"Down",-1.08786428716164,0.00521236030214287,"Down","Down","persistent_direction_consistent","Lctl"
"G10090_12568",217353,"Tmc6",1.04841426918674,1.24874155086523e-06,"Up",1.09405940770105,3.31270834922564e-05,"Up","Up","persistent_direction_consistent","Tmc6"
"G10090_12575",11542,"Adora3",1.65141541389555,0.00097400163798166,"Up",1.32540130887577,0.00687654275739429,"Up","Up","persistent_direction_consistent","Adora3"
"G10090_12588",237988,"Cdr2l",2.03231063910693,3.06342259768057e-10,"Up",1.92777986493242,1.47710301898495e-05,"Up","Up","persistent_direction_consistent","Cdr2l"
"G10090_12598",78560,"Adgra2",1.96531144675117,6.35139360076241e-10,"Up",1.15634780993396,6.30881782845946e-06,"Up","Up","persistent_direction_consistent","Adgra2"
"G10090_126",117600,"Srgap1",1.51099947485647,1.58705235182047e-09,"Up",1.22407271110542,7.35808079675892e-05,"Up","Up","persistent_direction_consistent","Srgap1"
"G10090_12604",77629,"Sphkap",1.74645815643404,1.0445891083212e-05,"Up",2.6877144549346,7.7713649441161e-05,"Up","Up","persistent_direction_consistent","Sphkap"
"G10090_12624",270893,"Tmem132e",2.99051489319171,1.4738838728747e-06,"Up",2.33352980298269,7.01886872959607e-05,"Up","Up","persistent_direction_consistent","Tmem132e"
"G10090_12629",244152,"Tsku",2.2028372280216,1.84141848313303e-09,"Up",1.90887849683683,1.88327430833776e-05,"Up","Up","persistent_direction_consistent","Tsku"
"G10090_12634",26380,"Esrrb",-2.43988325080152,2.88650188126715e-05,"Down",-1.04816226736016,0.041966805539624,"Down","Down","persistent_direction_consistent","Esrrb"
"G10090_12639",54427,"Dnmt3l",1.20458110745448,0.000178224352936699,"Up",1.12184470385022,0.0429031189942123,"Up","Up","persistent_direction_consistent","Dnmt3l"
"G10090_12650",77889,"Lbh",1.17147881751862,4.42647895392448e-09,"Up",1.36150277165211,2.27247783624488e-06,"Up","Up","persistent_direction_consistent","Lbh"
"G10090_12651",26381,"Esrrg",-2.11427827942018,3.75718077967027e-05,"Down",-1.40340475984466,0.00625436797761087,"Down","Down","persistent_direction_consistent","Esrrg"
"G10090_1266",15234,"Hgf",2.23108069941139,4.82869650481918e-06,"Up",1.21658884247636,0.000607705131682011,"Up","Up","persistent_direction_consistent","Hgf"
"G10090_12667",74013,"Rftn2",1.0984072097828,1.09068221284856e-06,"Up",1.00012976944353,2.96003392042928e-05,"Up","Up","persistent_direction_consistent","Rftn2"
"G10090_12745",66650,"Nepn",-1.39348325584434,6.18091407480573e-06,"Down",-1.47891878290992,3.52668950960313e-06,"Down","Down","persistent_direction_consistent","Nepn"
"G10090_12751",13516,"Epyc",2.45226356657162,0.000688269481230489,"Up",3.32863442712409,1.17874333245269e-05,"Up","Up","persistent_direction_consistent","Epyc"
"G10090_1276",27419,"Naglu",1.2475365919521,5.29772658596976e-08,"Up",1.02634719928407,0.000119368207251485,"Up","Up","persistent_direction_consistent","Naglu"
"G10090_12799",78339,"Ttyh3",1.97459134247291,3.9062853785594e-11,"Up",1.14678090481435,1.96605503805335e-05,"Up","Up","persistent_direction_consistent","Ttyh3"
"G10090_1282",240057,"Syngap1",1.81574060383331,1.84410205677082e-09,"Up",1.44992577122565,4.35857411746435e-05,"Up","Up","persistent_direction_consistent","Syngap1"
