"human_symbol","CellAge_effect"
"NCAPH2","Induces"
"NDRG1","Induces"
"NDST2","Induces"
"NEDD4","Inhibits"
"NEK1","Inhibits"
"NEK2","Inhibits"
"NEK4","Induces"
"NEK6","Inhibits"
"NEK9","Inhibits"
"NF1","Inhibits"
"NF2","Induces"
"NFE2L2","Inhibits"
"NFKB2","Inhibits"
"NFKBIA","Induces"
"NHEJ1","Inhibits"
"NINJ1","Induces"
"NIPA2","Inhibits"
"NLK","Inhibits"
"NLRX1","Induces"
"NOLC1","Induces"
"NOTCH1","Induces"
"NOTCH3","Induces"
"NOX1","Induces"
"NOX4","Induces"
"NPM1","Inhibits"
"NQO1","Induces"
"NR1H2","Inhibits"
"NR2E1","Unclear"
"NRAS","Induces"
"NRF1","Inhibits"
"NRSN2","Induces"
"NSUN2","Inhibits"
"NTN4","Inhibits"
"NUAK1","Induces"
"NUAK2","Inhibits"
"NUDT5","Inhibits"
"NUTF2","Inhibits"
"OGG1","Inhibits"
"OGT","Induces"
"OPA1","Inhibits"
"ORAI1","Induces"
"ORC1","Inhibits"
"OTX2","Induces"
"OXTR","Inhibits"
"P2RY14","Inhibits"
"P3H1","Inhibits"
"PAK2","Induces"
"PAK4","Induces"
"PAPSS2","Inhibits"
"PARK7","Inhibits"
"PARP1","Inhibits"
"PATZ1","Inhibits"
"PAX8","Inhibits"
"PBRM1","Induces"
"PCGF2","Induces"
"PDCD10","Induces"
"PDCD11","Inhibits"
"PDCD4","Inhibits"
"PDGFB","Induces"
"PDIK1L","Induces"
"PDPK1","Induces"
"PDZD2","Induces"
"PEA15","Induces"
"PEBP1","Induces"
"PELP1","Inhibits"
"PES1","Inhibits"
"PEX19","Induces"
"PGR","Induces"
"PHB","Induces"
"PHB2","Inhibits"
"PHGDH","Inhibits"
"PI4KB","Induces"
"PIK3C2A","Unclear"
"PIK3CA","Unclear"
"PIK3R5","Induces"
"PIM1","Induces"
"PIN1","Induces"
"PINK1","Inhibits"
"PINX1","Induces"
"PIR","Inhibits"
"PITX1","Induces"
"PLA2G2A","Induces"
"PLA2R1","Induces"
"PLD2","Inhibits"
"PLK1","Inhibits"
"PML","Induces"
"PMVK","Induces"
"PNPT1","Induces"
"PON1","Inhibits"
"POT1","Inhibits"
"POU3F1","Induces"
"POU5F1","Induces"
"PPARG","Induces"
"PPARGC1A","Inhibits"
"PPIB","Inhibits"
"PPM1B","Inhibits"
"PPM1D","Inhibits"
"PPP1R13B","Inhibits"
"PPP2R1A","Induces"
"PPP2R5A","Induces"
"PRKAA2","Inhibits"
"PRKCD","Induces"
"PRKCH","Induces"
"PRKD1","Induces"
"PRKD2","Inhibits"
"PRKDC","Inhibits"
"PRKN","Inhibits"
"PRMT1","Inhibits"
"PRMT6","Inhibits"
"PRODH","Induces"
"PROX1","Induces"
"PRPF19","Inhibits"
"PSMA2","Inhibits"
"PSMA5","Inhibits"
"PSMB1","Inhibits"
"PSMB5","Inhibits"
"PSMD14","Inhibits"
"PTEN","Inhibits"
"PTGS2","Induces"
"PTK2","Inhibits"
"PTPN1","Unclear"
"PTPN6","Inhibits"
"PTTG1","Induces"
"PURB","Induces"
"PYGL","Inhibits"
"RACGAP1","Inhibits"
"RACK1","Inhibits"
"RAD21","Inhibits"
"RAD23B","Inhibits"
"RAD51C","Inhibits"
"RAF1","Induces"
"RAN","Inhibits"
"RANBP9","Inhibits"
"RAP1GAP","Induces"
"RAPGEF4","Inhibits"
"RARB","Induces"
"RASSF1","Induces"
"RASSF4","Inhibits"
"RASSF5","Induces"
"RB1","Induces"
"RBBP4","Inhibits"
"RBL1","Induces"
"RBL2","Induces"
"RBM38","Induces"
"RBM39","Inhibits"
"RBP1","Induces"
"RBP2","Inhibits"
"RBPJ","Induces"
"RBX1","Inhibits"
"RCC1","Inhibits"
"RECK","Inhibits"
"RECQL4","Inhibits"
"RELA","Induces"
