"Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","CellAge_human_symbol","CellAge_effect"
94234,"FOXQ1","forkhead box Q1","No","Unclear","Inhibits",29500491,"FOXQ1","Inhibits"
6624,"FSCN1","fascin actin-bundling protein 1","Yes","Stress-induced","Inhibits",26058854,"FSCN1","Inhibits"
2395,"FXN","frataxin","Yes","Unclear","Inhibits",24860428,"FXN","Inhibits"
8087,"FXR1","FMR1 autosomal homolog 1","Yes","Replicative","Inhibits",27606879,"FXR1","Inhibits"
2539,"G6PD","glucose-6-phosphate dehydrogenase","No","Stress-induced","Inhibits",10980404,"G6PD","Inhibits"
10912,"GADD45G","growth arrest and DNA damage inducible gamma","Yes","Replicative","Induces",23897841,"GADD45G","Induces"
2597,"GAPDH","glyceraldehyde-3-phosphate dehydrogenase","Yes","Stress-induced","Inhibits",21749859,"GAPDH","Inhibits"
2626,"GATA4","GATA binding protein 4","No","Replicative","Induces",26404840,"GATA4","Induces"
2626,"GATA4","GATA binding protein 4","No","Stress-induced","Induces",26404840,"GATA4","Induces"
9518,"GDF15","growth differentiation factor 15","No","Oncogene-induced","Induces",26909594,"GDF15","Induces"
9518,"GDF15","growth differentiation factor 15","No","Stress-induced","Induces",26909594,"GDF15","Induces"
8487,"GEMIN2","gem nuclear organelle associated protein 2","Yes","Replicative","Induces",16461895,"GEMIN2","Induces"
79017,"GGCT","gamma-glutamylcyclotransferase","Yes","Oncogene-induced","Inhibits",27658708,"GGCT","Inhibits"
2697,"GJA1","gap junction protein alpha 1","No","Unclear","Induces",30518918,"GJA1","Induces"
56287,"GKN1","gastrokine 1","Yes","Replicative","Induces",25344918,"GKN1","Induces"
2735,"GLI1","GLI family zinc finger 1","Yes","Unclear","Inhibits",29930746,"GLI1","Inhibits"
51053,"GMNN","geminin DNA replication inhibitor","No","Replicative","Inhibits",23142824,"GMNN","Inhibits"
51053,"GMNN","geminin DNA replication inhibitor","No","Stress-induced","Inhibits",23142824,"GMNN","Inhibits"
8833,"GMPS","guanine monophosphate synthase","Yes","Unclear","Inhibits",27939741,"GMPS","Inhibits"
2791,"GNG11","G protein subunit gamma 11","No","Stress-induced","Induces",17092487,"GNG11","Induces"
27232,"GNMT","glycine N-methyltransferase","Yes","Unclear","Induces",22160218,"GNMT","Induces"
2719,"GPC3","glypican 3","Yes","Replicative","Inhibits",21847365,"GPC3","Inhibits"
2898,"GRIK2","glutamate ionotropic receptor kainate type subunit 2","Yes","Replicative","Induces",30587499,"GRIK2","Induces"
2868,"GRK4","G protein-coupled receptor kinase 4","No","Unclear","Induces",28912086,"GRK4","Induces"
2870,"GRK6","G protein-coupled receptor kinase 6","No","Unclear","Induces",26583757,"GRK6","Induces"
2896,"GRN","granulin precursor","Yes","Unclear","Inhibits",26600492,"GRN","Inhibits"
2925,"GRPR","gastrin releasing peptide receptor","Yes","Unclear","Inhibits",26780458,"GRPR","Inhibits"
2926,"GRSF1","G-rich RNA sequence binding factor 1","No","Replicative","Inhibits",30944385,"GRSF1","Inhibits"
2926,"GRSF1","G-rich RNA sequence binding factor 1","No","Stress-induced","Inhibits",30944385,"GRSF1","Inhibits"
2931,"GSK3A","glycogen synthase kinase 3 alpha","Yes","Unclear","Inhibits",24396695,"GSK3A","Inhibits"
2932,"GSK3B","glycogen synthase kinase 3 beta","Yes","Unclear","Inhibits",18782348,"GSK3B","Inhibits"
51512,"GTSE1","G2 and S-phase expressed 1","Yes","Stress-induced","Inhibits",30961661,"GTSE1","Inhibits"
3036,"HAS1","hyaluronan synthase 1","No","Stress-induced","Inhibits",31219803,"HAS1","Inhibits"
54930,"HAUS4","HAUS augmin like complex subunit 4","No","Unclear","Inhibits",32264951,"HAUS4","Inhibits"
26959,"HBP1","HMG-box transcription factor 1","No","Oncogene-induced","Induces",16966377,"HBP1","Induces"
