"Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","CellAge_symbol"
1030,"CDKN2B","cyclin dependent kinase inhibitor 2B","Yes","Replicative","Induces",10939591,"CDKN2B"
634,"CEACAM1","CEA cell adhesion molecule 1","No","Stress-induced","Induces",23552604,"CEACAM1"
1051,"CEBPB","CCAAT enhancer binding protein beta","Yes","Stress-induced","Induces",25772238,"CEBPB"
1054,"CEBPG","CCAAT enhancer binding protein gamma","Yes","Oncogene-induced","Inhibits",23775115,"CEBPG"
1058,"CENPA","centromere protein A","No","Unclear","Inhibits",20160010,"CENPA"
8208,"CHAF1B","chromatin assembly factor 1 subunit B","Yes","Oncogene-induced","Inhibits",28806777,"CHAF1B"
26038,"CHD5","chromodomain helicase DNA binding protein 5","No","Replicative","Induces",23168260,"CHD5"
1111,"CHEK1","checkpoint kinase 1","Yes","Stress-induced","Induces",20716119,"CHEK1"
11200,"CHEK2","checkpoint kinase 2","Yes","Unclear","Induces",16024600,"CHEK2"
1147,"CHUK","component of inhibitor of nuclear factor kappa B kinase complex","Yes","Stress-induced","Induces",22740410,"CHUK"
57650,"CIP2A","cellular inhibitor of PP2A","Yes","Unclear","Inhibits",18559589,"CIP2A"
11113,"CIT","citron rho-interacting serine/threonine kinase","Yes","Oncogene-induced","Inhibits",28806777,"CIT"
26586,"CKAP2","cytoskeleton associated protein 2","No","Unclear","Inhibits",32264951,"CKAP2"
1152,"CKB","creatine kinase B","No","Unclear","Induces",26583757,"CKB"
9635,"CLCA2","chloride channel accessory 2","No","Stress-induced","Induces",22431922,"CLCA2"
8192,"CLPP","caseinolytic mitochondrial matrix peptidase proteolytic subunit","Yes","Stress-induced","Inhibits",30878663,"CLPP"
63967,"CLSPN","claspin","Yes","Oncogene-induced","Inhibits",30796221,"CLSPN"
1191,"CLU","clusterin","Yes","Stress-induced","Inhibits",31376806,"CLU"
57472,"CNOT6","CCR4-NOT transcription complex subunit 6","No","Unclear","Inhibits",26792405,"CNOT6"
246175,"CNOT6L","CCR4-NOT transcription complex subunit 6 like","Yes","Unclear","Inhibits",21233283,"CNOT6L"
1329,"COX5B","cytochrome c oxidase subunit 5B","Yes","Unclear","Inhibits",26506233,"COX5B"
64506,"CPEB1","cytoplasmic polyadenylation element binding protein 1","No","Replicative","Induces",19141477,"CPEB1"
126129,"CPT1C","carnitine palmitoyltransferase 1C","Yes","Unclear","Inhibits",30070697,"CPT1C"
8804,"CREG1","cellular repressor of E1A stimulated genes 1","Yes","Oncogene-induced","Induces",21263217,"CREG1"
83716,"CRISPLD2","cysteine rich secretory protein LCCL domain containing 2","No","Stress-induced","Inhibits",31219803,"CRISPLD2"
1452,"CSNK1A1","casein kinase 1 alpha 1","Yes","Unclear","Inhibits",23324396,"CSNK1A1"
1457,"CSNK2A1","casein kinase 2 alpha 1","No","Replicative","Inhibits",16442104,"CSNK2A1"
1491,"CTH","cystathionine gamma-lyase","Yes","Replicative","Inhibits",23353821,"CTH"
8727,"CTNNAL1","catenin alpha like 1","Yes","Oncogene-induced","Inhibits",21278790,"CTNNAL1"
1499,"CTNNB1","catenin beta 1","No","Unclear","Induces",24130040,"CTNNB1"
1508,"CTSB","cathepsin B","No","Unclear","Inhibits",30352807,"CTSB"
1509,"CTSD","cathepsin D","Yes","Unclear","Inhibits",26657266,"CTSD"
8450,"CUL4B","cullin 4B","Yes","Replicative","Inhibits",25464270,"CUL4B"
1523,"CUX1","cut like homeobox 1","No","Oncogene-induced","Inhibits",24618719,"CUX1"
2919,"CXCL1","C-X-C motif chemokine ligand 1","No","Oncogene-induced","Induces",17060621,"CXCL1"
3579,"CXCR2","C-X-C motif chemokine receptor 2","No","Replicative","Induces",18555777,"CXCR2"
1727,"CYB5R3","cytochrome b5 reductase 3","No","Unclear","Inhibits",24450884,"CYB5R3"
1536,"CYBB","cytochrome b-245 beta chain","No","Unclear","Induces",21841319,"CYBB"
1592,"CYP26A1","cytochrome P450 family 26 subfamily A member 1","Yes","Stress-induced","Inhibits",26058854,"CYP26A1"
1610,"DAO","D-amino acid oxidase","Yes","Stress-induced","Induces",27545311,"DAO"
23564,"DDAH2","dimethylarginine dimethylaminohydrolase 2","No","Unclear","Inhibits",24764313,"DDAH2"
1642,"DDB1","damage specific DNA binding protein 1","Yes","Oncogene-induced","Inhibits",28806777,"DDB1"
1643,"DDB2","damage specific DNA binding protein 2","No","Oncogene-induced","Induces",20351176,"DDB2"
54541,"DDIT4","DNA damage inducible transcript 4","No","Replicative","Inhibits",22627671,"DDIT4"
7913,"DEK","DEK proto-oncogene","No","Replicative","Inhibits",16254365,"DEK"
64798,"DEPTOR","DEP domain containing MTOR interacting protein","Yes","Unclear","Inhibits",25568666,"DEPTOR"
54487,"DGCR8","DGCR8 microprocessor complex subunit","No","Unclear","Inhibits",23773483,"DGCR8"
1718,"DHCR24","24-dehydrocholesterol reductase","No","Oncogene-induced","Induces",15577914,"DHCR24"
10202,"DHRS2","dehydrogenase/reductase 2","Yes","Unclear","Induces",29632240,"DHRS2"
1660,"DHX9","DExH-box helicase 9","No","Replicative","Inhibits",24990949,"DHX9"
23405,"DICER1","dicer 1, ribonuclease III","No","Stress-induced","Inhibits",26990999,"DICER1"
11083,"DIDO1","death inducer-obliterator 1","No","Unclear","Inhibits",26611489,"DIDO1"
9077,"DIRAS3","DIRAS family GTPase 3","No","Unclear","Inhibits",28316325,"DIRAS3"
1736,"DKC1","dyskerin pseudouridine synthase 1","Yes","Replicative","Inhibits",25732822,"DKC1"
10395,"DLC1","DLC1 Rho GTPase activating protein","Yes","Oncogene-induced","Induces",23853104,"DLC1"
9988,"DMTF1","cyclin D binding myb like transcription factor 1","No","Oncogene-induced","Induces",18267069,"DMTF1"
1786,"DNMT1","DNA methyltransferase 1","No","Unclear","Inhibits",21572997,"DNMT1"
1788,"DNMT3A","DNA methyltransferase 3 alpha","Yes","Stress-induced","Inhibits",20473858,"DNMT3A"
1789,"DNMT3B","DNA methyltransferase 3 beta","No","Unclear","Inhibits",21572997,"DNMT3B"
84444,"DOT1L","DOT1 like histone lysine methyltransferase","Yes","Unclear","Inhibits",22190683,"DOT1L"
1803,"DPP4","dipeptidyl peptidase 4","No","Oncogene-induced","Induces",29481642,"DPP4"
84661,"DPY30","dpy-30 histone methyltransferase complex regulatory subunit","No","Unclear","Inhibits",23872946,"DPY30"
51514,"DTL","denticleless E3 ubiquitin protein ligase homolog","Yes","Unclear","Inhibits",29606879,"DTL"
1843,"DUSP1","dual specificity phosphatase 1","Yes","Oncogene-induced","Induces",30536303,"DUSP1"
80824,"DUSP16","dual specificity phosphatase 16","Yes","Unclear","Inhibits",26381291,"DUSP16"
63904,"DUSP21","dual specificity phosphatase 21","Yes","Unclear","Inhibits",23929653,"DUSP21"
1845,"DUSP3","dual specificity phosphatase 3","Yes","Unclear","Inhibits",16604064,"DUSP3"
1848,"DUSP6","dual specificity phosphatase 6","Yes","Oncogene-induced","Inhibits",25499223,"DUSP6"
1859,"DYRK1A","dual specificity tyrosine phosphorylation regulated kinase 1A","Yes","Oncogene-induced","Induces",21498570,"DYRK1A"
1869,"E2F1","E2F transcription factor 1","No","Unclear","Induces",10594030,"E2F1"
1871,"E2F3","E2F transcription factor 3","Yes","Unclear","Inhibits",22354972,"E2F3"
144455,"E2F7","E2F transcription factor 7","No","Oncogene-induced","Induces",22802529,"E2F7"
1894,"ECT2","epithelial cell transforming 2","Yes","Oncogene-induced","Inhibits",28806777,"ECT2"
9521,"EEF1E1","eukaryotic translation elongation factor 1 epsilon 1","No","Unclear","Induces",25465621,"EEF1E1"
1956,"EGFR","epidermal growth factor receptor","Yes","Unclear","Inhibits",25504754,"EGFR"
54583,"EGLN1","egl-9 family hypoxia inducible factor 1","Yes","Replicative","Induces",16161047,"EGLN1"
1959,"EGR2","early growth response 2","No","Unclear","Induces",33547862,"EGR2"
26298,"EHF","ETS homologous factor","No","Unclear","Induces",17627613,"EHF"
10919,"EHMT2","euchromatic histone lysine methyltransferase 2","Yes","Unclear","Inhibits",25595900,"EHMT2"
493861,"EID3","EP300 interacting inhibitor of differentiation 3","Yes","Stress-induced","Induces",30114644,"EID3"
5610,"EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2","No","Stress-induced","Induces",29906232,"EIF2AK2"
