"gene_id","ENTREZID","SYMBOL","logFC_1W","FDR_1W","direction_1W","logFC_4W","FDR_4W","direction_4W","direction_persistent","category"
"G10090_13077","56745","C1qtnf1",1.72747927866981,1.09266914397144e-07,"Up",1.50482414022228,1.87645879583537e-05,"Up","Up","persistent_direction_consistent"
"G10090_13093","171543","Bmf",1.53439265211316,9.97318974035089e-10,"Up",1.18225702168901,2.1432610323735e-05,"Up","Up","persistent_direction_consistent"
"G10090_13241","214791","Sertad4",2.04601998507983,9.52760427867422e-10,"Up",1.12786625548053,0.000187138336227618,"Up","Up","persistent_direction_consistent"
"G10090_13244","21825","Thbs1",2.07877339391141,1.25397070768013e-07,"Up",1.66701386212381,9.59603535530991e-06,"Up","Up","persistent_direction_consistent"
"G10090_13249","209012","Ulk4",1.50423292912855,2.11603877478587e-07,"Up",1.96613556100646,8.47895548974869e-05,"Up","Up","persistent_direction_consistent"
"G10090_13256","17082","Il1rl1",1.71907717808086,2.06782954242893e-06,"Up",1.04532344928673,7.39034492136634e-05,"Up","Up","persistent_direction_consistent"
"G10090_13332","17965","Nbl1",1.38384659783065,1.58128893328738e-06,"Up",1.84625104055734,2.3790502742392e-06,"Up","Up","persistent_direction_consistent"
"G10090_13388","29875","Iqgap1",1.15817376514794,6.06837192426126e-08,"Up",1.00997811865488,4.94945197534808e-06,"Up","Up","persistent_direction_consistent"
"G10090_13396","16010","Igfbp4",1.97253635513177,1.47242638533161e-09,"Up",1.22231180968599,0.000111091095523409,"Up","Up","persistent_direction_consistent"
"G10090_13415","17085","Ly9",2.53397267635284,5.58186499991013e-08,"Up",1.09719346240379,0.000178168005290993,"Up","Up","persistent_direction_consistent"
"G10090_13433","67580","Lrrc18",1.79406520782682,1.39788790197745e-07,"Up",1.43582255397167,0.00400342616669442,"Up","Up","persistent_direction_consistent"
"G10090_13457","210029","Metrnl",1.03945709679598,7.58986775937164e-06,"Up",1.5088858977633,1.28315914243982e-05,"Up","Up","persistent_direction_consistent"
"G10090_13470","217369","Uts2r",1.43220126929492,8.97235108708734e-06,"Up",1.6897802215518,2.03733349032424e-05,"Up","Up","persistent_direction_consistent"
"G10090_13473","19886","Ros1",2.99614246812231,5.993042896355e-06,"Up",1.53206938820579,0.00329206521449149,"Up","Up","persistent_direction_consistent"
"G10090_1349","14282","Fosb",1.62027975179252,0.00213207731600596,"Up",1.42151247724486,0.00995094663169375,"Up","Up","persistent_direction_consistent"
"G10090_13518","11489","Adam12",3.97758920559781,1.29031680864504e-10,"Up",1.14431621573922,0.00153782327368167,"Up","Up","persistent_direction_consistent"
"G10090_13592","16176","Il1b",3.00673637405627,0.000389419279667138,"Up",1.15442098060716,0.0371441155897181,"Up","Up","persistent_direction_consistent"
"G10090_13652","22068","Trpc6",1.38248146218069,2.01150527789754e-05,"Up",1.61229959233237,0.000168491206641354,"Up","Up","persistent_direction_consistent"
"G10090_13701","17160","Man2b2",1.23327519861142,1.70204238338748e-06,"Up",1.02754682149731,6.54653666977451e-05,"Up","Up","persistent_direction_consistent"
"G10090_13717","71740","Nectin4",1.95468876133028,9.38008399144351e-08,"Up",1.02550650098976,0.000347108307961836,"Up","Up","persistent_direction_consistent"
"G10090_13718","105245","Txndc5",1.27951712271099,1.62505344742292e-08,"Up",1.25109682204175,7.2773147457608e-06,"Up","Up","persistent_direction_consistent"
"G10090_13720","81907","Tmem108",1.5266091681302,0.000821730812035371,"Up",3.70498097680868,0.000141454921512726,"Up","Up","persistent_direction_consistent"
"G10090_13723","259172","Mfrp",1.44296464465056,2.02038765375633e-06,"Up",1.24442114446026,0.00114281972489255,"Up","Up","persistent_direction_consistent"
"G10090_13732","270084","Lpcat2",2.04087117731194,4.24441071743519e-10,"Up",1.58207898834541,1.24074745386916e-05,"Up","Up","persistent_direction_consistent"
"G10090_13780","13655","Egr3",1.07574030460946,0.000315055977638333,"Up",1.08469980385034,0.00781589777090646,"Up","Up","persistent_direction_consistent"
"G10090_13816","14226","Fkbp1b",1.98125121562081,4.12611819623689e-09,"Up",1.19552960054373,0.000105920215697697,"Up","Up","persistent_direction_consistent"
"G10090_1383","338367","Myo1d",1.16101794280388,1.388268579254e-05,"Up",1.59598661873781,2.24607050480471e-05,"Up","Up","persistent_direction_consistent"
"G10090_13850","20404","Sh3gl2",1.23518021188624,0.000660559958569068,"Up",1.29091435504362,0.000458099084758623,"Up","Up","persistent_direction_consistent"
"G10090_13969","319909","Ism1",1.60148045793573,6.24777345070831e-07,"Up",1.44845653238084,2.30744859926788e-05,"Up","Up","persistent_direction_consistent"
"G10090_13974","23887","Ggt5",1.41197500484604,2.39053734388375e-07,"Up",1.06502648835508,7.91617637117361e-05,"Up","Up","persistent_direction_consistent"
"G10090_14016","229949","Ak5",2.17096931401391,1.41746444432627e-07,"Up",1.65294312667834,4.33777295240462e-05,"Up","Up","persistent_direction_consistent"
"G10090_14120","14788","Gpr162",2.06501990740717,4.34173659909828e-08,"Up",1.25017518278416,0.000265005518391812,"Up","Up","persistent_direction_consistent"
"G10090_14121","19734","Rgs16",1.47267895510887,2.26931854865355e-05,"Up",1.01878937836977,0.000889551702458428,"Up","Up","persistent_direction_consistent"
"G10090_14122","56401","P3h1",1.63425877377084,5.10331696807295e-10,"Up",1.13725136690321,1.11135108909932e-05,"Up","Up","persistent_direction_consistent"
"G10090_14164","12532","Cdc25c",3.07172038276086,1.73079885422351e-08,"Up",1.81602335356222,0.000595288098387398,"Up","Up","persistent_direction_consistent"
"G10090_14172","12505","Cd44",1.89103538571616,4.92898352180302e-08,"Up",1.84868719401649,3.03525924601535e-06,"Up","Up","persistent_direction_consistent"
"G10090_14185","240332","Slc6a7",1.9117345210289,2.86871520197855e-05,"Up",1.90969985752516,0.000200989929081357,"Up","Up","persistent_direction_consistent"
"G10090_1419","71816","Rnf180",1.58602067993142,3.17083434746051e-07,"Up",1.26715500987169,0.000172730535939338,"Up","Up","persistent_direction_consistent"
"G10090_14199","329278","Tnn",7.78334193314931,1.25240941905408e-09,"Up",5.94221885098829,0.000108827400252373,"Up","Up","persistent_direction_consistent"
"G10090_14237","15529","Sdc2",1.1278925644304,2.89360048020756e-05,"Up",1.94761999788217,3.47364168238153e-06,"Up","Up","persistent_direction_consistent"
"G10090_14272","108760","Galnt16",1.76346063644787,5.10331696807295e-10,"Up",1.28357701250059,1.47710301898495e-05,"Up","Up","persistent_direction_consistent"
"G10090_14319","100039192","",5.96730048976589,1.15623753290511e-06,"Up",2.20902504443787,0.0343560500504154,"Up","Up","persistent_direction_consistent"
"G10090_14332","17698","Msn",1.10171193083306,1.13859767265284e-07,"Up",1.09872099518668,1.13418167011298e-05,"Up","Up","persistent_direction_consistent"
"G10090_14333","545370","Hmcn1",1.54129281794663,4.05768948606021e-07,"Up",1.75864577486031,2.8069905731064e-06,"Up","Up","persistent_direction_consistent"
"G10090_14367","232313","Gxylt2",3.59667268274148,6.9243071223192e-09,"Up",2.12678520277241,4.82151624513373e-06,"Up","Up","persistent_direction_consistent"
"G10090_14369","18227","Nr4a2",1.90346901364788,4.22401141302055e-05,"Up",1.15910710076616,0.0049134533491392,"Up","Up","persistent_direction_consistent"
"G10090_14400","74580","Pyroxd2",1.67603792648996,1.89465774841821e-07,"Up",1.17750306909582,0.000118212952010788,"Up","Up","persistent_direction_consistent"
"G10090_14414","19242","Ptn",4.00501706585527,1.74863259965908e-12,"Up",1.26688545462346,2.38202682037391e-05,"Up","Up","persistent_direction_consistent"
"G10090_14419","16402","Itga5",1.51657723519475,5.11192318515357e-09,"Up",1.25722177917919,2.38202682037391e-05,"Up","Up","persistent_direction_consistent"
"G10090_14431","94352","Loxl2",1.74047856913474,1.28164851611697e-06,"Up",1.475981140634,2.23633937727112e-05,"Up","Up","persistent_direction_consistent"
"G10090_14473","20538","Slc6a2",2.82274779535112,1.07704879260983e-07,"Up",2.28795046497398,1.84726806990007e-05,"Up","Up","persistent_direction_consistent"
"G10090_14528","15559","Htr2b",1.84559092702975,1.21564195876806e-08,"Up",1.71441641816022,0.00208057557733221,"Up","Up","persistent_direction_consistent"
"G10090_14558","320207","Pik3r5",1.45646828091137,4.01686895804901e-07,"Up",1.16259589437712,4.6426920926992e-05,"Up","Up","persistent_direction_consistent"
"G10090_14587","13404","Dmc1",1.75817476223018,8.30641710627466e-05,"Up",1.491371149288,4.72371098353227e-05,"Up","Up","persistent_direction_consistent"
"G10090_14602","20677","Sox4",1.8868333920114,1.19984285717762e-11,"Up",1.57240384754254,6.38822267926656e-06,"Up","Up","persistent_direction_consistent"
"G10090_14637","171285","Havcr2",2.56556924799642,8.16092273866807e-09,"Up",2.10541402313983,4.05960172506983e-06,"Up","Up","persistent_direction_consistent"
