"gene_id","ENTREZID","SYMBOL","logFC","FDR","timepoint","strict_DEG","direction","fdr_source_column"
"G10090_29177","66887","Lonp2",-0.598060442848836,3.47364168238153e-06,"4W",FALSE,"Down","FDR"
"G10090_14237","15529","Sdc2",1.94761999788217,3.47364168238153e-06,"4W",TRUE,"Up","FDR"
"G10090_5112","53422","Ybx2",-1.18596721379963,3.47364168238153e-06,"4W",TRUE,"Down","FDR"
"G10090_16199","14873","Gsto1",-0.59670936538795,3.47975003317354e-06,"4W",FALSE,"Down","FDR"
"G10090_16018","329910","Acot11",1.24114619109241,3.47975003317354e-06,"4W",TRUE,"Up","FDR"
"G10090_13634","72828","Ubash3b",0.983530908709041,3.47975003317354e-06,"4W",FALSE,"Up","FDR"
"G10090_4840","15251","Hif1a",1.18436287018642,3.50122417820682e-06,"4W",TRUE,"Up","FDR"
"G10090_20478","74761","Mxra8",1.5672444918604,3.50122417820682e-06,"4W",TRUE,"Up","FDR"
"G10090_26689","68453","Gpihbp1",-0.849276064571154,3.50122417820682e-06,"4W",FALSE,"Down","FDR"
"G10090_17598","14726","Pdpn",1.67177856676217,3.50122417820682e-06,"4W",TRUE,"Up","FDR"
"G10090_19874","12509","Cd59a",-0.858934782753702,3.52668950960313e-06,"4W",FALSE,"Down","FDR"
"G10090_12745","66650","Nepn",-1.47891878290992,3.52668950960313e-06,"4W",TRUE,"Down","FDR"
"G10090_25627","209032","Zc3hav1l",1.22813609558619,3.69436231815547e-06,"4W",TRUE,"Up","FDR"
"G10090_14458","53619","Blcap",-0.615684543137569,3.86209419755201e-06,"4W",FALSE,"Down","FDR"
"G10090_33654","56213","Htra1",1.90813504770515,3.87386476733688e-06,"4W",TRUE,"Up","FDR"
"G10090_22885","14860","Gsta4",-1.21216070112671,3.87874899915934e-06,"4W",TRUE,"Down","FDR"
"G10090_24623","14314","Fstl1",1.55603014825716,3.96649116632836e-06,"4W",TRUE,"Up","FDR"
"G10090_14584","51798","Ech1",-0.794492830277677,3.96649116632836e-06,"4W",FALSE,"Down","FDR"
"G10090_4594","74117","Actr3",0.690193741897076,3.96649116632836e-06,"4W",FALSE,"Up","FDR"
"G10090_20130","319480","Itga11",1.8467903744991,3.96649116632836e-06,"4W",TRUE,"Up","FDR"
"G10090_16534","15108","Hsd17b10",-0.700626483909044,3.99929134833194e-06,"4W",FALSE,"Down","FDR"
"G10090_14637","171285","Havcr2",2.10541402313983,4.05960172506983e-06,"4W",TRUE,"Up","FDR"
"G10090_23861","12825","Col3a1",2.19709764197913,4.1140116996626e-06,"4W",TRUE,"Up","FDR"
"G10090_3211","83925","Trps1",1.2318327688599,4.1140116996626e-06,"4W",TRUE,"Up","FDR"
"G10090_25551","12818","Col14a1",1.94791171505782,4.13738149009171e-06,"4W",TRUE,"Up","FDR"
"G10090_11364","73205","C9orf72",-0.697682344879817,4.13954239178848e-06,"4W",FALSE,"Down","FDR"
"G10090_11077","76826","Nubpl",-0.832683416249526,4.23275740747141e-06,"4W",FALSE,"Down","FDR"
"G10090_26918","74147","Ehhadh",-0.940795361225763,4.23275740747141e-06,"4W",FALSE,"Down","FDR"
"G10090_26636","76263","Gstk1",-0.987383189699568,4.26789457056265e-06,"4W",FALSE,"Down","FDR"
"G10090_31209","20969","Sdc1",2.28945657705889,4.35967872867964e-06,"4W",TRUE,"Up","FDR"
"G10090_15395","50706","Postn",2.2202367743276,4.42334552031224e-06,"4W",TRUE,"Up","FDR"
"G10090_26943","66616","Snx9",0.608114466337462,4.44823186753004e-06,"4W",FALSE,"Up","FDR"
"G10090_13218","235169","Foxred1",-0.486679765026571,4.44823186753004e-06,"4W",FALSE,"Down","FDR"
"G10090_21021","93874","Pcdhb3",1.61553173144859,4.44823186753004e-06,"4W",TRUE,"Up","FDR"
"G10090_11707","56794","Hacl1",-0.725659678232113,4.44823186753004e-06,"4W",FALSE,"Down","FDR"
"G10090_2805","14268","Fn1",3.1114096585538,4.44823186753004e-06,"4W",TRUE,"Up","FDR"
"G10090_16466","93735","Wnt16",3.9999084394722,4.44823186753004e-06,"4W",TRUE,"Up","FDR"
"G10090_999","60525","Acss2",-1.17075566259381,4.44823186753004e-06,"4W",TRUE,"Down","FDR"
"G10090_3227","223753","Cerk",1.23850197035888,4.44823186753004e-06,"4W",TRUE,"Up","FDR"
"G10090_8151","319901","Dsel",1.50509098590646,4.44823186753004e-06,"4W",TRUE,"Up","FDR"
"G10090_27136","66419","Mrpl11",-0.768540383722132,4.50321060472379e-06,"4W",FALSE,"Down","FDR"
"G10090_10762","66119","Tomm6",-0.409334114279305,4.50321060472379e-06,"4W",FALSE,"Down","FDR"
"G10090_12014","100702","Gbp6",-1.08552032928265,4.50321060472379e-06,"4W",TRUE,"Down","FDR"
"G10090_16803","14745","Lpar1",1.18366342126708,4.50321060472379e-06,"4W",TRUE,"Up","FDR"
"G10090_10108","15107","Hadh",-0.872066759153097,4.50321060472379e-06,"4W",FALSE,"Down","FDR"
"G10090_8414","20280","Scp2",-0.805323480750506,4.61220092123519e-06,"4W",FALSE,"Down","FDR"
"G10090_17700","18516","Pbx3",0.834842660293663,4.61734833570326e-06,"4W",FALSE,"Up","FDR"
"G10090_495","269514","Fbxl4",-0.819607217265825,4.61734833570326e-06,"4W",FALSE,"Down","FDR"
"G10090_638","279572","Tlr13",1.70244514673232,4.61734833570326e-06,"4W",TRUE,"Up","FDR"
"G10090_5003","102747","Lrrc49",1.07344096048145,4.61734833570326e-06,"4W",TRUE,"Up","FDR"
"G10090_25614","76365","Tbx18",1.70592436976288,4.61734833570326e-06,"4W",TRUE,"Up","FDR"
"G10090_11497","69863","Ttc39b",0.808345565115635,4.61734833570326e-06,"4W",FALSE,"Up","FDR"
"G10090_15342","240880","Scyl3",0.452826167194476,4.61734833570326e-06,"4W",FALSE,"Up","FDR"
"G10090_966","319939","Tns3",0.925998851013496,4.64947694513807e-06,"4W",FALSE,"Up","FDR"
"G10090_28781","67247","Mtarc2",-0.553090907895429,4.64947694513807e-06,"4W",FALSE,"Down","FDR"
"G10090_18983","26563","Ror1",0.981419519784217,4.64947694513807e-06,"4W",FALSE,"Up","FDR"
"G10090_5485","53357","Pla2g6",-0.740163267023778,4.69367359859445e-06,"4W",FALSE,"Down","FDR"
"G10090_29116","19249","Ptpn13",1.11492810600288,4.69781683380482e-06,"4W",TRUE,"Up","FDR"
"G10090_25508","80782","Klrb1b",1.82113497389035,4.69781683380482e-06,"4W",TRUE,"Up","FDR"
"G10090_8722","225997","Trpm6",2.12563025022863,4.69781683380482e-06,"4W",TRUE,"Up","FDR"
"G10090_199","52696","Zwint",-0.51177541825849,4.69781683380482e-06,"4W",FALSE,"Down","FDR"
"G10090_28812","227697","Dolk",-0.509458128800619,4.69781683380482e-06,"4W",FALSE,"Down","FDR"
"G10090_33626","78038","Mccc2",-0.932539497863957,4.69781683380482e-06,"4W",FALSE,"Down","FDR"
"G10090_1166","242050","Igsf10",1.78832173233435,4.70582097693374e-06,"4W",TRUE,"Up","FDR"
"G10090_14781","102545","Cmtm7",0.736734626008548,4.7650547279952e-06,"4W",FALSE,"Up","FDR"
"G10090_29587","12176","Bnip3",-1.07873108605743,4.7650547279952e-06,"4W",TRUE,"Down","FDR"
"G10090_24864","19221","Ptgfrn",1.68806678686995,4.7650547279952e-06,"4W",TRUE,"Up","FDR"
"G10090_32594","218442","Serinc5",1.25185883275252,4.7650547279952e-06,"4W",TRUE,"Up","FDR"
"G10090_14367","232313","Gxylt2",2.12678520277241,4.82151624513373e-06,"4W",TRUE,"Up","FDR"
"G10090_11859","66913","Kdelr2",0.999332049029722,4.87686652691177e-06,"4W",FALSE,"Up","FDR"
"G10090_24464","326618","Tpm4",1.12932308899908,4.89865595381775e-06,"4W",TRUE,"Up","FDR"
"G10090_13388","29875","Iqgap1",1.00997811865488,4.94945197534808e-06,"4W",TRUE,"Up","FDR"
"G10090_361","12153","Bmp1",1.66496796031198,4.98960545774323e-06,"4W",TRUE,"Up","FDR"
"G10090_2002","23797","Akt3",0.676666647404253,4.98960545774323e-06,"4W",FALSE,"Up","FDR"
"G10090_16470","76123","Gpsm2",1.64829378594414,4.98960545774323e-06,"4W",TRUE,"Up","FDR"
"G10090_8626","19139","Prps1",-0.853285014418405,4.98960545774323e-06,"4W",FALSE,"Down","FDR"
"G10090_15904","106931","Kctd1",1.62624611427721,4.98960545774323e-06,"4W",TRUE,"Up","FDR"
"G10090_668","77422","C330018D20Rik",-0.853679299584358,4.99360100012832e-06,"4W",FALSE,"Down","FDR"
"G10090_8494","63959","Slc29a1",1.06382065232661,5.02106481591608e-06,"4W",TRUE,"Up","FDR"
"G10090_10942","170625","Snx18",0.720073581057456,5.02246806675195e-06,"4W",FALSE,"Up","FDR"
"G10090_19578","56336","B4galt5",1.08867238360053,5.02246806675195e-06,"4W",TRUE,"Up","FDR"
"G10090_25945","53895","Clpp",-0.541993456641618,5.03615122405135e-06,"4W",FALSE,"Down","FDR"
"G10090_31974","21346","Tagln2",1.36030474950114,5.03615122405135e-06,"4W",TRUE,"Up","FDR"
"G10090_19641","66102","Cxcl16",1.49459105083351,5.03615122405135e-06,"4W",TRUE,"Up","FDR"
"G10090_4135","242202","Pde5a",1.66831602186886,5.05819112495582e-06,"4W",TRUE,"Up","FDR"
"G10090_7011","93888","Pcdhb17",1.03508455834798,5.05819112495582e-06,"4W",TRUE,"Up","FDR"
"G10090_3744","54216","Pcdh7",0.983253831796864,5.08981409591638e-06,"4W",FALSE,"Up","FDR"
