"gene_id","GSM7140486_CON1_synovium","GSM7140491_CON2_synovium","GSM7140495_CON3_synovium","GSM7140500_CON4_synovium","GSM7140502_CON5_synovium","GSM7140507_CON6_synovium","GSM7140511_CON7_synovium","GSM7140516_CON8_synovium","GSM7140518_CON9_synovium","GSM7140523_CON10_synovium","GSM7140527_CON11_synovium","GSM7140532_CON12_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140501_ACLT12_synovium"
"ENSSSCG00000038964",28.96289,27.232977,24.458318,27.793231,16.403681,22.222332,32.529126,31.277224,24.653553,28.172944,18.73394,32.669326,18.316562,22.996956,13.50305,22.012289,30.214917,19.635478,20.6345,25.643628,20.140856,21.471764,14.526276,10.802887
"ENSSSCG00000038965",2.066586,3.323214,3.767279,0.202486,7.46958,7.083792,5.325948,14.618335,1.801162,3.590439,0.418628,9.411843,0.800794,0.166123,6.556127,3.216623,0,6.08681,0,4.606633,1.229986,8.456154,0.451125,7.532858
"ENSSSCG00000038966",0,0.795723,1.529208,1.032453,0.544739,12.378843,1.081921,0.708875,0.539478,1.541977,1.653455,0.570731,0.435928,0.645524,1.307743,0,0.917289,1.243449,1.057033,0.643067,0.946568,0.824697,0.605952,1.456742
"ENSSSCG00000038967",46.496537,42.694248,52.951605,47.547074,34.680852,60.108539,46.918761,50.549373,41.036403,49.136102,32.93015,44.154458,34.435356,42.467071,43.334401,43.800066,42.861192,40.532937,46.019941,41.819279,46.279205,50.402254,32.184112,35.363143
"ENSSSCG00000038968",70.856902,71.75488,55.069801,74.175349,80.332253,73.73222,52.415877,84.812702,52.634484,68.965054,78.104722,59.498852,56.934792,58.64956,100.43977,91.390825,90.106437,84.609526,79.199321,89.326103,59.765544,71.197772,60.838457,81.209445
"ENSSSCG00000038969",34.771256,21.891347,36.840441,30.721276,23.306682,25.563433,25.219113,22.689379,18.420573,17.838719,17.013393,20.877897,24.40193,29.911337,27.157768,20.194442,23.270653,23.268173,36.036055,22.431284,29.595079,29.583752,15.558011,28.236117
"ENSSSCG00000038970",9.513048,6.914028,4.770535,2.685651,1.009134,3.413971,3.131299,2.487607,7.613232,3.936273,1.144241,1.594353,2.934971,6.524526,3.944867,3.645269,3.761651,3.007474,2.804522,3.304341,3.626028,3.160134,0.32621,1.700054
"ENSSSCG00000038971",0,0,0,0,0,0,0,0,0,0.064523,0,0.182393,0.045608,0,0,0.114522,0.048133,0,0,0.232721,0,0,0,0
"ENSSSCG00000038973",96.169801,74.404376,81.609288,63.223168,61.559877,73.147751,72.64873,73.916506,81.823579,73.62642,79.26958,67.434344,72.925577,80.098874,84.310444,71.344195,69.226116,75.288918,81.49703,68.102282,75.779963,84.467724,73.392959,56.967652
"ENSSSCG00000038977",29.913397,28.376185,25.780782,30.460871,20.870909,26.125459,31.019212,35.583825,26.432728,30.780923,18.529531,28.389797,22.548666,27.200538,24.002427,30.431086,29.568346,22.694611,27.690578,22.454686,26.291803,33.647999,28.902037,20.7494
"ENSSSCG00000038979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000038984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000038986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000038987",14.155903,22.803328,12.188522,17.612568,15.761821,17.225987,13.094921,15.495845,15.060618,14.479732,18.918754,16.951954,13.696913,13.944141,20.894603,19.245227,19.306148,16.724051,16.917266,15.85395,21.075763,16.807015,14.626653,13.306564
"ENSSSCG00000038989",76.393339,80.583235,82.269556,76.211938,79.008352,83.927157,71.373329,86.939277,73.492794,65.937451,98.367306,83.909679,71.926042,82.214505,119.342939,104.455845,97.417197,81.302442,93.274609,82.236912,99.137106,91.016827,79.071454,81.962324
"ENSSSCG00000038990",0.611266,1.519588,0.518611,0.023667,0.372112,0.811373,1.254775,0.086984,0.560925,6.610818,1.837971,4.068911,1.767069,1.951995,0.70478,11.709376,2.764698,1.60924,1.861082,2.22484,1.737623,4.976771,0.850253,2.614965
"ENSSSCG00000038991",32.506554,34.586797,26.478857,35.183177,40.160964,35.574107,35.919177,46.046263,33.464803,27.745021,24.952602,39.149868,19.013391,25.081314,32.120371,27.506291,19.38002,19.642485,21.947455,25.6578,24.445272,25.74308,31.917969,14.152644
"ENSSSCG00000038992",57.659131,66.95235,63.961519,39.260894,73.174776,33.200012,60.648357,39.241794,76.810071,46.96317,110.839635,31.401837,60.189344,66.672191,99.477697,74.026894,59.821609,87.110119,87.881889,71.440096,92.021123,94.208922,105.441433,68.635865
"ENSSSCG00000038993",3.100845,1.941518,2.741167,0.936415,0.738124,0.848428,1.55966,0.853094,2.636426,1.513088,1.181423,0.443463,1.640173,1.255388,0.833858,1.065896,1.115839,0.999806,1.593268,0.966473,1.626869,0.592924,0.538181,0.469095
"ENSSSCG00000038994",169.0473,188.530375,164.813111,149.699933,153.070331,139.858748,146.893123,178.918127,141.815361,133.930618,193.475834,133.453773,177.262802,204.96138,214.429708,158.738063,219.773366,192.277949,252.435511,154.395267,242.64358,160.744291,275.338724,178.54714
"ENSSSCG00000038996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000038998",0,1.316955,0,1.981609,2.218526,1.117093,1.02663,0.623532,1.911821,0.444335,0,1.015482,0,0,1.507556,0,0,0,1.190116,0,0,0.749976,0,0
"ENSSSCG00000039002",0,0,0,0,0,0,0,0,0.325084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000039004",45.350823,30.983623,32.297585,45.051359,32.621168,35.332621,41.365546,47.093693,34.235059,37.667188,36.212427,38.070274,28.622996,36.679731,37.406241,42.712982,40.534919,39.644416,35.160319,32.693111,29.962565,34.27522,39.079552,45.525727
"ENSSSCG00000039007",1.227971,1.133545,0,0.676779,0.420132,0,1.789903,2.256797,1.883225,0.551033,0.118088,2.942305,0.177598,0.175985,0,0,0,0,0.20545,0.487999,0,0,0,1.067607
"ENSSSCG00000039008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000039009",35.432171,26.906083,27.779679,19.908468,15.082103,19.804599,18.770039,21.860018,16.458411,13.797835,19.933387,15.730626,21.369761,30.618769,23.777778,10.403906,23.541977,15.680538,53.725395,9.363764,25.651735,22.394436,35.729109,23.132267
"ENSSSCG00000039010",0.106505,0,0.150648,0.078279,0,0,0.058072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426006,0
"ENSSSCG00000039012",24.549084,23.488301,34.667569,20.79523,26.192077,23.872544,30.043772,30.676481,27.237001,29.297264,27.821751,28.346218,29.292682,21.352276,24.136592,32.249475,25.092744,20.62707,21.46007,22.667969,23.36126,27.959086,16.299597,24.704795
"ENSSSCG00000039013",0,0,0,0.123409,0.187852,0,0,0,0.324622,0.176562,0.141047,0.225852,0,0.093963,0,0,0,0.167856,0.082406,0.096292,0.099681,0.18495,0,0
"ENSSSCG00000039015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000039020",0,0,0,0,0,0,0,0,0,0,1.067595,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000039021",40.595078,45.910899,33.94783,31.015117,31.551519,42.320671,43.47128,33.154606,39.256434,38.241201,48.3064,25.554168,38.012122,39.863762,56.315368,37.839101,45.016034,36.541418,49.657768,43.810736,52.023972,39.968837,50.646634,38.79625
"ENSSSCG00000039022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000039023",0,0,0,0,0,0,0,0,0,0,0.333029,0,0.388993,0.132829,0,0,0,0,0.139676,0,0,0,0,0
"ENSSSCG00000039024",15.982966,18.362916,15.455111,25.32084,16.570088,13.777815,17.429913,21.073617,13.083208,15.929851,8.707622,12.980126,12.364402,15.474732,10.738156,11.321628,17.892816,12.165765,20.405412,17.319887,16.78651,16.516873,14.486784,12.713998
"ENSSSCG00000039025",0.797134,0.122919,0.760327,0.061215,0.183587,0.083419,0.26921,0.143421,0.371207,0.05994,1.707647,0,4.970199,2.131827,0.928024,0.582837,1.438585,0.401855,2.012409,0.630744,0.726863,1.385921,0.824743,1.540848
"ENSSSCG00000039026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000039027",0.176998,0.247485,0.147337,0.234918,0.145988,0.088723,0.116913,0.107927,0.186798,0.169694,0.131901,0.368378,0.072741,0.173212,0.038346,0.225431,0.116443,0.131891,0.113038,0.162508,0.0981,0,0.088932,0
"ENSSSCG00000039028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000039030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000039041",7.386596,4.087671,9.535156,3.241193,1.972359,3.12869,7.579711,6.205601,4.207119,7.088149,1.088748,6.085425,2.453494,4.676254,0.765055,2.400252,3.216634,2.212101,4.995704,5.508228,2.994323,4.87655,0,1.201535
"ENSSSCG00000039045",18.755889,23.64488,21.079572,17.09492,16.458858,18.870652,24.101429,22.722296,17.331676,19.318477,28.120082,15.436392,26.07872,24.935611,22.031346,22.47237,22.747576,30.072332,42.168931,23.315055,26.846682,27.767584,29.022852,24.30428
"ENSSSCG00000039046",742.555674,893.437522,692.821927,805.54073,1051.629338,882.041682,942.809282,916.141053,938.075372,855.650298,914.877401,795.058651,637.474439,648.904787,857.949627,944.663058,814.694031,1096.730774,780.182198,624.693873,709.188876,650.371993,1059.705413,662.450177
"ENSSSCG00000039049",1.581233,1.2625,1.437227,0.384612,0.773133,0.69995,1.208917,1.743855,0.784347,1.409927,0.160402,0.968277,0.274163,1.004013,0.49161,0.148336,0.484633,0.60501,1.024007,0.69095,0.585901,1.427796,0.562981,0.269716
"ENSSSCG00000039052",13.15777,7.7556,11.543452,9.555424,6.825588,10.008408,8.583868,8.64463,9.835996,10.302813,6.790094,9.472799,7.195722,8.097093,4.567778,6.763092,6.010077,6.358297,8.110891,6.263284,7.88651,12.55406,5.910005,3.978561
"ENSSSCG00000039053",0.140341,0.103588,0,0,0.213017,0,0.076949,0,0.070351,0.282144,0,0,0,0,0,0.102351,0.107341,0,0,0,0.235304,0,0,0
"ENSSSCG00000039056",190.562486,132.647731,163.852957,156.162857,120.982653,124.016349,157.118233,198.492695,133.592753,145.430273,96.283567,135.579007,101.118318,119.281729,128.740829,120.505197,158.206033,144.706323,142.072901,151.435692,110.547079,224.539107,64.181842,118.109967
"ENSSSCG00000039057",0,0.183805,0,0,0.238619,0.108887,0.268561,0,0.135288,0.132212,0,0,0.954115,0,0,0,0,0,0.504324,0,0,0,0,0
"ENSSSCG00000039060",74.96884,75.172666,70.402257,111.55958,71.863869,83.592193,69.129945,93.577241,60.849279,62.733304,59.787831,60.842187,56.050972,69.394965,99.463596,85.87791,91.051696,96.443562,70.848303,84.955927,79.784458,63.830493,74.272163,72.57093
"ENSSSCG00000039061",39.433677,35.106361,42.138343,28.429913,27.925903,33.276826,29.801418,30.044954,35.941508,32.336846,27.095395,31.673527,30.227919,38.392326,29.817204,30.897511,29.271058,20.856659,31.549681,24.831452,36.476882,45.853886,22.322618,24.508435
"ENSSSCG00000039064",12.146627,10.125013,14.656362,12.680722,9.514746,10.765016,10.165394,12.649629,10.587149,13.174567,9.465838,12.469506,10.345991,9.739809,11.14116,10.742266,11.59988,12.565559,12.211933,11.000929,13.549127,15.141928,9.880743,9.410489
"ENSSSCG00000039066",0,0.883454,0.280085,0.51713,0,1.337561,0.155665,1.886698,1.404324,1.128858,0.129962,1.113642,0.358048,1.75851,0.951089,1.009202,0.799611,0.356093,2.266102,0.768639,0.498506,0.699084,0,0
