"contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_size","leadingEdge_genes"
"ACLT_untreated_t7_vs_Control","HALLMARK_HEME_METABOLISM",0.0778588807785888,0.130830489192264,0.252961123069611,-0.282793716744621,-1.19562852922367,145,47,"SELENBP1;ALDH6A1;PC;SLC22A4;ALDH1L1;FN3K;CAT;KAT2B;BCAM;LAMP2;BNIP3L;ALAD;YPEL5;CCDC28A;MARCHF8;ACKR1;NR3C1;KLF3;GYPC;MARCHF2;DMTN;TFDP2;EZH1;FOXO3;FECH;C3;MOCOS;FBXO34;EPB42;BTG2;AQP3;PPOX;TMEM9B;SLC25A38;KDM7A;TSPAN5;MKRN1;H1-0;TMCC2;NARF;PIGQ;FBXO7;SLC10A3;TNS1;RNF19A;CA2;UBAC1"
"ACLT_untreated_t7_vs_Control","HALLMARK_HYPOXIA",0.191747572815534,0.266316073354908,0.156312403073186,-0.255785222294087,-1.09895221486841,166,24,"PNRC1;RBPJ;SELENBP1;CDKN1B;FBP1;IRS2;RRAGD;KLHL24;ALDOC;GBE1;PAM;CITED2;ADM;PPP1R3C;TPBG;VEGFA;DCN;BNIP3L;CCNG2;ERO1A;WSB1;MAP3K1;AKAP12;IDS"
"ACLT_untreated_t7_vs_Control","HALLMARK_IL2_STAT5_SIGNALING",0.0134724828579379,0.0306192792225862,0.380730400722792,0.348802657155588,1.39946929041908,161,41,"CKAP4;SPP1;CDC6;BATF3;IL4R;AHCY;HK2;NFIL3;SELP;MAPKAPK2;NOP2;MAP3K8;ENPP1;IL1RL1;UMPS;BHLHE40;ODC1;UCK2;MYO1E;CDCP1;PLPP1;ADAM19;CASP3;BMPR2;LRRC8C;IGF1R;HUWE1;ETV4;NCOA3;LCLAT1;DCPS;IL2RB;MYC;GADD45B;NCS1;PNP;GPR65;TNFRSF21;IL1R2;NRP1;RGS16"
"ACLT_untreated_t7_vs_Control","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000723061166884388,0.00301275486201828,0.477270815362862,0.49398238668282,1.74205184717466,68,31,"IL6;IL4R;SOCS3;PTPN1;OSMR;HMOX1;MAP3K8;STAT3;ITGA4;IL1R1;TNFRSF1A;STAT1;IL13RA1;STAT2;TNFRSF12A;IFNAR1;CSF3R;CBL;BAK1;PTPN2;IL10RB;PTPN11;CCR1;TNFRSF21;IL1R2;TLR2;CSF2RB;PIM1;MYD88;ACVR1B;IL7"
"ACLT_untreated_t7_vs_Control","HALLMARK_INFLAMMATORY_RESPONSE",0.0127916729028829,0.030456364054483,0.380730400722792,0.343075345635906,1.36234981105952,150,52,"IL6;IL4R;KCNJ2;MARCO;OSMR;SLC31A1;MMP14;APLNR;HIF1A;NFKB1;KIF1B;TNFAIP6;ITGA5;IL1R1;ATP2C1;IL7R;ATP2A2;PDPN;CHST2;LDLR;ICAM1;TNFSF15;IFNAR1;CSF3R;SLC1A2;LCK;INHBA;SLC11A2;DCBLD2;CMKLR1;SERPINE1;IL2RB;MYC;SHAS2;SLC7A1;FZD5;AMCF-II;SPHK1;BST2;TIMP1;NOD2;RGS16;LYN;AQP9;TLR2;PCDH7;PDE4B;CDKN1A;CD55;P2RY2;ACVR1B;CCL2"
"ACLT_untreated_t7_vs_Control","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.885764499121265,0.903841325633944,0.0453152441270267,0.21742336437724,0.790168752063529,77,32,"IL4R;TAP1;STAT2;TRIM21;PSME2;CD74;BST2;MOV10;PARP12;IFI30;DDX60;TRIM25;IL7;HERC6;PARP9;SP110;UBA7;PSMB8;PSMB9;IRF1;WARS1;TRIM26;MX1;UBE2L6;PSME1;PNPT1;IFI44;ADAR;PARP14;LAP3;CMPK2;EPSTI1"
"ACLT_untreated_t7_vs_Control","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000529039937741516,0.00240472698973416,0.477270815362862,0.400162842968644,1.59602780031912,154,63,"IL6;IL4R;CASP7;SOCS3;PTPN1;AUTS2;ITGB7;SELP;HIF1A;NFKB1;STAT3;TNFAIP6;SLAMF7;TAP1;STAT1;CIITA;NUP93;STAT2;MTHFD2;CASP3;ICAM1;JAK2;TRIM21;NCOA3;CMKLR1;ST8SIA4;PTPN2;PSME2;IL2RB;RIPK1;CD74;ZNFX1;UPP1;PNP;BST2;SLA-DMA;PARP12;PDE4B;CSF2RB;PIM1;IFI30;MYD88;DDX60;CDKN1A;TRIM25;CCL2;IL7;BPGM;OAS2;CD40;MARCHF1;HERC6;BANK1;SP110;PSMB8;PSMB9;FCGR1A;IRF1;WARS1;TRIM26;NLRC5;MX1;UBE2L6"
"ACLT_untreated_t7_vs_Control","HALLMARK_KRAS_SIGNALING_DN",0.0265322208963092,0.0558897681944719,0.352487857583619,-0.35773929264429,-1.35453691233658,78,28,"COQ8A;EFHD1;MAGIX;TFCP2L1;GAMT;TGFB2;SHOX2;CPEB3;FGGY;MFSD6;PDK2;P2RX6;THNSL2;THRB;SKIL;CNTFR;ZBTB16;NRIP2;IGFBP2;BTG2;CYP39A1;LFNG;MTHFR;EGF;HNF1A;SLC25A23;FGF16;TNNI3"
"ACLT_untreated_t7_vs_Control","HALLMARK_KRAS_SIGNALING_UP",0.162679425837321,0.234032179424671,0.169570644405628,-0.264957526454221,-1.12977204281701,155,35,"BTC;SEMA3B;APOD;KLF4;TSPAN7;AKT2;ACE;CIDEA;SPARCL1;PCSK1N;GNG11;EPHB2;HDAC9;ERO1A;ZNF277;PTPRR;RBP4;MAP3K1;AKAP12;TSPAN13;ETV5;CCSER2;ITGBL1;GPRC5B;GYPC;PTBP2;SCG3;ATG10;ETV1;CBR4;SNAP91;GADD45G;JUP;EVI5;HBEGF"
"ACLT_untreated_t7_vs_Control","HALLMARK_MITOTIC_SPINDLE",1.96899880912761e-18,3.28166468187935e-17,1.10533657731401,0.606991025573762,2.48645522903213,184,67,"CENPF;ANLN;TPX2;KIF4A;KIF23;TOP2A;KIF15;KIF11;KIF22;CCNB2;NDC80;KIF2C;BUB1;DLGAP5;RACGAP1;TTK;PRC1;PIF1;NEK2;CENPE;LMNB1;PLK1;NUSAP1;BIRC5;ESPL1;CDK1;SMC4;KNTC1;CEP192;FSCN1;CKAP5;NET1;FARP1;SHROOM2;SMC1A;INCENP;KIF1B;ECT2;SEPTIN9;FBXO5;LRPPRC;RANBP9;NIN;TAOK2;STK38L;MYO1E;MARK4;ARHGAP27;CTTN;CDK5RAP2;ABR;ARHGEF12;RASAL2;FGD6;MYO9B;KIF20B;RAB3GAP1;MAPRE1;PLEKHG2;BRCA2;MYH9;KLC1;CEP250;PALLD;ARHGEF7;PKD2;ALS2"
