"column_name","core_group","value","Freq"
"sdrf__Comment[ENA_EXPERIMENT]","CON_t0","ERX2528285",1
"sdrf__Comment[ENA_EXPERIMENT]","CON_t0","ERX2528286",1
"sdrf__Comment[ENA_EXPERIMENT]","CON_t0","ERX2528287",1
"sdrf__Comment[ENA_EXPERIMENT]","CON_t0","ERX2528288",1
"sdrf__Comment[ENA_EXPERIMENT]","CON_t0","ERX2528289",1
"sdrf__Comment[ENA_EXPERIMENT]","CON_t0","ERX2528290",1
"sdrf__Comment[ENA_EXPERIMENT]","ACLT_untreated_t28","ERX2528291",1
"sdrf__Comment[ENA_EXPERIMENT]","ACLT_untreated_t28","ERX2528292",1
"sdrf__Comment[ENA_EXPERIMENT]","ACLT_untreated_t28","ERX2528293",1
"sdrf__Comment[ENA_EXPERIMENT]","ACLT_untreated_t28","ERX2528294",1
"sdrf__Comment[ENA_EXPERIMENT]","ACLT_untreated_t28","ERX2528295",1
"sdrf__Comment[ENA_EXPERIMENT]","ACLT_untreated_t28","ERX2528296",1
"sdrf__Comment[ENA_EXPERIMENT]","ACLT_untreated_t7","ERX2528297",1
"sdrf__Comment[ENA_EXPERIMENT]","ACLT_untreated_t7","ERX2528298",1
"sdrf__Comment[ENA_EXPERIMENT]","ACLT_untreated_t7","ERX2528299",1
"sdrf__Comment[ENA_EXPERIMENT]","ACLT_untreated_t7","ERX2528300",1
"sdrf__Comment[ENA_EXPERIMENT]","ACLT_untreated_t7","ERX2528301",1
"sdrf__Comment[ENA_EXPERIMENT]","ACLT_untreated_t7","ERX2528302",1
"sdrf__Comment[ENA_RUN]","CON_t0","ERR2508834",1
"sdrf__Comment[ENA_RUN]","CON_t0","ERR2508835",1
"sdrf__Comment[ENA_RUN]","CON_t0","ERR2508836",1
"sdrf__Comment[ENA_RUN]","CON_t0","ERR2508837",1
"sdrf__Comment[ENA_RUN]","CON_t0","ERR2508838",1
"sdrf__Comment[ENA_RUN]","CON_t0","ERR2508839",1
"sdrf__Comment[ENA_RUN]","ACLT_untreated_t28","ERR2508840",1
"sdrf__Comment[ENA_RUN]","ACLT_untreated_t28","ERR2508841",1
"sdrf__Comment[ENA_RUN]","ACLT_untreated_t28","ERR2508842",1
"sdrf__Comment[ENA_RUN]","ACLT_untreated_t28","ERR2508843",1
"sdrf__Comment[ENA_RUN]","ACLT_untreated_t28","ERR2508844",1
"sdrf__Comment[ENA_RUN]","ACLT_untreated_t28","ERR2508845",1
"sdrf__Comment[ENA_RUN]","ACLT_untreated_t7","ERR2508846",1
"sdrf__Comment[ENA_RUN]","ACLT_untreated_t7","ERR2508847",1
"sdrf__Comment[ENA_RUN]","ACLT_untreated_t7","ERR2508848",1
"sdrf__Comment[ENA_RUN]","ACLT_untreated_t7","ERR2508849",1
"sdrf__Comment[ENA_RUN]","ACLT_untreated_t7","ERR2508850",1
"sdrf__Comment[ENA_RUN]","ACLT_untreated_t7","ERR2508851",1
"sdrf__Comment[FASTQ_URI]","ACLT_untreated_t28","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/000/ERR2508840/ERR2508840_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/000/ERR2508850/ERR2508850_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","ACLT_untreated_t28","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/001/ERR2508841/ERR2508841_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/001/ERR2508851/ERR2508851_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","ACLT_untreated_t28","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/002/ERR2508842/ERR2508842_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","ACLT_untreated_t28","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/003/ERR2508843/ERR2508843_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/004/ERR2508834/ERR2508834_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","ACLT_untreated_t28","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/004/ERR2508844/ERR2508844_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/005/ERR2508835/ERR2508835_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","ACLT_untreated_t28","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/005/ERR2508845/ERR2508845_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/006/ERR2508836/ERR2508836_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/006/ERR2508846/ERR2508846_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/007/ERR2508837/ERR2508837_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/007/ERR2508847/ERR2508847_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/008/ERR2508838/ERR2508838_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/008/ERR2508848/ERR2508848_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/009/ERR2508839/ERR2508839_1.fastq.gz",1
"sdrf__Comment[FASTQ_URI]","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/009/ERR2508849/ERR2508849_1.fastq.gz",1
"sdrf__Comment[LIBRARY_LAYOUT]","ACLT_untreated_t28","PAIRED",6
