"gene_id","logFC","logCPM","F","PValue","FDR","comparison","direction","FDR_lt_0_05","strict_DE_FDR_0_05_abslogFC_1","strict_direction"
"ENSSSCG00000034692",0.997191560926308,4.32572966592674,20.4275197347422,0.00050171880461309,0.00285395387491559,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000062892",0.356643044010063,7.22279990965135,20.4231913366838,0.000502115531200574,0.00285506398391206,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000011278",0.431973734416849,6.09121751456724,20.4069933451524,0.000503821979515756,0.00286361738276933,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000015690",0.456642730764746,6.89719803399189,20.3992981785641,0.000504634054343501,0.00286708252937078,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000026622",0.388732069679589,5.8966853670981,20.3912455710299,0.000505486952777662,0.00287077674384234,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000015649",1.08315705001097,2.79591632743716,20.3836064926081,0.000506633505041719,0.00287613505627692,"ACLT_t28_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000032304",-0.644045018824067,4.70820932767033,20.3723682614188,0.000507527772996938,0.00288005744259961,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000060687",-1.29563035739538,0.638276343601009,20.4557760517851,0.000509004980544449,0.00288615756080806,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000013622",-0.793698785548515,3.77360314441958,20.3590886664833,0.000509010278657055,0.00288615756080806,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000036160",0.456139073492044,4.7208764675443,20.3490647558164,0.00051000019093538,0.00288954270857519,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
