"sample_id","geo_accession","label_from_sample_id","total_estimated_counts","detected_genes_count_gt0","detected_genes_count_ge1","tissue_from_sample_id","inferred_group_from_sample_id","tpm_sum_gene_level","genes_with_tpm_gt0","effective_length_na_n","effective_length_nonpositive_n","effective_length_median"
"GSM7140518_CON9_synovium","GSM7140518","CON9_synovium",12285504.182,17058,17054,"synovium","Control_52W",975982.697107,17058,0,0,2064.55098580503
"GSM7140519_REPAIR1_synovium","GSM7140519","REPAIR1_synovium",13369016.349,16813,16811,"synovium","Repair_52W",979067.622161,16813,0,0,2023.61497805478
"GSM7140520_REPAIR2_synovium","GSM7140520","REPAIR2_synovium",11851722.766,16783,16778,"synovium","Repair_52W",980626.187479,16783,0,0,2057.81287673925
"GSM7140521_REPAIR3_synovium","GSM7140521","REPAIR3_synovium",12406428.096,16357,16356,"synovium","Repair_52W",974547.634847,16357,0,0,2058.66247086815
"GSM7140522_REPAIR4_synovium","GSM7140522","REPAIR4_synovium",15881638.024,16890,16889,"synovium","Repair_52W",978649.104196,16890,0,0,2078.61959450549
"GSM7140523_CON10_synovium","GSM7140523","CON10_synovium",13966920.588,16999,16997,"synovium","Control_52W",973436.502033,16999,0,0,2066.69266229263
"GSM7140524_REPAIR5_synovium","GSM7140524","REPAIR5_synovium",12703186.47,16666,16663,"synovium","Repair_52W",985606.317764,16666,0,0,2102.099
"GSM7140525_REPAIR6_synovium","GSM7140525","REPAIR6_synovium",13666054.37,16198,16192,"synovium","Repair_52W",983184.198656,16198,0,0,2016.65429025785
"GSM7140526_REPAIR7_synovium","GSM7140526","REPAIR7_synovium",11246102.401,17117,17106,"synovium","Repair_52W",981139.558942,17117,0,0,1997.83863328507
"GSM7140527_CON11_synovium","GSM7140527","CON11_synovium",16354930.297,16694,16688,"synovium","Control_52W",979477.617884,16694,0,0,2043.19005599228
"GSM7140528_REPAIR8_synovium","GSM7140528","REPAIR8_synovium",15172038.29,16745,16742,"synovium","Repair_52W",983094.583946,16745,0,0,2060.14178482381
"GSM7140529_REPAIR9_synovium","GSM7140529","REPAIR9_synovium",16703038.678,16788,16782,"synovium","Repair_52W",984412.129498,16788,0,0,2012.17647606133
"GSM7140530_REPAIR10_synovium","GSM7140530","REPAIR10_synovium",14824418.45,16580,16576,"synovium","Repair_52W",973187.293597,16580,0,0,1974.24595779577
"GSM7140531_REPAIR11_synovium","GSM7140531","REPAIR11_synovium",17197856.187,16962,16960,"synovium","Repair_52W",977270.680521,16962,0,0,2059.42103445127
"GSM7140532_CON12_synovium","GSM7140532","CON12_synovium",11603076.121,16604,16597,"synovium","Control_52W",978679.596994,16604,0,0,2056.304
"GSM7140533_REPAIR12_synovium","GSM7140533","REPAIR12_synovium",13788693.661,16413,16405,"synovium","Repair_52W",978558.318249,16413,0,0,1864.1368002809
