"quant_file","basename","geo_accession","label_from_filename","tissue_from_filename","inferred_group_from_filename","file_size_bytes"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140509_RECON6_synovium_quant.sf.txt.gz","GSM7140509_RECON6_synovium_quant.sf.txt.gz","GSM7140509","RECON6_synovium","synovium","Reconstruction_52W",749674
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140510_RECON7_synovium_quant.sf.txt.gz","GSM7140510_RECON7_synovium_quant.sf.txt.gz","GSM7140510","RECON7_synovium","synovium","Reconstruction_52W",755805
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140511_CON7_synovium_quant.sf.txt.gz","GSM7140511_CON7_synovium_quant.sf.txt.gz","GSM7140511","CON7_synovium","synovium","Control_52W",786520
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140512_RECON8_synovium_quant.sf.txt.gz","GSM7140512_RECON8_synovium_quant.sf.txt.gz","GSM7140512","RECON8_synovium","synovium","Reconstruction_52W",784314
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140513_RECON9_synovium_quant.sf.txt.gz","GSM7140513_RECON9_synovium_quant.sf.txt.gz","GSM7140513","RECON9_synovium","synovium","Reconstruction_52W",772432
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140514_RECON10_synovium_quant.sf.txt.gz","GSM7140514_RECON10_synovium_quant.sf.txt.gz","GSM7140514","RECON10_synovium","synovium","Reconstruction_52W",773070
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140515_RECON11_synovium_quant.sf.txt.gz","GSM7140515_RECON11_synovium_quant.sf.txt.gz","GSM7140515","RECON11_synovium","synovium","Reconstruction_52W",759088
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140516_CON8_synovium_quant.sf.txt.gz","GSM7140516_CON8_synovium_quant.sf.txt.gz","GSM7140516","CON8_synovium","synovium","Control_52W",775147
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140517_RECON12_synovium_quant.sf.txt.gz","GSM7140517_RECON12_synovium_quant.sf.txt.gz","GSM7140517","RECON12_synovium","synovium","Reconstruction_52W",751529
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140518_CON9_synovium_quant.sf.txt.gz","GSM7140518_CON9_synovium_quant.sf.txt.gz","GSM7140518","CON9_synovium","synovium","Control_52W",782111
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140519_REPAIR1_synovium_quant.sf.txt.gz","GSM7140519_REPAIR1_synovium_quant.sf.txt.gz","GSM7140519","REPAIR1_synovium","synovium","Repair_52W",777032
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140520_REPAIR2_synovium_quant.sf.txt.gz","GSM7140520_REPAIR2_synovium_quant.sf.txt.gz","GSM7140520","REPAIR2_synovium","synovium","Repair_52W",774966
