"matrix_geo_accession","matrix_sample_id","quant_file","basename","label_from_filename","tissue_from_filename","inferred_group_from_filename","has_matching_synovium_quant_file"
"GSM7140521","GSM7140521_REPAIR3_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140521_REPAIR3_synovium_quant.sf.txt.gz","GSM7140521_REPAIR3_synovium_quant.sf.txt.gz","REPAIR3_synovium","synovium","Repair_52W",TRUE
"GSM7140522","GSM7140522_REPAIR4_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140522_REPAIR4_synovium_quant.sf.txt.gz","GSM7140522_REPAIR4_synovium_quant.sf.txt.gz","REPAIR4_synovium","synovium","Repair_52W",TRUE
"GSM7140523","GSM7140523_CON10_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140523_CON10_synovium_quant.sf.txt.gz","GSM7140523_CON10_synovium_quant.sf.txt.gz","CON10_synovium","synovium","Control_52W",TRUE
"GSM7140524","GSM7140524_REPAIR5_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140524_REPAIR5_synovium_quant.sf.txt.gz","GSM7140524_REPAIR5_synovium_quant.sf.txt.gz","REPAIR5_synovium","synovium","Repair_52W",TRUE
"GSM7140525","GSM7140525_REPAIR6_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140525_REPAIR6_synovium_quant.sf.txt.gz","GSM7140525_REPAIR6_synovium_quant.sf.txt.gz","REPAIR6_synovium","synovium","Repair_52W",TRUE
"GSM7140526","GSM7140526_REPAIR7_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140526_REPAIR7_synovium_quant.sf.txt.gz","GSM7140526_REPAIR7_synovium_quant.sf.txt.gz","REPAIR7_synovium","synovium","Repair_52W",TRUE
"GSM7140527","GSM7140527_CON11_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140527_CON11_synovium_quant.sf.txt.gz","GSM7140527_CON11_synovium_quant.sf.txt.gz","CON11_synovium","synovium","Control_52W",TRUE
"GSM7140528","GSM7140528_REPAIR8_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140528_REPAIR8_synovium_quant.sf.txt.gz","GSM7140528_REPAIR8_synovium_quant.sf.txt.gz","REPAIR8_synovium","synovium","Repair_52W",TRUE
"GSM7140529","GSM7140529_REPAIR9_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140529_REPAIR9_synovium_quant.sf.txt.gz","GSM7140529_REPAIR9_synovium_quant.sf.txt.gz","REPAIR9_synovium","synovium","Repair_52W",TRUE
"GSM7140530","GSM7140530_REPAIR10_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140530_REPAIR10_synovium_quant.sf.txt.gz","GSM7140530_REPAIR10_synovium_quant.sf.txt.gz","REPAIR10_synovium","synovium","Repair_52W",TRUE
"GSM7140531","GSM7140531_REPAIR11_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140531_REPAIR11_synovium_quant.sf.txt.gz","GSM7140531_REPAIR11_synovium_quant.sf.txt.gz","REPAIR11_synovium","synovium","Repair_52W",TRUE
"GSM7140532","GSM7140532_CON12_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140532_CON12_synovium_quant.sf.txt.gz","GSM7140532_CON12_synovium_quant.sf.txt.gz","CON12_synovium","synovium","Control_52W",TRUE
"GSM7140533","GSM7140533_REPAIR12_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140533_REPAIR12_synovium_quant.sf.txt.gz","GSM7140533_REPAIR12_synovium_quant.sf.txt.gz","REPAIR12_synovium","synovium","Repair_52W",TRUE
