"panel","timepoint","gene_id","ENTREZID","SYMBOL","label_final","logFC","AveExpr","t","P.Value","FDR","B","strict_DEG","direction","label_score","neg_log10_FDR","DEG_class"
"Figure1D","1W","G10090_3970","213053","Slc39a14","Slc39a14",1.74965073217488,4.89489894245759,12.9137433541157,1.21780243544406e-12,1.94627478961857e-10,18.9347103225906,TRUE,"Up",16.990501056353,9.71079584279839,"Up strict"
"Figure1D","1W","G10090_3551","18639","Pfkfb1","Pfkfb1",-2.05221784991714,4.75062227396635,-12.9107832344735,1.22398666106961e-12,1.94627478961857e-10,18.907418136802,TRUE,"Down",19.9286685654921,9.71079584279839,"Down strict"
"Figure1D","1W","G10090_15680","68498","Tspan11","Tspan11",2.33616867083875,3.10416652253428,12.8981386922035,1.25077117921286e-12,1.96700948854014e-10,18.9715552816472,TRUE,"Up",22.6753052731793,9.70619354510828,"Up strict"
"Figure1D","1W","G10090_29031","67856","Echdc3","Echdc3",-1.42374645343187,3.07123415827501,-12.8818827576896,1.28609847197497e-12,2.00058209048194e-10,18.9275254884691,TRUE,"Down",13.8086942111837,9.69884362338428,"Down strict"
"Figure1D","1W","G10090_19511","14368","Fzd6","Fzd6",1.33326549279209,3.96163429278842,12.8701032556185,1.31234100413809e-12,2.01144584786093e-10,18.8764341410091,TRUE,"Up",12.9279977247714,9.69649165501007,"Up strict"
"Figure1D","1W","G10090_29954","14119","Fbn2","Fbn2",5.63493204449206,2.74081420769102,12.8661847685819,1.32119285653642e-12,2.01144584786093e-10,18.7523177437695,TRUE,"Up",54.6390715459661,9.69649165501007,"Up strict"
"Figure1D","1W","G10090_395","213556","Plekhh2","Plekhh2",1.70339413835555,3.39173226276212,12.8456536436452,1.36859212157628e-12,2.0374148436581e-10,18.8702989189654,TRUE,"Up",16.5074572330524,9.69092053409829,"Up strict"
"Figure1D","1W","G10090_30497","12837","Col8a1","Col8a1",2.86615077660645,5.13702514208833,12.8451547939742,1.36976542633366e-12,2.0374148436581e-10,18.8474562246006,TRUE,"Up",27.7756394148373,9.69092053409829,"Up strict"
"Figure1D","1W","G10090_15121","240913","Adamts4","Adamts4",2.9667487262483,1.68501797936203,12.8404171721356,1.38096037897307e-12,2.0374148436581e-10,18.753288469498,TRUE,"Up",28.7505261507096,9.69092053409829,"Up strict"
"Figure1D","1W","G10090_22751","320736","Vstm4","Vstm4",1.9284763760331,3.58097099507531,12.8110783402132,1.4524269556341e-12,2.10655674256007e-10,18.8071258686466,TRUE,"Up",18.6607605617883,9.67642683815174,"Up strict"
"Figure1D","1W","G10090_19902","12512","Cd63","Cd63",0.865763543111006,7.87977366846375,12.8091466617605,1.45726446449198e-12,2.10655674256007e-10,18.8202453266667,FALSE,"Not_strict",8.37749758405268,9.67642683815174,"Not strict"
"Figure1D","1W","G10090_9881","11606","Agt","Agt",-1.18510968635719,4.01800054347032,-12.7907083602717,1.50428644428634e-12,2.1508622109929e-10,18.7122124963039,TRUE,"Down",11.4569144620576,9.66738741058984,"Down strict"
"Figure1D","1W","G10090_11913","66120","Fkbp11","Fkbp11",2.86831877556443,1.86849516541133,12.7854534894884,1.51797277136666e-12,2.1508622109929e-10,18.6954210130165,TRUE,"Up",27.72914882045,9.66738741058984,"Up strict"
"Figure1D","1W","G10090_14132","14270","Srgap2","Srgap2",0.837953774514147,5.47864872649109,12.7760568900696,1.54276803749925e-12,2.16456405731879e-10,18.677683611218,FALSE,"Not_strict",8.09851281682743,9.66462955730824,"Not strict"
