"st_gene_id","ENTREZID","SYMBOL"
"G10090_21623","100861969",""
"G10090_22014","100861973","Gm21366"
"G10090_6310","100861978",""
"G10090_3072","100861987","Gm21379"
"G10090_26051","100862015","Msantd5f4"
"G10090_14717","100862020","Gm21405"
"G10090_8671","100862043",""
"G10090_2341","100862066","Cfap99"
"G10090_1969","100862072","Gm21451"
"G10090_4716","100862085","Gm16867"
"G10090_33564","100862114","Gm21489"
"G10090_29394","100862115","LOC100862115"
"G10090_24929","100862175","Gm10698"
"G10090_13116","100862177","Ccl21d"
"G10090_22749","100862179","Spin2-ps8"
"G10090_28087","100862202","LOC100862202"
"G10090_18688","100862203","Gm6712"
"G10090_17281","100862247","Gm21586"
"G10090_7610","100862258","Gm21596"
"G10090_5265","100862261","Spata31f1c"
"G10090_2126","100862324",""
"G10090_24946","100862348","Gm21941"
"G10090_13858","100862349","Gm21663"
"G10090_33245","100862365","Rbmyf5"
"G10090_29648","100862368","Gm21680"
"G10090_25053","100862371","Gm21683"
"G10090_23169","100862375","Entpd4b"
"G10090_30255","100862383","Rbmyf6"
"G10090_27118","100862388","Gm21698"
"G10090_17012","100862394","Rbmyf7"
"G10090_26844","100862398","Rbmyf8"
"G10090_16145","100862433",""
"G10090_17980","100862446",""
"G10090_24707","100862455",""
"G10090_17098","100862460",""
"G10090_12498","100862468",""
"G10090_22044","100862470",""
"G10090_1634","100862473",""
"G10090_16170","100900","Hscb"
"G10090_19913","100910","Chpf2"
"G10090_1074","100929","Tyw1"
"G10090_341","100952","Emilin1"
"G10090_1583","100972","Rab28"
"G10090_11220","100978","Nfxl1"
"G10090_4030","100986","Akap9"
"G10090_15447","101023","Zfp513"
"G10090_4394","101055630",""
"G10090_11089","101055651","Gm6821"
"G10090_15781","101055663","LOC101055663"
"G10090_26680","101055670","Heatr4"
"G10090_18052","101055671","Lipo2"
"G10090_30517","101055672","LOC101055672"
"G10090_4470","101055676","Gm50470"
"G10090_22577","101055711","Gm29716"
"G10090_15101","101055731","Gm29719"
"G10090_5663","101055744","Gm29720"
"G10090_19541","101055745","Gm29721"
"G10090_15664","101055754","Gm2974"
"G10090_3190","101055758","Gm7592"
"G10090_15081","101055806","Gm8032"
"G10090_32115","101055837",""
"G10090_15748","101055843","Gm12551"
"G10090_28477","101055854","Gm29733"
"G10090_25721","101055862","Krtap5-22"
"G10090_25805","101055890",""
"G10090_15205","101055907","Gm15246"
"G10090_11245","101055939","Kif19b"
"G10090_28276","101055951","LOC101055951"
"G10090_9429","101055953","Gm6434"
"G10090_11839","101055983","Gm14569"
"G10090_24297","101055987","Gm29758"
"G10090_32737","101056017","Gm28802"
"G10090_18193","101056032","Gm9831"
"G10090_794","101056073","Zfp990"
"G10090_29962","101056084","Cirop"
"G10090_14157","101056094","Gm21811"
"G10090_23683","101056102","Gm29779"
"G10090_10839","101056115","Gm17067"
"G10090_29697","101056144","Gm13302"
"G10090_6520","101056159","Gm8104"
"G10090_15420","101056205","Gm29797"
"G10090_22977","101056225","Gm29801"
"G10090_26563","101056232","Gm29804"
"G10090_25615","101056241","Gm29808"
"G10090_19806","101056296",""
"G10090_23931","101056300",""
"G10090_23361","101056408","Gm15816"
"G10090_1461","101095","Zfp282"
"G10090_4033","101100","Ttll3"
"G10090_15105","101113","Snx21"
"G10090_6924","101118","Tmem168"
"G10090_67","101122","Rpusd3"
"G10090_19798","101142","Itfg2"
"G10090_11050","101148","Samtor"
"G10090_10247","101185","Pot1a"
"G10090_7621","101187","Parp11"
"G10090_30311","101197","Zfp956"
"G10090_9794","101202","Hepacam2"
"G10090_10425","101206","Tada3"
"G10090_3975","101214","Tra2a"
"G10090_4020","101240","Wdr91"
"G10090_16532","101314","Brk1"
"G10090_7717","101320","Dyrk4"
"G10090_22162","101351","Eogt"
"G10090_25613","101358","Fbxl14"
"G10090_21493","101359","Prrt4"
"G10090_8805","101401","Adamts9"
"G10090_27842","101434","Ceacam15"
"G10090_5763","101437","Dhx32"
"G10090_1536","101471","Phrf1"
"G10090_3990","101476","Plekha1"
"G10090_4854","101488","Slco2b1"
"G10090_32260","101488143","Hbb-bt"
"G10090_27184","101488212","Evi2"
"G10090_25583","101489","Ric8a"
"G10090_6846","101490","Inpp5f"
"G10090_9228","101497","Plekhg2"
"G10090_20833","101502","Hsd3b7"
"G10090_18167","101513","Mob2"
"G10090_3876","101533","Klk9"
"G10090_9728","101540","Prkd2"
"G10090_4192","101543","Wtip"
"G10090_18613","101544","Zfp575"
"G10090_6086","101565","Ccp110"
"G10090_16179","101568","Vrk3"
"G10090_13666","101592","Efl1"
"G10090_4065","101602","AI467606"
"G10090_4920","101604","Zfp764l1"
"G10090_14726","101612","Grwd1"
"G10090_24007","101613","Nlrp6"
"G10090_12564","101631","Pwwp2b"
"G10090_15835","101685","Spty2d1"
"G10090_732","101700","Trim68"
"G10090_8905","101706","Numa1"
"G10090_16861","101739","Psip1"
"G10090_13673","101744","Acp7"
"G10090_7089","101772","Ano1"
"G10090_3234","101809","Spred3"
"G10090_26591","101831","Faap24"
"G10090_24153","101835","AW146154"
"G10090_22243","101861","Ints4"
"G10090_11820","101867","Rrp8"
"G10090_21926","101869","Unc45a"
"G10090_32156","101883","Igflr1"
"G10090_8152","101943","Sf3b3"
"G10090_14532","101966","D8Ertd738e"
"G10090_17576","101985","Usb1"
"G10090_21177","101994","Champ1"
"G10090_20840","102022","Ces2a"
"G10090_23656","102032","Smim19"
"G10090_31940","102058","Exoc8"
"G10090_25102","102060","Gadd45gip1"
"G10090_3061","102075","Plekhg4"
"G10090_3770","102093","Phkb"
"G10090_12355","102098","Arhgef18"
"G10090_5690","102103","Mtus1"
"G10090_15588","102115","Dohh"
"G10090_7383","102122","Psme3ip1"
"G10090_5385","102124","Enkd1"
"G10090_24131","102141","Snx25"
"G10090_23369","102162","Taf5l"
"G10090_14745","102182","Prmt9"
"G10090_8767","102193","Zdhhc7"
"G10090_19858","102209","Snapc2"
"G10090_10385","102216272","Ak6"
