"branch","timepoint","pathway","n_genes_in_pathway","n_genes_present_in_rank"
"trimmed","t7","HALLMARK_IL2_STAT5_SIGNALING",192,161
"trimmed","t7","HALLMARK_IL6_JAK_STAT3_SIGNALING",82,68
"trimmed","t7","HALLMARK_INFLAMMATORY_RESPONSE",196,150
"trimmed","t7","HALLMARK_INTERFERON_ALPHA_RESPONSE",89,77
"trimmed","t7","HALLMARK_INTERFERON_GAMMA_RESPONSE",183,154
"trimmed","t7","HALLMARK_KRAS_SIGNALING_DN",189,78
"trimmed","t7","HALLMARK_KRAS_SIGNALING_UP",197,155
"trimmed","t7","HALLMARK_MITOTIC_SPINDLE",196,184
"trimmed","t7","HALLMARK_MTORC1_SIGNALING",197,183
"trimmed","t7","HALLMARK_MYC_TARGETS_V1",198,176
"trimmed","t7","HALLMARK_MYC_TARGETS_V2",57,53
"trimmed","t7","HALLMARK_MYOGENESIS",195,157
"trimmed","t7","HALLMARK_NOTCH_SIGNALING",32,32
"trimmed","t7","HALLMARK_OXIDATIVE_PHOSPHORYLATION",192,171
"trimmed","t7","HALLMARK_P53_PATHWAY",188,165
"trimmed","t7","HALLMARK_PANCREAS_BETA_CELLS",37,16
"trimmed","t7","HALLMARK_PEROXISOME",102,80
"trimmed","t7","HALLMARK_PI3K_AKT_MTOR_SIGNALING",103,89
"trimmed","t7","HALLMARK_PROTEIN_SECRETION",93,85
"trimmed","t7","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",47,41
"trimmed","t7","HALLMARK_SPERMATOGENESIS",126,65
"trimmed","t7","HALLMARK_TGF_BETA_SIGNALING",53,50
"trimmed","t7","HALLMARK_TNFA_SIGNALING_VIA_NFKB",193,170
"trimmed","t7","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",112,103
"trimmed","t7","HALLMARK_UV_RESPONSE_DN",141,133
"trimmed","t7","HALLMARK_UV_RESPONSE_UP",155,127
"trimmed","t7","HALLMARK_WNT_BETA_CATENIN_SIGNALING",42,36
"trimmed","t7","HALLMARK_XENOBIOTIC_METABOLISM",191,148
