"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000011602","XPC",0.20374175797415,0.0657261284054386,0.122799747095981,1.18226194906263
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000002381","NEK9",0.251423015972606,0.065741371598261,0.122812026815849,1.18216123923611
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000040181","ELL",0.30342096755339,0.0657722088425568,0.122853430838187,1.18195757288872
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000011854","LRCH3",0.456741703134293,0.0658830122078332,0.123027947911898,1.18122655286394
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000013260","MDK",0.388798755662174,0.0659069465152,0.123056418460492,1.1810688088623
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000009357","SMAD9",0.434296403502832,0.066230601357038,0.123553019980375,1.17894130165162
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000013327","MPPED2",0.332316983733755,0.0662337565435671,0.123553019980375,1.17892061261314
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000002828","LPCAT2",0.392323340035859,0.066243181591199,0.123553019980375,1.17885881700942
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000004705","MAP1A",0.307507863677652,0.0662514252154016,0.123553019980375,1.17880477465113
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000002722","DDX19B",0.198524794540469,0.066326331913052,0.123637812126194,1.17831402009903
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000016069","CCDC150",0.291507523271701,0.0665356495704301,0.123968816168847,1.17694559885828
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000035313","ZBED4",0.349735351112022,0.0665463674455484,0.123972477771767,1.17687564629615
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000012440","PGK1",0.200786263429067,0.0666077509334862,0.124021583307729,1.1764752304126
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000015859","SAP130",0.23217187583029,0.0667584406187851,0.124269490461884,1.17549381636916
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000005062","TMEM260",0.224954953488172,0.0667724625383129,0.1242792587901,1.17540260688648
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000054923","CKS1B",0.266247990603826,0.0668142048305576,0.124324277091437,1.17513119585227
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000004480","COX7A2",0.294797750540366,0.0668487519208888,0.124352000863506,1.17490669668817
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000009138","CFI",0.679148331246863,0.0670051575515069,0.124581392958722,1.17389176729989
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000016846","WDR70",0.206651419665928,0.0672371970047209,0.124960422214788,1.17239039979468
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000058148","ENSSSCG00000058148",0.497535984003633,0.0672443051483421,0.124960422214788,1.17234448972519
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000016842","NIPBL",0.186103444033515,0.0672575138126588,0.124968572168765,1.17225919050636
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000013655","ICAM1",0.470765543819933,0.0672723438125144,0.124979732130175,1.17216344094944
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000007780","ZNF629",0.276204161584168,0.0672855852258067,0.124987938247649,1.17207796590111
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000001773","TMED3",0.369404320129021,0.0673525819947873,0.125095983657772,1.17164575072653
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000015001","SLC35F2",0.360001110528794,0.0675602393373865,0.125448771627523,1.17030882057643
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000029744","PLCH2",0.919869336562309,0.0679546975206579,0.126065531851028,1.16778051631507
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000005996","MRPL13",0.321640649310862,0.0679918882521956,0.126104407183526,1.16754289755038
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000009534","ENSSSCG00000009534",0.250339257345012,0.0680010893853943,0.126104407183526,1.16748412978971
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000005743","VAV2",0.234801758867676,0.068002362473014,0.126104407183526,1.16747599918831
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000011791","MAP3K13",0.424424459476632,0.0682897989451812,0.126571147901014,1.16564416590404
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000004304","SLC35A1",0.216842361422408,0.0683198655453983,0.126579036395062,1.16545299701678
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000041202","SREK1IP1",0.202222621073158,0.0683208650974476,0.126579036395062,1.16544664312893
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000012334","TSR2",0.230158847953703,0.0683917237177549,0.126693745061245,1.16499645034395
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000033126","FAM168B",0.16481807567603,0.0685776064023833,0.127004866250439,1.16381767734849
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000040199","AFG1L",0.314541678394659,0.068653103157038,0.12712806289924,1.16333982764034
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000004156","IFNGR1",0.227369026790751,0.0687980539002956,0.127346528416595,1.16242384653653
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000027444","STAU1",0.163290984940329,0.0688339847007101,0.127396388253085,1.1621970890335
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000017895","RABEP1",0.262525229989867,0.0688916315268505,0.127481540743583,1.16183352994203
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000007839","EEF2K",0.350478989992631,0.0688979945207658,0.127481540743583,1.16179341932954
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000033324","SPATA2",0.180747031160944,0.0690095788004606,0.127671326296986,1.16109062329961
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000007623","BUD31",0.247639015711796,0.0690214103664648,0.127676538648375,1.1610161706876
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000037002","SERTAD2",0.201714574252074,0.0692380589360614,0.128027136654096,1.1596551159147
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000009039","MMAA",0.236739695510783,0.0693971331181541,0.128271041822463,1.15865847041954
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000015776","RWDD4",0.228837387095503,0.0695585525898818,0.128535856344825,1.15764946359813
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000015446","PNPLA8",0.273020523363366,0.0697057363588972,0.128723865682845,1.1567314806322
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000024197","USP48",0.199542864075878,0.0698019873589036,0.128871684252157,1.15613221223761
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000017785","NUFIP2",0.18239739379344,0.0698039792136792,0.128871684252157,1.15611981947877
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000006790","WDR77",0.138064252023502,0.0700255255874652,0.129247008655311,1.15474362282743
