"branch","contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_size","leadingEdge_genes"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_IL2_STAT5_SIGNALING",0.0138533591727704,0.0329841885065961,0.380730400722792,0.342301214278451,1.39795425438894,161,41,"CKAP4;SPP1;CDC6;BATF3;IL4R;AHCY;HK2;NFIL3;SELP;MAPKAPK2;MAP3K8;NOP2;IL1RL1;ENPP1;UMPS;BHLHE40;ODC1;UCK2;CDCP1;MYO1E;ADAM19;PLPP1;CASP3;IGF1R;BMPR2;HUWE1;LRRC8C;ETV4;NCOA3;LCLAT1;DCPS;IL2RB;MYC;GADD45B;NCS1;GPR65;PNP;TNFRSF21;IL1R2;NRP1;RGS16"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_INFLAMMATORY_RESPONSE",0.0183559462238486,0.0417180595996559,0.352487857583619,0.339021675008557,1.37164132051793,150,52,"IL6;IL4R;KCNJ2;MARCO;OSMR;SLC31A1;MMP14;APLNR;NFKB1;HIF1A;KIF1B;TNFAIP6;ITGA5;IL1R1;ATP2C1;IL7R;ATP2A2;PDPN;CHST2;LDLR;TNFSF15;IFNAR1;ICAM1;CSF3R;SLC1A2;LCK;DCBLD2;INHBA;SLC11A2;CMKLR1;SERPINE1;SHAS2;IL2RB;MYC;FZD5;SLC7A1;AMCF-II;SPHK1;BST2;TIMP1;NOD2;LYN;RGS16;AQP9;TLR2;PDE4B;PCDH7;CD55;CDKN1A;P2RY2;ACVR1B;CCL2"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0204770188026947,0.0445152582667275,0.352487857583619,0.329663550344604,1.35485342555178,170,55,"B4GALT1;TNC;IL6;PANX1;RCAN1;SOCS3;DRAM1;ATF3;FOSL2;CEBPB;NFIL3;B4GALT5;PLAU;MAP3K8;NFKB1;DUSP5;TNFAIP6;BHLHE40;IL7R;TAP1;LDLR;FOSL1;ICAM1;IER3;BTG3;BCL3;INHBA;RELB;SERPINE1;GADD45A;NFKB2;MYC;TRIB1;GADD45B;AMCF-II;SPHK1;SGK1;REL;CFLAR;NR4A2;EFNA1;MAP2K3;RNF19B;TLR2;PMEPA1;PDE4B;SLC2A6;CDKN1A;NR4A3;MCL1;TGIF1;CCL2;CLCF1;NFKBIE;SMAD3"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_ANGIOGENESIS",0.0329960294200891,0.0663105518942673,0.321775918075361,0.494086132707752,1.50866127885529,31,13,"SPP1;SLCO2A1;KCNJ8;COL5A2;COL3A1;POSTN;PTK2;VCAN;VAV2;AMCF-II;TNFRSF21;TIMP1;NRP1"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_KRAS_SIGNALING_DN",0.0331552759471337,0.0663105518942673,0.321775918075361,-0.368760791335876,-1.37798522136524,78,27,"COQ8A;EFHD1;MAGIX;TFCP2L1;GAMT;TGFB2;SHOX2;CPEB3;FGGY;PDK2;MFSD6;P2RX6;THNSL2;THRB;SKIL;CNTFR;ZBTB16;NRIP2;IGFBP2;BTG2;LFNG;CYP39A1;MTHFR;EGF;HNF1A;SLC25A23;TNNI3"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0430030927914194,0.0784928199777992,0.321775918075361,-0.374810042042681,-1.35607619857229,67,21,"PNRC1;SEMA3B;MAL2;ALDOC;LPL;CPEB2;TM7SF2;ANTXR2;FASN;ECH1;CBS;PPARG;SCD;ALCAM;LGALS3;TP53INP1;GNAI1;JAG1;PMVK;CD9;ACSS2"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_GLYCOLYSIS",0.0429170196794978,0.0784928199777992,0.321775918075361,0.325971337514995,1.32908266002253,156,40,"KIF20A;B4GALT1;CENPA;STMN1;CDK1;HMMR;COPB2;GMPPB;HDLBP;STC2;HK2;PRPS1;HSPA5;CHPF2;COL5A1;GALE;NASP;PKM;GYS1;GFUS;B4GALT7;MDH2;CHST2;GCLC;IL13RA1;SOX9;KDELR3;TPI1;GFPT1;IER3;PLOD2;LDHA;PYGL;TGFBI;PSMC4;SLC25A13;P4HA2;CHST1;RARS1;VCAN"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_PROTEIN_SECRETION",0.0439559791875676,0.0784928199777992,0.321775918075361,0.368552822264492,1.36890827143645,85,21,"YKT6;COPB2;GBF1;SEC24D;LMAN1;CLTC;SEC31A;KIF1B;ARCN1;M6PR;CTSC;RAB14;AP2B1;USO1;ARFGAP3;AP1G1;ZW10;GOSR2;AP2M1;AP3B1;COPB1"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_APICAL_JUNCTION",0.0844036697247706,0.140672782874618,0.208955027549354,0.302322110666587,1.22574588110099,152,40,"B4GALT1;NRAP;FSCN1;BMP1;ACTN1;SHROOM2;MMP9;MMP2;COL16A1;MDK;CDH11;MSN;SHC1;TAOK2;MAPK14;CAP1;ICAM1;INSIG1;PCDH1;ITGB1;PECAM1;ADRA1B;ADAM9;TGFBI;THBS3;MYH9;PTK2;VWF;VCAN;VAV2;PFN1;CERCAM;CTNND1;STX4;CDK8;MAPK13;GNAI2;DSC3;PTPRC;VCL"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_PEROXISOME",0.0833333333333333,0.140672782874618,0.227987202850442,-0.337227588143683,-1.27052762536711,80,27,"RETSAT;ALDH1A1;SEMA3C;PEX11A;CAT;ABCD2;RXRG;ACAA1;GSTK1;ECH1;ISOC1;HSD3B7;SLC25A4;DHRS3;CNBP;EPHX2;SOD1;CRAT;ELOVL5;ACOT8;FIS1;CTBP1;TSPO;SIAH1;HSD17B4;MLYCD;CADM1"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_APOPTOSIS",0.0915750915750916,0.143086080586081,0.199915231309662,0.307038393999031,1.22880511766151,138,48,"TOP2A;IL6;CDK2;CASP7;BRCA1;ATF3;HMGB2;LEF1;HMOX1;CDC25B;BAX;MMP2;ETF1;TAP1;SLC20A1;CD2;TNFRSF12A;PAK1;CASP3;AVPR1A;DNAJA1;IER3;MADD;GSR;BTG3;PTK2;DPYD;GADD45A;CASP2;BGN;DNAJC3;GADD45B;TIMP1;PSEN2;SATB1;CFLAR;BCL2L11;EBP;SPTAN1;F2R;LMNA;PDGFRB;GPX1;IGF2R;BID;PPP2R5B;DAP3;CDKN1A"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_HEME_METABOLISM",0.0897435897435897,0.143086080586081,0.219250346703755,-0.292319717222277,-1.2147726804429,145,46,"SELENBP1;ALDH6A1;PC;SLC22A4;ALDH1L1;FN3K;CAT;KAT2B;BCAM;LAMP2;BNIP3L;ALAD;YPEL5;CCDC28A;MARCHF8;ACKR1;NR3C1;KLF3;GYPC;MARCHF2;EZH1;TFDP2;DMTN;FOXO3;FECH;C3;MOCOS;BTG2;FBXO34;EPB42;PPOX;AQP3;SLC25A38;TMEM9B;KDM7A;MKRN1;TSPAN5;H1-0;NARF;FBXO7;TMCC2;SLC10A3;PIGQ;TNS1;RNF19A;UBAC1"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_UV_RESPONSE_UP",0.12639405204461,0.19150613946153,0.169570644405628,0.303353368737413,1.20034747950684,127,36,"IL6;YKT6;CDK2;RPN1;ATF3;MMP14;FEN1;HMOX1;PTPRD;TARS1;SULT1A3;STIP1;TAP1;AGO2;CASP3;ICAM1;DNAJA1;RET;DDX21;ATP6V1C1;BTG3;NUP58;BAK1;HTR7;FGF18;ASNS;RRAD;DNAJB1;HNRNPU;LYN;BCL2L11;CDC5L;RFC4;UROD;NOP16;PRKACA"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_COMPLEMENT",0.153703703703704,0.2260348583878,0.152144922367565,0.289389273808972,1.17089836830762,151,40,"MMP13;IL6;CASP7;CEBPB;DPP4;HSPA5;S100A12;MMP14;DUSP5;COL4A2;MMP15;RABIF;XPNPEP1;CTSC;CASP10;GPD2;PREP;CASP3;JAK2;LCK;ADAM9;SERPINE1;PFN1;BRPF3;TIMP1;PRDM4;STX4;LYN;USP15;CALM3;GNAI2;NOTCH4;GP9;MMP8;PIM1;CPM;DOCK10;ZEB1;CD55;FYN"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_KRAS_SIGNALING_UP",0.194690265486726,0.278128950695322,0.147331213699377,-0.267152666697135,-1.11021327441659,155,35,"BTC;SEMA3B;APOD;KLF4;AKT2;TSPAN7;ACE;PCSK1N;CIDEA;SPARCL1;GNG11;EPHB2;HDAC9;ERO1A;ZNF277;PTPRR;MAP3K1;RBP4;AKAP12;ETV5;TSPAN13;CCSER2;GPRC5B;ITGBL1;GYPC;SCG3;ATG10;PTBP2;CBR4;ETV1;SNAP91;JUP;GADD45G;EVI5;HBEGF"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_HYPOXIA",0.235807860262009,0.327510917030568,0.131457611642763,-0.260119523699901,-1.09277091987567,166,25,"PNRC1;RBPJ;SELENBP1;CDKN1B;FBP1;RRAGD;IRS2;ALDOC;KLHL24;GBE1;PAM;CITED2;ADM;PPP1R3C;VEGFA;TPBG;DCN;BNIP3L;WSB1;ERO1A;CCNG2;MAP3K1;AKAP12;IDS;NR3C1"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.284132841328413,0.38396329909245,0.107140237276725,0.26877472022351,1.0874305076804,150,26,"CA12;B4GALT1;PAPSS2;RAB31;IGFBP4;SYT12;STC2;FARP1;ABHD2;MYOF;SEC14L2;ISG20L2;NAV2;RHOD;SCARB1;BHLHE40;SLC39A6;SLC7A5;GJA1;WFS1;JAK2;RET;IGF1R;RBBP8;KAZN;OLFML3"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_ANDROGEN_RESPONSE",0.29622641509434,0.389771598808342,0.105920292736253,0.292795162023224,1.07830426342435,83,26,"B4GALT1;CENPN;SEC24D;HMGCR;ACTN1;ABHD2;LMAN1;ADAMTS1;PGM3;HMGCS1;PLPP1;INSIG1;FADS1;INPP4B;GSR;XRCC6;ELK4;UBE2J1;SGK1;HOMER2;ALDH1A3;PMEPA1;STK39;SLC26A2;SLC38A2;MERTK"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_PANCREAS_BETA_CELLS",0.331395348837209,0.424865831842576,0.100633389423036,0.42397714955857,1.11265731674897,16,4,"DPP4;SRPRB;VDR;PAK3"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_UV_RESPONSE_DN",0.386617100371747,0.483271375464684,0.0891647117820678,0.258177446077485,1.02684953681744,133,47,"RUNX1;COL1A1;SNAI2;SIPA1L1;NFKB1;PTGFR;SFMBT1;ATP2C1;BHLHE40;KCNMA1;LDLR;COL5A2;PIAS3;MAPK14;LTBP1;GJA1;INSIG1;IGF1R;INPP4B;COL1A2;AMPH;MAP1B;COL3A1;AGGF1;SERPINE1;WDR37;SYNJ2;SHAS2;MYC;VAV2;ATXN1;SLC7A1;DLC1;TFPI;NRP1;MTA1;ATRN;PDGFRB;BDNF;PRKCA;CDK13;PTPRM;FYN;TENT4A;CDC42BPA;VLDLR;MIOS"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_APICAL_SURFACE",0.408396946564886,0.497977755308392,0.0875697115548511,0.334966844001912,1.02280042646928,31,5,"B4GALT1;CRYBG1;MDGA1;BRCA1;SHROOM2"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.423982869379015,0.497977755308392,0.0919686140000427,-0.238237636959503,-1.00682732940169,171,50,"ALDH6A1;RETSAT;ACADSB;ACAT1;CYB5A;CYB5R3;ACAA1;ACAA2;BCKDHA;ECH1;SLC25A4;PDK4;MAOB;DECR1;NDUFB6;POLR2F;BDH2;COX8A;FDX1;MDH1;NDUFC2;SDHB;PDHB;LDHB;COX7A2L;NDUFV1;SDHD;NDUFA5;PDHX;ECHS1;SUCLA2;COX4I1;ACO2;IDH3G;COX6C;COX17;NDUFB4;SLC25A6;COX7C;NDUFS6;SURF1;UQCR11;NDUFB5;SDHC;NDUFB7;MRPS22;HSD17B10;SLC25A20;NDUFS4;NDUFS8"
