"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000040412","ENSSSCG00000040412",-0.812607479196559,0.000124077516387012,0.00104658637617527,-3.90630690821678
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000033750","ENSSSCG00000033750",-1.83149022850013,0.000123993741685925,0.00104651016943118,-3.90660023435276
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000055218","BTG2",-0.867912294638567,0.000123895261594074,0.0010463096820508,-3.90694530300971
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000000657","ENSSSCG00000000657",-0.770691377127173,0.000123817828199211,0.00104628680171718,-3.90721681790808
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000040105","SLC34A3",-1.25527729770834,0.000123681645450922,0.00104628680171718,-3.90769474556755
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000011695","AGTR1",-2.45308470319847,0.000123369103685475,0.00104501765868362,-3.90879359053754
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000037395","CLIC3",-0.893997812476029,0.000122401623348703,0.0010374500787703,-3.91221282233173
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000034178","AIF1L",-1.2702057184267,0.000122166875559627,0.00103608757818649,-3.91304653314239
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000004172","SLC2A12",-1.11813816667426,0.000121990314511546,0.00103521720229737,-3.91367464900696
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000014041","MXD3",-1.0549718417623,0.000121914470108969,0.00103520097663176,-3.91394474462346
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000008055","TEDC2",-1.28204904703047,0.00012136916144458,0.00103182209990711,-3.91589164864637
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000038991","ENSSSCG00000038991",-0.997728815998002,0.000121365662008756,0.00103182209990711,-3.91590417083537
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000030277","ENDOV",-0.739640484896468,0.000121142318310358,0.00103177295680148,-3.91670411946451
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000023045","BAHCC1",-0.979378126753824,0.000121116223962359,0.00103177295680148,-3.9167976776217
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000012927","RCE1",-0.603456823924532,0.00012020270027529,0.00102501717981402,-3.92008577608132
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000060429","HCAR1",-3.41552317212648,0.000119749025295266,0.00102177078134327,-3.9217280128663
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000058834","ENSSSCG00000058834",-1.30132442045157,0.000119704771726612,0.00102177078134327,-3.92188853720234
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000013475","NCLN",-0.634148183784864,0.000119622254069737,0.00102177078134327,-3.92218801833567
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000012327","HSD17B10",-0.57959937368558,0.00011955389790559,0.00102177078134327,-3.92243625968796
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000040411","CCDC69",-0.980111163322712,0.000119371785919114,0.00102111419740111,-3.92309830861351
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000007237","PDRG1",-0.412188565887558,0.000119188261821667,0.00102071806851803,-3.92376651369895
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000008007","WDR24",-1.24841471305804,0.000118789731860302,0.00101792767778945,-3.92522109798394
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000013005","VPS51",-0.503569615886904,0.000118681741369498,0.00101762507204881,-3.92561609008004
