"pathway","NES_untrimmed","pval_untrimmed","padj_untrimmed","size_untrimmed","NES_trimmed","pval_trimmed","padj_trimmed","size_trimmed","contrast","timepoint","delta_NES","abs_delta_NES","direction_same","is_target"
"HALLMARK_MYOGENESIS",-1.44468386359442,0.00397124547273847,0.0122103754159143,157,-1.39914749122076,0.00822551831863807,0.0216461008385212,157,"ACLT_untreated_t7_vs_Control","t7",0.0455363723736599,0.0455363723736599,TRUE,FALSE
"HALLMARK_NOTCH_SIGNALING",-0.911365913314384,0.608421052631579,0.676023391812866,32,-0.917384035801944,0.586638830897704,0.651820923219671,32,"ACLT_untreated_t7_vs_Control","t7",-0.00601812248756095,0.00601812248756095,TRUE,FALSE
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",-0.998727546029495,0.437799043062201,0.509068654723489,171,-1.00682732940169,0.423982869379015,0.497977755308392,171,"ACLT_untreated_t7_vs_Control","t7",-0.00809978337219253,0.00809978337219253,TRUE,FALSE
"HALLMARK_P53_PATHWAY",0.898613209044205,0.719178082191781,0.765083066161469,165,0.898247985700487,0.720588235294118,0.766583229036295,165,"ACLT_untreated_t7_vs_Control","t7",-0.000365223343717247,0.000365223343717247,TRUE,FALSE
"HALLMARK_PANCREAS_BETA_CELLS",1.12297443881748,0.296015180265655,0.379506641366224,16,1.11265731674897,0.331395348837209,0.424865831842576,16,"ACLT_untreated_t7_vs_Control","t7",-0.0103171220685103,0.0103171220685103,TRUE,FALSE
"HALLMARK_PEROXISOME",-1.26269474825236,0.0871559633027523,0.138651877133106,80,-1.27052762536711,0.0833333333333333,0.140672782874618,80,"ACLT_untreated_t7_vs_Control","t7",-0.00783287711474268,0.00783287711474268,TRUE,FALSE
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",1.68203697413679,0.000816560633614262,0.00314061782159332,89,1.68985290927934,0.0009990850458329,0.003842634791665,89,"ACLT_untreated_t7_vs_Control","t7",0.00781593514255374,0.00781593514255374,TRUE,FALSE
"HALLMARK_PROTEIN_SECRETION",1.38352581359893,0.0477760276580057,0.0884741252926031,85,1.36890827143645,0.0439559791875676,0.0784928199777992,85,"ACLT_untreated_t7_vs_Control","t7",-0.0146175421624826,0.0146175421624826,TRUE,FALSE
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.826875208524783,0.772811918063315,0.805012414649286,41,-0.831699208333485,0.739035087719298,0.769828216374269,41,"ACLT_untreated_t7_vs_Control","t7",-1.65857441685827,1.65857441685827,FALSE,FALSE
"HALLMARK_SPERMATOGENESIS",1.65590154967638,0.00198621084546961,0.00709361016239148,65,1.67029336756001,0.00253150772174054,0.00904109900621621,65,"ACLT_untreated_t7_vs_Control","t7",0.0143918178836357,0.0143918178836357,TRUE,FALSE
"HALLMARK_TGF_BETA_SIGNALING",-1.0008296534406,0.429515418502203,0.509068654723489,50,-1.01535814254525,0.428260869565217,0.497977755308392,50,"ACLT_untreated_t7_vs_Control","t7",-0.0145284891046522,0.0145284891046522,TRUE,FALSE
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.34233369760142,0.0307410532920489,0.0614821065840977,170,1.35485342555178,0.0204770188026947,0.0445152582667275,170,"ACLT_untreated_t7_vs_Control","t7",0.0125197279503577,0.0125197279503577,TRUE,FALSE
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",2.11777887933926,2.74629271475643e-08,1.71643294672277e-07,103,2.15903887006382,1.34192230048325e-08,1.11826858373604e-07,103,"ACLT_untreated_t7_vs_Control","t7",0.0412599907245688,0.0412599907245688,TRUE,FALSE
"HALLMARK_UV_RESPONSE_DN",1.05966431661499,0.33277027027027,0.415962837837838,133,1.02684953681744,0.386617100371747,0.483271375464684,133,"ACLT_untreated_t7_vs_Control","t7",-0.0328147797975493,0.0328147797975493,TRUE,FALSE
"HALLMARK_UV_RESPONSE_UP",1.23043355793664,0.109612141652614,0.16607900250396,127,1.20034747950684,0.12639405204461,0.19150613946153,127,"ACLT_untreated_t7_vs_Control","t7",-0.030086078429796,0.030086078429796,TRUE,FALSE
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.907540677193324,0.622641509433962,0.676784249384742,36,0.896242597788712,0.619318181818182,0.673171936758893,36,"ACLT_untreated_t7_vs_Control","t7",-0.0112980794046121,0.0112980794046121,TRUE,FALSE
"HALLMARK_XENOBIOTIC_METABOLISM",-1.45425271968507,0.00353176446160765,0.0117725482053588,148,-1.4415332012375,0.00564462874914694,0.0156795243031859,148,"ACLT_untreated_t7_vs_Control","t7",0.0127195184475657,0.0127195184475657,TRUE,FALSE
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.63292801110191,0.000202218361167522,0.00112343533981957,173,1.64407457363652,0.000150069471729295,0.00083371928738497,173,"ACLT_untreated_t7_vs_Control","t7",0.0111465625346077,0.0111465625346077,TRUE,TRUE
"HALLMARK_INFLAMMATORY_RESPONSE",1.36234981105952,0.0127916729028829,0.030456364054483,150,1.37164132051793,0.0183559462238486,0.0417180595996559,150,"ACLT_untreated_t7_vs_Control","t7",0.00929150945841539,0.00929150945841539,TRUE,TRUE
