"","M130L","M135L","M142L","M143L","M147L","M153L","M158L","M160L","M163L","M167L","M174L","M178L","M130R","M135R","M142R","M143R","M147R","M153R","M158R","M160R","M163R","M167R","M174R","M178R","M131L","M137L","M140L","M146L","M150L","M154L","M157L","M161L","M166L","M169L","M173L","M176L","M131R","M137R","M140R","M146R","M150R","M154R","M157R","M161R","M166R","M169R","M173R","M176R"
"Clec4n",-1.29697221014925,-1.87902811330479,-0.654724767945986,-0.114094462784965,-0.996080546129959,-0.581107716554244,-1.33880647212136,-0.27525178137981,-2,-1.25180247128124,-1.10738129146665,-0.916226590588722,0.849706681585945,1.12841024913949,1.22031080074064,1.24288786264404,1.07100958446845,1.04428577316121,1.51808167173725,1.28817221748281,0.793330793813843,1.5901849118149,1.18884627391148,1.34366896934253,-0.0153160939516312,-0.157152354280656,-1.31128662845535,-0.619112432848483,-0.677946137384788,-1.19795278530036,-0.407304605544031,-0.64253090991349,-0.430331950123806,0.00989979009793609,-0.413251221282126,-0.814258932434252,0.477543438983619,1.23337656906706,0.728596327499783,0.586162004810803,0.663371533992768,-1.38953582250153,0.362557411609014,0.40901143622284,0.477213481058589,0.701627385877366,0.591986929746312,0.178777000149425
"Mfap2",-0.996561626880736,-1.50086334460488,-0.385513494240366,-0.338391190280619,-1.19069478147289,-0.602878270496804,-1.32609547589893,-1.03913685606068,-0.819790186117372,-1.07341683638108,-0.436291131927694,-1.39976275590611,1.03417721217396,1.3654673706832,1.43756303727521,1.47002151317985,1.00977748096281,1.05515804069856,1.33608573457207,1.33143857508599,1.01900727291983,1.66863670107402,1.5687576579655,1.58840409556834,-0.575360462247479,-0.824828990961986,-0.983199712400683,-0.105179533846876,-0.864605642914699,-1.30955275394447,-0.394813617445192,-0.823837915744925,-0.65024765125149,-0.643163199374851,-0.965653849498956,-0.943807116241047,0.306295934797718,1.01719787565747,0.678997406071745,0.368591891697112,0.589073642202619,-1.19863106162534,0.497212331981028,0.379082107173852,0.841021298792343,0.742629077035747,0.298596776735669,-0.210915576538483
"Tnfsf15",-0.778763047736408,-2,-0.576181422263068,-0.863957735256797,-0.885082040829009,-0.327595742212727,-0.553947868349904,-2,-0.764201139165444,-0.9725314166438,-0.698321767012976,-0.319131043049847,0.824670353993522,1.09240726943895,1.76496660316426,1.16073979268618,0.946996821234508,0.645006611598952,1.10830190126635,0.860729832170615,0.744712108816702,1.33247697010597,0.858878495727441,0.879084812175627,-0.0544095442201574,-0.610970826005264,-0.93971406076397,-0.23300301816208,-0.357118317401139,-2,-0.700736973061427,-0.571866310907238,-0.059348077074279,-2,-0.470888131013497,-0.562524714457979,0.864925026989663,1.20651526324262,0.527195674831559,0.985733023271066,0.778657422949463,-1.01169374312379,0.671979009417074,0.682161250432298,0.869783883817165,0.56811360953172,0.745523807228811,0.6098051384812
"Slpi",-1.18574043231157,-1.12483471087161,0.910787331654464,-0.952598365141616,-1.89871317517551,-0.849803760032727,-0.856556286595132,-1.07412176758466,-0.331555781717092,-0.987665398055826,-1.50951849100062,-1.16664345092177,0.485278924180593,1.31801657591916,0.974908991384167,0.761713350376797,0.418511183857762,1.47302698067744,1.45685038820409,1.39458085991778,0.483283309055432,0.897329948294088,1.08371005866881,0.897658544972111,-1.5183084105386,0.341284114444831,0.119022776383877,-0.950480608615939,-1.11023663584705,0.591074267281798,-1.61164922221599,-0.651569787206576,-1.05239094576482,-1.9592317241231,0.609606905764546,-0.49364457497146,0.218034186978669,0.973752168982502,0.745507620360731,0.508974717332751,0.283264610453798,0.0157226822618625,0.786916644956728,0.995467629380095,0.554227686020783,0.550945046985624,0.905021572439988,0.530784451500393
"Ccn5",-1.02512662851686,-1.64597367978364,-0.658235207551456,-0.878881520608918,-1.28283300555689,-0.717447089208586,-1.03713094604493,-0.761173605419441,-0.982455449781692,-1.07440866919555,-1.11738664910903,-1.25755218454891,0.301717604918932,1.3107120624326,0.612048282220882,0.10704787132102,0.342959108220826,0.992052957575889,0.663521371479133,0.631834231086399,0.23135237712981,0.699119831660635,0.718418621857343,1.17044343621409,-0.302401113575614,-0.566172820530727,-1.12587679211893,-0.398497401307276,-1.08838215813598,-1.26163801652228,-0.422057306435801,-0.769836049457059,-0.461379648100581,-0.506428415881959,-0.89187876843652,-0.62165767504524,1.38484506306038,1.88339546862329,1.25505645181834,1.09323270331432,1.40244452753035,-0.79707959858493,0.612346134740763,1.37970296991681,1.52804686494034,1.60737889812585,1.13294213871345,0.59127142255731
"Cidea",0.414796477246771,0.842678011651577,0.837888466171659,1.12404333593219,0.431295299321942,0.789867446395429,0.922473657521299,1.68941595761177,-0.0784116043121208,0.234338973346983,1.22742441318512,0.778298467460923,-1.23232496130068,-0.433327746741831,-0.649211049435072,-1.71036112192661,-0.981378265369747,-0.445537056096074,-2,-0.79147101986164,-1.24206477546296,-0.600600505791479,-1.13937477794892,-2,0.703477484236158,0.671159655708515,0.249227268614493,1.04299122322688,0.410192976922542,0.27889465725587,1.57484710669167,0.93165339737456,0.613808486296176,0.624097315730127,0.664161000199653,1.1108458823782,-1.39232084847275,-1.50432903347745,0.115205094475154,0.334732974597753,0.228095555663609,0.267557781556073,0.0653280911273377,-0.857997050218057,-0.206340471471142,-0.709809079240504,0.194439227215055,-0.244388879017872
"H2-Q10",0.799948941854773,0.790589358777917,0.99330848275277,0.535867015009175,-0.485033431627815,0.864658870762977,1.09673823446377,1.53102403343633,0.124392665803858,0.218099326622307,1.1128474840491,0.713321612411525,-1.8507454427194,-0.67611205104458,-1.00654272005634,-1.83439698748238,-0.554438163039192,-0.203947536594648,-1.6434864868202,-1.29208223866978,-1.51175260021621,-0.443507151025539,-1.49798834788576,-1.15066196528603,1.2300320913228,0.786816234629049,-0.415395499739626,1.41244030549205,0.796325380346461,0.300991964731474,1.81913953455074,1.0335476698637,0.833934990346967,1.04631448706436,0.786381615949716,1.22506371971594,-0.953123507754435,-1.20663113701684,-1.11926732057723,0.042368598601951,-0.129947335360126,0.36357126133094,0.0698922613121561,-0.825448473130402,-0.131472157803361,-0.948218672899056,-0.639593737868028,-0.00782317658584666
"Inmt",1.04117036896782,0.971276668096424,0.15196554620312,0.58700019881877,0.87271877036419,0.854425548712337,0.181281265226184,0.593791555548758,0.792542017652761,1.07607645541795,0.376887504819374,0.537622276972705,-0.461827795275141,-0.835967335493372,-1.96976294688997,-2,-0.591969178822316,-1.37246886195022,-2,-1.81543343038249,0.0599936788449474,-1.15272192345927,-1.37597202549381,-2,0.924903086480253,0.169841760216714,0.729777701832036,-0.0848654001364892,1.07025667208114,0.446255107572754,0.974234056194891,0.475138191804547,1.31697852059167,2,0.198970056080664,0.722607127913896,-0.185247111602057,-1.27017116920896,0.0907378676398259,-0.59440471614779,0.403254320754198,0.524453790952925,0.43766982336619,-0.413778861137159,0.0531806623447469,0.395522132581561,-0.858670837463843,0.145585215209112
"Crhr2",0.907164518861829,1.28995307099726,0.316714615847549,0.475547811951303,1.25162319464083,0.778200263202629,0.942535532323811,0.47361708908988,0.794173127153049,1.2808765081336,0.780872776524684,1.16957047518627,-0.739107779476123,-1.19290053302661,-1.1081557232771,-1.4306733375528,-0.921182295095311,-0.307839920549737,-2,-1.73266120262099,-0.263392410692152,-2,-0.651150990718751,-2,0.405320251835844,0.810294367299326,1.21033384521099,0.374244897657548,1.10066262811443,1.04548592660025,-0.391766728295529,0.507962353229917,0.211863615316587,0.714816531648611,0.901626361319989,0.513413110904983,-0.135217792826536,-1.19189194917077,-0.232585238588175,-0.633950837421234,-0.417994869594181,0.948521692614846,0.136438747794753,0.104713959826147,-1.26875946501701,-0.214032163021968,-0.185728447603863,0.317009053272319
"Gys2",-0.0182104022293083,0.562661576221428,0.508547635841593,1.6620062764392,0.362449005580068,0.569250049521219,0.896002514730183,1.53334671001624,-0.260999034725928,0.0940266301981369,1.05519902540395,0.160976411835342,-0.54385949826203,-0.65718918800845,-0.923926580061847,-0.158149558348047,-1.18799341257169,-1.29129429634204,-1.70341334991367,-0.576903518467069,-1.92371298860613,-0.789957194019131,-2,-2,1.08640134516631,0.700729203017808,0.97234466968775,1.3775892714687,0.838552953494196,0.587956472294898,1.81214506797879,1.22227812817136,1.04586580960247,0.209023109276734,0.266628848453673,0.760787124448262,-0.117690266635184,-1.17441705914005,0.245959153384035,-0.0448119762566452,-0.0754577483038786,-0.154261660922372,0.372302808620034,-1.10642959501589,0.0224412787243547,-0.186879878435838,-0.734410655105104,-0.73663613570768
