"gene_id","ENTREZID_1W","SYMBOL_1W","logFC_1W","FDR_1W","direction_1W","ENTREZID_4W","SYMBOL_4W","logFC_4W","FDR_4W","direction_4W","in_1W","in_4W","direction_relation","category","ENTREZID","SYMBOL","plot_class","label_name","combined_score"
"G10090_5199",56320,"Dbn1",1.70021992670799,3.82076369387185e-09,"Up",56320,"Dbn1",1.18263907038064,1.42633623374029e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",56320,"Dbn1","Persistent_up","Dbn1",20.0430024966914
"G10090_5212",217154,"Stac2",1.64846650754994,4.36260342599138e-06,"Up",217154,"Stac2",2.08975693699805,4.1908598006089e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",217154,"Stac2","Persistent_up","Stac2",17.9845220232475
"G10090_5280",14081,"Acsl1",-1.53381571498251,8.41028695765544e-11,"Down",14081,"Acsl1",-1.1524490460846,1.51932671809197e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",14081,"Acsl1","Persistent_down","Acsl1",21.0063850116027
"G10090_5383",234564,"Ces1f",-2.75909959537582,1.08711863644766e-05,"Down",234564,"Ces1f",-1.70282126760932,9.47596450923667e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",234564,"Ces1f","Persistent_down","Ces1f",20.5464974826131
"G10090_5443",12393,"Runx2",1.83268065171565,6.70050239909884e-07,"Up",12393,"Runx2",1.38899939640416,5.25998038385699e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",12393,"Runx2","Persistent_up","Runx2",17.2583240424476
"G10090_5460",214425,"Cilp",1.16912285684995,9.03117659493524e-05,"Up",214425,"Cilp",1.00512081813366,0.000276199424065519,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",214425,"Cilp","Persistent_up","Cilp",8.30523281978824
"G10090_5489",18439,"P2rx7",1.12554254854487,1.2852611285114e-06,"Up",18439,"P2rx7",1.2363401770105,1.46076384791389e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",18439,"P2rx7","Persistent_up","P2rx7",12.6088048674135
"G10090_5507",83396,"Glis2",1.30251246525111,8.64455962457493e-07,"Up",83396,"Glis2",1.17846619099455,4.24548231241662e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",83396,"Glis2","Persistent_up","Glis2",13.0498081592724
"G10090_5528",207839,"Galnt6",2.48539322937073,1.01449577640176e-07,"Up",207839,"Galnt6",1.86330285185718,1.95578871567781e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",207839,"Galnt6","Persistent_up","Galnt6",26.1559115582596
"G10090_5540",381836,"Sbk2",-2.20945051337097,1.65665507394344e-05,"Down",381836,"Sbk2",-1.83401121102812,0.00127025025017177,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",381836,"Sbk2","Persistent_down","Sbk2",15.8743696142052
"G10090_5551",69538,"Antxr1",2.5201639449847,1.66801153001615e-08,"Up",69538,"Antxr1",2.11512703150697,1.23913109019309e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",69538,"Antxr1","Persistent_up","Antxr1",32.0951408982719
"G10090_5553",19876,"Robo1",1.93319057606777,3.22373289560311e-08,"Up",19876,"Robo1",2.18071504595476,3.47209173486375e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",19876,"Robo1","Persistent_up","Robo1",26.3881846139375
"G10090_5574",54354,"Rassf5",1.68811405150072,3.2120070630787e-08,"Up",54354,"Rassf5",1.01410214564951,0.000122807768363058,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",54354,"Rassf5","Persistent_up","Rassf5",16.6153403628424
"G10090_5579",66847,"Hint3",-1.08549201221268,6.25184821799941e-06,"Down",66847,"Hint3",-1.03307581266921,5.17620083113441e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",66847,"Hint3","Persistent_down","Hint3",10.076642732728
"G10090_5587",278507,"Wfikkn2",-1.35876268626827,1.03093006348764e-05,"Down",278507,"Wfikkn2",-1.07716671646618,6.07029869004466e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",278507,"Wfikkn2","Persistent_down","Wfikkn2",11.3180238543804
"G10090_5588",13038,"Ctsk",2.63034190092577,1.6283889123947e-08,"Up",13038,"Ctsk",2.00025110458091,3.03525924601535e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",13038,"Ctsk","Persistent_up","Ctsk",31.5227328722069
"G10090_568",76877,"Rab36",1.55279708185926,1.93065271302533e-07,"Up",76877,"Rab36",1.20436194816449,3.10385494630945e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",76877,"Rab36","Persistent_up","Rab36",15.8553213795686
