"zip_file","sample_id","module","status","source_filename","parse_ok","parse_note"
"INJL1_R2_fastqc.zip","INJL1_R2","Per sequence quality scores","PASS","INJL1_R2.fastq.gz",TRUE,"OK"
"INJL1_R2_fastqc.zip","INJL1_R2","Per tile sequence quality","PASS","INJL1_R2.fastq.gz",TRUE,"OK"
"INJL1_R2_fastqc.zip","INJL1_R2","Sequence Duplication Levels","FAIL","INJL1_R2.fastq.gz",TRUE,"OK"
"INJL1_R2_fastqc.zip","INJL1_R2","Sequence Length Distribution","PASS","INJL1_R2.fastq.gz",TRUE,"OK"
"INJL2_R1_fastqc.zip","INJL2_R1","Adapter Content","PASS","INJL2_R1.fastq.gz",TRUE,"OK"
"INJL2_R1_fastqc.zip","INJL2_R1","Basic Statistics","PASS","INJL2_R1.fastq.gz",TRUE,"OK"
"INJL2_R1_fastqc.zip","INJL2_R1","Overrepresented sequences","PASS","INJL2_R1.fastq.gz",TRUE,"OK"
"INJL2_R1_fastqc.zip","INJL2_R1","Per base N content","PASS","INJL2_R1.fastq.gz",TRUE,"OK"
"INJL2_R1_fastqc.zip","INJL2_R1","Per base sequence content","FAIL","INJL2_R1.fastq.gz",TRUE,"OK"
"INJL2_R1_fastqc.zip","INJL2_R1","Per base sequence quality","PASS","INJL2_R1.fastq.gz",TRUE,"OK"
"INJL2_R1_fastqc.zip","INJL2_R1","Per sequence GC content","PASS","INJL2_R1.fastq.gz",TRUE,"OK"
"INJL2_R1_fastqc.zip","INJL2_R1","Per sequence quality scores","PASS","INJL2_R1.fastq.gz",TRUE,"OK"
"INJL2_R1_fastqc.zip","INJL2_R1","Per tile sequence quality","WARN","INJL2_R1.fastq.gz",TRUE,"OK"
"INJL2_R1_fastqc.zip","INJL2_R1","Sequence Duplication Levels","WARN","INJL2_R1.fastq.gz",TRUE,"OK"
"INJL2_R1_fastqc.zip","INJL2_R1","Sequence Length Distribution","PASS","INJL2_R1.fastq.gz",TRUE,"OK"
"INJL2_R2_fastqc.zip","INJL2_R2","Adapter Content","PASS","INJL2_R2.fastq.gz",TRUE,"OK"
"INJL2_R2_fastqc.zip","INJL2_R2","Basic Statistics","PASS","INJL2_R2.fastq.gz",TRUE,"OK"
"INJL2_R2_fastqc.zip","INJL2_R2","Overrepresented sequences","PASS","INJL2_R2.fastq.gz",TRUE,"OK"
"INJL2_R2_fastqc.zip","INJL2_R2","Per base N content","PASS","INJL2_R2.fastq.gz",TRUE,"OK"
"INJL2_R2_fastqc.zip","INJL2_R2","Per base sequence content","FAIL","INJL2_R2.fastq.gz",TRUE,"OK"
"INJL2_R2_fastqc.zip","INJL2_R2","Per base sequence quality","PASS","INJL2_R2.fastq.gz",TRUE,"OK"
"INJL2_R2_fastqc.zip","INJL2_R2","Per sequence GC content","PASS","INJL2_R2.fastq.gz",TRUE,"OK"
"INJL2_R2_fastqc.zip","INJL2_R2","Per sequence quality scores","PASS","INJL2_R2.fastq.gz",TRUE,"OK"
"INJL2_R2_fastqc.zip","INJL2_R2","Per tile sequence quality","FAIL","INJL2_R2.fastq.gz",TRUE,"OK"
"INJL2_R2_fastqc.zip","INJL2_R2","Sequence Duplication Levels","WARN","INJL2_R2.fastq.gz",TRUE,"OK"
"INJL2_R2_fastqc.zip","INJL2_R2","Sequence Length Distribution","PASS","INJL2_R2.fastq.gz",TRUE,"OK"
"INJL3_R1_fastqc.zip","INJL3_R1","Adapter Content","PASS","INJL3_R1.fastq.gz",TRUE,"OK"
"INJL3_R1_fastqc.zip","INJL3_R1","Basic Statistics","PASS","INJL3_R1.fastq.gz",TRUE,"OK"
"INJL3_R1_fastqc.zip","INJL3_R1","Overrepresented sequences","PASS","INJL3_R1.fastq.gz",TRUE,"OK"
"INJL3_R1_fastqc.zip","INJL3_R1","Per base N content","PASS","INJL3_R1.fastq.gz",TRUE,"OK"
"INJL3_R1_fastqc.zip","INJL3_R1","Per base sequence content","FAIL","INJL3_R1.fastq.gz",TRUE,"OK"
"INJL3_R1_fastqc.zip","INJL3_R1","Per base sequence quality","PASS","INJL3_R1.fastq.gz",TRUE,"OK"
"INJL3_R1_fastqc.zip","INJL3_R1","Per sequence GC content","PASS","INJL3_R1.fastq.gz",TRUE,"OK"
"INJL3_R1_fastqc.zip","INJL3_R1","Per sequence quality scores","PASS","INJL3_R1.fastq.gz",TRUE,"OK"
"INJL3_R1_fastqc.zip","INJL3_R1","Per tile sequence quality","PASS","INJL3_R1.fastq.gz",TRUE,"OK"
"INJL3_R1_fastqc.zip","INJL3_R1","Sequence Duplication Levels","FAIL","INJL3_R1.fastq.gz",TRUE,"OK"
"INJL3_R1_fastqc.zip","INJL3_R1","Sequence Length Distribution","PASS","INJL3_R1.fastq.gz",TRUE,"OK"
"INJL3_R2_fastqc.zip","INJL3_R2","Adapter Content","PASS","INJL3_R2.fastq.gz",TRUE,"OK"
"INJL3_R2_fastqc.zip","INJL3_R2","Basic Statistics","PASS","INJL3_R2.fastq.gz",TRUE,"OK"
"INJL3_R2_fastqc.zip","INJL3_R2","Overrepresented sequences","PASS","INJL3_R2.fastq.gz",TRUE,"OK"
"INJL3_R2_fastqc.zip","INJL3_R2","Per base N content","FAIL","INJL3_R2.fastq.gz",TRUE,"OK"
"INJL3_R2_fastqc.zip","INJL3_R2","Per base sequence content","FAIL","INJL3_R2.fastq.gz",TRUE,"OK"
"INJL3_R2_fastqc.zip","INJL3_R2","Per base sequence quality","PASS","INJL3_R2.fastq.gz",TRUE,"OK"
"INJL3_R2_fastqc.zip","INJL3_R2","Per sequence GC content","PASS","INJL3_R2.fastq.gz",TRUE,"OK"
"INJL3_R2_fastqc.zip","INJL3_R2","Per sequence quality scores","PASS","INJL3_R2.fastq.gz",TRUE,"OK"
"INJL3_R2_fastqc.zip","INJL3_R2","Per tile sequence quality","FAIL","INJL3_R2.fastq.gz",TRUE,"OK"
"INJL3_R2_fastqc.zip","INJL3_R2","Sequence Duplication Levels","WARN","INJL3_R2.fastq.gz",TRUE,"OK"
"INJL3_R2_fastqc.zip","INJL3_R2","Sequence Length Distribution","PASS","INJL3_R2.fastq.gz",TRUE,"OK"
"INJL4_R1_fastqc.zip","INJL4_R1","Adapter Content","PASS","INJL4_R1.fastq.gz",TRUE,"OK"
"INJL4_R1_fastqc.zip","INJL4_R1","Basic Statistics","PASS","INJL4_R1.fastq.gz",TRUE,"OK"
"INJL4_R1_fastqc.zip","INJL4_R1","Overrepresented sequences","WARN","INJL4_R1.fastq.gz",TRUE,"OK"
"INJL4_R1_fastqc.zip","INJL4_R1","Per base N content","PASS","INJL4_R1.fastq.gz",TRUE,"OK"
"INJL4_R1_fastqc.zip","INJL4_R1","Per base sequence content","FAIL","INJL4_R1.fastq.gz",TRUE,"OK"
"INJL4_R1_fastqc.zip","INJL4_R1","Per base sequence quality","PASS","INJL4_R1.fastq.gz",TRUE,"OK"
"INJL4_R1_fastqc.zip","INJL4_R1","Per sequence GC content","PASS","INJL4_R1.fastq.gz",TRUE,"OK"
"INJL4_R1_fastqc.zip","INJL4_R1","Per sequence quality scores","PASS","INJL4_R1.fastq.gz",TRUE,"OK"
"INJL4_R1_fastqc.zip","INJL4_R1","Per tile sequence quality","PASS","INJL4_R1.fastq.gz",TRUE,"OK"
"INJL4_R1_fastqc.zip","INJL4_R1","Sequence Duplication Levels","FAIL","INJL4_R1.fastq.gz",TRUE,"OK"
"INJL4_R1_fastqc.zip","INJL4_R1","Sequence Length Distribution","PASS","INJL4_R1.fastq.gz",TRUE,"OK"
"INJL4_R2_fastqc.zip","INJL4_R2","Adapter Content","PASS","INJL4_R2.fastq.gz",TRUE,"OK"
"INJL4_R2_fastqc.zip","INJL4_R2","Basic Statistics","PASS","INJL4_R2.fastq.gz",TRUE,"OK"
"INJL4_R2_fastqc.zip","INJL4_R2","Overrepresented sequences","WARN","INJL4_R2.fastq.gz",TRUE,"OK"
"INJL4_R2_fastqc.zip","INJL4_R2","Per base N content","PASS","INJL4_R2.fastq.gz",TRUE,"OK"
"INJL4_R2_fastqc.zip","INJL4_R2","Per base sequence content","FAIL","INJL4_R2.fastq.gz",TRUE,"OK"
"INJL4_R2_fastqc.zip","INJL4_R2","Per base sequence quality","PASS","INJL4_R2.fastq.gz",TRUE,"OK"
"INJL4_R2_fastqc.zip","INJL4_R2","Per sequence GC content","PASS","INJL4_R2.fastq.gz",TRUE,"OK"
"INJL4_R2_fastqc.zip","INJL4_R2","Per sequence quality scores","PASS","INJL4_R2.fastq.gz",TRUE,"OK"
"INJL4_R2_fastqc.zip","INJL4_R2","Per tile sequence quality","PASS","INJL4_R2.fastq.gz",TRUE,"OK"
"INJL4_R2_fastqc.zip","INJL4_R2","Sequence Duplication Levels","FAIL","INJL4_R2.fastq.gz",TRUE,"OK"
"INJL4_R2_fastqc.zip","INJL4_R2","Sequence Length Distribution","PASS","INJL4_R2.fastq.gz",TRUE,"OK"
"INJL5_R1_fastqc.zip","INJL5_R1","Adapter Content","PASS","INJL5_R1.fastq.gz",TRUE,"OK"
"INJL5_R1_fastqc.zip","INJL5_R1","Basic Statistics","PASS","INJL5_R1.fastq.gz",TRUE,"OK"
"INJL5_R1_fastqc.zip","INJL5_R1","Overrepresented sequences","WARN","INJL5_R1.fastq.gz",TRUE,"OK"
"INJL5_R1_fastqc.zip","INJL5_R1","Per base N content","PASS","INJL5_R1.fastq.gz",TRUE,"OK"
"INJL5_R1_fastqc.zip","INJL5_R1","Per base sequence content","FAIL","INJL5_R1.fastq.gz",TRUE,"OK"
