"gene_id","logFC","logCPM","F","PValue","FDR","gene_name","contrast","target_group","reference_group","significant_FDR05","strict_sig","direction"
"ENSSSCG00000015948",0.408742206547384,7.17228112420602,16.5307198491903,0.00119501449834225,0.00550052367054181,"DYNC1I2","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000015935",0.746487430098211,2.11506715381464,4.33100023293217,0.0566033477158818,0.108972923789052,"CFAP210","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000015936",0.360915786767226,2.02163887565942,3.70195224455579,0.0752846636231315,0.137690218575939,"PHOSPHO2","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000015937",0.594549473903783,2.3974440795431,6.70398441560545,0.0216550367392152,0.0510460983876247,"KLHL23","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000015938",0.207325977462432,6.92273312767197,5.82304867073121,0.0303674328301973,0.0668245787346255,"SSB","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000028458",-0.464932521213678,3.57731845855825,15.4812199679373,0.00154224986823211,0.00666911138202163,"METTL5","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015940",-0.175309988859867,5.04006853379305,2.17137845457914,0.163095262567673,0.253965732481378,"UBR3","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015949",0.37428349777741,4.96815974496043,12.5034934733015,0.00336894070484445,0.0119634561879868,"SLC25A12","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000015952",0.370720330700783,5.12571521280406,14.32636567217,0.00206540653754674,0.00827936511271957,"HAT1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000015951",-0.238359604723416,3.1929317641397,3.66121485210219,0.0767210793116201,0.139676056757418,"METAP1D","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015955",0.207881939242784,7.12208363474308,1.66553190538764,0.218111995836404,0.319078194818741,"ITGA6","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
