"gene_id","logFC","logCPM","F","PValue","FDR","gene_name","contrast","target_group","reference_group","significant_FDR05","strict_sig","direction"
"ENSSSCG00000015091",-0.850341108652392,0.921519064077851,4.41500070552406,0.0544495604703333,0.105482590741017,"MPZL2","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000040140",1.03268833154986,1.17960228825576,8.20129679640476,0.0126220750870856,0.0333055236771392,"CD3E","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015093",1.08894842296029,0.703310290857114,7.10513195617405,0.018657079370625,0.0453305241860884,"CD3D","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000054409",0.369243299840072,0.763634405858943,1.42101380342684,0.253297302140306,0.356137558170797,"CD3G","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015095",-0.0892064567959725,5.84124207815657,0.96040936833504,0.343845660861686,0.452850494220818,"UBE4A","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000052280",-0.220533315163845,6.42681617337911,1.6633702324451,0.218210161499848,0.316658363440797,"ATP5MG","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000023324",0.553132285556861,4.56773712833792,3.71261105615022,0.0747130273553183,0.135377532571387,"KMT2A","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000029395",-3.95314802236668,3.92950978833066,202.03479722879,1.16749739404429e-09,3.02127098353317e-07,"TMEM25","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000029649",-0.419436116662764,6.24663725180992,8.88652303027055,0.00998873349607627,0.027876400754834,"IFT46","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000030053",0.608080913176141,8.00533130696908,34.4277056126714,4.22521372621818e-05,0.000438000487729522,"ARCN1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000024578",-0.185318111693846,7.85241926211908,1.41872193637682,0.25357059316139,0.356451382959612,"PHLDB1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000028204",0.35729057408762,1.73294251841221,0.357937181176918,0.559293096092765,0.655448220394263,"TREH","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015097",0.00440352374553732,6.89532357602221,0.00202959269820285,0.964707931803169,0.975745309362884,"DDX6","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015099",-0.119987180119282,5.50809174122962,0.2463939175318,0.627388500569457,0.715571802917308,"BCL9L","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000015102",-0.3353453718927,2.96145326011027,6.23631939780886,0.0257199202279709,0.0587029545549568,"CENATAC","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000036296",-0.437269418709135,9.11698633629682,7.84907668798074,0.0142215615951485,0.0366059317575921,"RPS25","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000037439",-0.0656215157213725,5.03324994857339,0.246093212941898,0.627596921856037,0.715752162562258,"TRAPPC4","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000015106",1.22771417869045,7.1599279883509,51.6476615567385,4.87453425854477e-06,9.22596357737603e-05,"HYOU1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015107",0.0574941393356518,6.01676973586639,0.316269341292055,0.582821169050193,0.676677854195847,"VPS11","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015108",0.656515701106912,3.75950697809362,27.4428565645459,0.000128753059423522,0.00100689137075549,"HMBS","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015110",0.308959814401559,5.35381243821348,8.97696612524775,0.00969464905487506,0.0272050354885719,"DPAGT1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015111",0.15011771742955,4.5555771528115,0.321103165664196,0.579987662850721,0.674259936727461,"C2CD2L","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000058033",0.203398195895127,3.42249033306204,2.72391794781916,0.121278367111068,0.199740222065705,"HINFP","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000044952",0.323339037061472,3.13447018606224,3.31771604998191,0.0901429696337189,0.157096227108696,"NLRX1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000014791",0.762510036546695,6.46621000044884,76.1463342709949,5.21104339421205e-07,1.99915850754232e-05,"RRM1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000014792",-0.160818573654488,5.08108122898401,1.8446099663741,0.196064217645155,0.29138373287496,"STIM1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000039656",0.0475416006102601,2.38711794713009,0.0351009856505715,0.854094389114916,0.895904836367886,"RHOG","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000035653",-0.216253850377933,5.04202845693779,4.81748583335211,0.0456794809388599,0.0923123743011206,"PGAP2","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000014794",0.501753472008436,6.2637925040664,15.6984954351427,0.00143803798867215,0.00622115340205797,"NUP98","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000048507",1.02274226347506,0.469623967941677,21.5171473596152,0.000401271072518642,0.00240172042689564,"ENSSSCG00000048507","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000023796",-0.0291159294852432,4.47584334063644,0.0840731429310407,0.776135314151091,0.837621255036412,"RNF121","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000014800",-0.494632173217367,3.88829503876285,3.84254957418094,0.0703433366304354,0.129085808735477,"ENSSSCG00000014800","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000014802",-0.359824231621793,6.68581513703885,2.96870206333616,0.107067909256831,0.180610317515077,"NUMA1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000014803",-0.454678014266793,1.08671694325615,4.54978673353825,0.0513048093339694,0.100859302658893,"LRRC51","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000014804",-0.645919333634229,4.89992426399711,14.3259767675318,0.00203576761231668,0.00808356819975739,"LAMTOR1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000014806",0.232916378975334,5.26136921906074,3.65212971820308,0.0768569536171369,0.138386693743597,"ANAPC15","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000061202",0.678198447106309,0.275361583980447,7.1868248986979,0.018157153526325,0.0445263208373853,"ENSSSCG00000061202","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000022236",-0.295332749612788,10.6945353883801,0.982627138448088,0.338506183122592,0.447932177796936,"FOLR3","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000053501",-0.260580713758909,0.510657928406051,0.710326745326642,0.41371197300985,0.52319217117312,"FOLR1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000014812",-1.54743917196251,8.47931746113908,53.0910018479018,4.17984012033672e-06,8.40277746225319e-05,"FOLR2","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000014811",0.182349417782439,6.26299469394252,1.18413654665064,0.295037025131969,0.401881709130378,"INPPL1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000036887",0.189302242132693,3.85640072749142,1.58311210954074,0.229054478089169,0.329040410440365,"CLPB","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015595",2.14873381303813,5.05536688784239,53.8038155217184,3.88026005672502e-06,8.02394585042159e-05,"ATF3","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,TRUE,"Up_in_ACLT_untreated_t7"
